player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Ivan Prtajin,29,['Croatia'],CF,€1.20m,1.FC Union Berlin,1.FC Kaiserslautern,€1.00m,25/26
Paul Jaeckel,26,['Germany'],CB,€1.00m,1.FC Union Berlin,Preußen Münster,€300k,25/26
Kevin Volland,32,['Germany'],AM,€700k,1.FC Union Berlin,TSV 1860 Munich,free transfer,25/26
Kevin Vogt,33,['Germany'],CB,€1.00m,1.FC Union Berlin,VfL Bochum,free transfer,25/26
Lennart Grill,26,['Germany'],GK,€450k,1.FC Union Berlin,SG Dynamo Dresden,free transfer,25/26
Alexander Schwolow,33,['Germany'],GK,€500k,1.FC Union Berlin,Heart of Midlothian FC,free transfer,25/26
Lucas Tousart,28,['France'],CM,€2.50m,1.FC Union Berlin,Stade Brestois 29,?,25/26
Jérôme Roussillon,32,"['Guadeloupe', 'France']",LB,€800k,1.FC Union Berlin,Without Club,-,25/26
Martijn Kaars,26,['Netherlands'],CF,€4.00m,1.FC Magdeburg,FC St. Pauli,€4.00m,25/26
Joel Chima Fujita,23,"['Japan', 'Nigeria']",CM,€3.00m,Sint-Truidense VV,FC St. Pauli,€3.50m,25/26
Morgan Guilavogui,27,"['Guinea', 'France']",RW,€4.00m,RC Lens,FC St. Pauli,€3.00m,25/26
Louis Oppie,23,['Germany'],LB,€600k,Arminia Bielefeld,FC St. Pauli,€2.00m,25/26
Jannik Robatsch,20,['Austria'],CB,€600k,SK Austria Klagenfurt,FC St. Pauli,€400k,25/26
Simon Spari,23,['Austria'],GK,€350k,SK Austria Klagenfurt,FC St. Pauli,€200k,25/26
Mathias Pereira Lage,28,"['Portugal', 'France']",LW,€2.50m,Stade Brestois 29,FC St. Pauli,free transfer,25/26
Ricky-Jade Jones,22,['England'],CF,€900k,Peterborough United,FC St. Pauli,free transfer,25/26
Arkadiusz Pyrka,22,['Poland'],RB,€2.00m,Piast Gliwice,FC St. Pauli,free transfer,25/26
Morgan Guilavogui,27,"['Guinea', 'France']",RW,€4.00m,FC St. Pauli,RC Lens,€4.50m,25/26
Maurides,31,['Brazil'],CF,€350k,FC St. Pauli,Radomiak Radom,€50k,25/26
Carlo Boukhalfa,26,['Germany'],CM,€2.00m,FC St. Pauli,FC St. Gallen 1879,free transfer,25/26
Johannes Eggestein,27,['Germany'],CF,€2.50m,FC St. Pauli,Austria Vienna,free transfer,25/26
Sascha Burchert,35,['Germany'],GK,€200k,FC St. Pauli,Retired,-,25/26
Simon Zoller,34,['Germany'],CF,€300k,FC St. Pauli,Retired,-,25/26
Eric Oelschlägel,29,['Germany'],GK,€300k,FC St. Pauli,Without Club,-,25/26
Sören Ahlers,27,['Germany'],GK,€50k,FC St. Pauli,Retired,-,25/26
Andreas Albers,35,['Denmark'],CF,€300k,FC St. Pauli,Without Club,-,25/26
Leon Avdullahu,21,"['Kosovo', 'Switzerland']",DM,€10.00m,FC Basel 1893,TSG 1899 Hoffenheim,€8.00m,25/26
Albian Hajdari,22,"['Kosovo', 'Switzerland']",CB,€12.00m,FC Lugano,TSG 1899 Hoffenheim,€5.00m,25/26
