player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Harry Kane,30,"['England', 'Ireland']",CF,€90.00m,Tottenham Hotspur,Bayern Munich,€95.00m,23/24
Min-jae Kim,26,"['Korea, South']",CB,€60.00m,SSC Napoli,Bayern Munich,€50.00m,23/24
Sacha Boey,23,['France'],RB,€22.00m,Galatasaray,Bayern Munich,€30.00m,23/24
Daniel Peretz,23,"['Israel', 'Germany']",GK,€4.00m,Maccabi Tel Aviv,Bayern Munich,€5.00m,23/24
Konrad Laimer,26,['Austria'],RB,€28.00m,RB Leipzig,Bayern Munich,free transfer,23/24
Raphaël Guerreiro,29,"['Portugal', 'France']",LB,€20.00m,Borussia Dortmund,Bayern Munich,free transfer,23/24
Lucas Hernández,27,"['France', 'Spain']",LB,€45.00m,Bayern Munich,Paris Saint-Germain,€45.00m,23/24
Ryan Gravenberch,21,"['Netherlands', 'Suriname']",DM,€30.00m,Bayern Munich,Liverpool FC,€40.00m,23/24
Benjamin Pavard,27,['France'],CB,€40.00m,Bayern Munich,Inter Milan,€31.40m,23/24
Sadio Mané,31,['Senegal'],LW,€25.00m,Bayern Munich,Al-Nassr FC,€30.00m,23/24
Marcel Sabitzer,29,['Austria'],CM,€20.00m,Bayern Munich,Borussia Dortmund,€19.00m,23/24
Yann Sommer,34,['Switzerland'],GK,€5.00m,Bayern Munich,Inter Milan,€6.90m,23/24
Bright Arrey-Mbi,20,"['Germany', 'England']",CB,€800k,Bayern Munich,Hannover 96,€620k,23/24
Daley Blind,33,['Netherlands'],CB,€3.00m,Bayern Munich,Girona FC,free transfer,23/24
Felix Nmecha,22,"['Germany', 'England']",CM,€15.00m,VfL Wolfsburg,Borussia Dortmund,€30.00m,23/24
Niclas Füllkrug,30,['Germany'],CF,€13.00m,SV Werder Bremen,Borussia Dortmund,€17.25m,23/24
Ramy Bensebaini,28,['Algeria'],CB,€20.00m,Borussia Mönchengladbach,Borussia Dortmund,free transfer,23/24
Jude Bellingham,20,"['England', 'Ireland']",AM,€120.00m,Borussia Dortmund,Real Madrid,€127.00m,23/24
Ansgar Knauff,21,"['Germany', 'Ghana']",RW,€8.00m,Borussia Dortmund,Eintracht Frankfurt,€5.00m,23/24
Thorgan Hazard,30,['Belgium'],AM,€7.00m,Borussia Dortmund,RSC Anderlecht,€4.00m,23/24
Felix Passlack,25,['Germany'],RB,€1.50m,Borussia Dortmund,VfL Bochum,free transfer,23/24
Luca Unbehaun,22,['Germany'],GK,€650k,Borussia Dortmund,SC Verl,free transfer,23/24
Mahmoud Dahoud,27,"['Syria', 'Germany']",CM,€12.00m,Borussia Dortmund,Brighton & Hove Albion,free transfer,23/24
Anthony Modeste,35,"['France', 'Martinique']",CF,€700k,Borussia Dortmund,Al Ahly FC,free transfer,23/24
Thomas Meunier,32,['Belgium'],RB,€2.50m,Borussia Dortmund,Trabzonspor,free transfer,23/24
Nico Schulz,30,['Germany'],LB,€1.00m,Borussia Dortmund,Without Club,-,23/24
Loïs Openda,23,"['Belgium', 'Morocco']",CF,€35.00m,RC Lens,RB Leipzig,€40.00m,23/24
Benjamin Sesko,20,['Slovenia'],CF,€24.00m,Red Bull Salzburg,RB Leipzig,€31.65m,23/24
Castello Lukeba,20,"['France', 'Angola']",CB,€25.00m,Olympique Lyon,RB Leipzig,€30.00m,23/24
Christoph Baumgartner,23,['Austria'],AM,€24.00m,TSG 1899 Hoffenheim,RB Leipzig,€25.50m,23/24
Eljif Elmas,24,['North Macedonia'],AM,€24.00m,SSC Napoli,RB Leipzig,€24.00m,23/24
Nicolas Seiwald,22,['Austria'],CM,€20.00m,Red Bull Salzburg,RB Leipzig,€20.00m,23/24
El Chadaille Bitshiabu,18,"['France', 'DR Congo']",CB,€7.00m,Paris Saint-Germain,RB Leipzig,€15.00m,23/24
Christopher Lenz,28,['Germany'],LB,€2.50m,Eintracht Frankfurt,RB Leipzig,€1.00m,23/24
Leopold Zingerle,29,['Germany'],GK,€400k,SC Paderborn 07,RB Leipzig,free transfer,23/24
Josko Gvardiol,21,['Croatia'],CB,€75.00m,RB Leipzig,Manchester City,€90.00m,23/24
Dominik Szoboszlai,22,['Hungary'],AM,€50.00m,RB Leipzig,Liverpool FC,€70.00m,23/24
Christopher Nkunku,25,"['France', 'DR Congo']",CF,€80.00m,RB Leipzig,Chelsea FC,€60.00m,23/24
Alexander Sørloth,27,['Norway'],CF,€12.00m,RB Leipzig,Villarreal CF,€10.00m,23/24
Tom Krauß,22,['Germany'],CM,€7.00m,RB Leipzig,1.FSV Mainz 05,€5.00m,23/24
Josep Martínez,25,['Spain'],GK,€3.50m,RB Leipzig,Genoa CFC,€3.50m,23/24
Emil Forsberg,32,['Sweden'],LW,€6.00m,RB Leipzig,New York Red Bulls,€3.00m,23/24
Marcel Halstenberg,31,['Germany'],CB,€3.50m,RB Leipzig,Hannover 96,€700k,23/24
Oskar Preil,19,['Germany'],GK,€200k,RB Leipzig,FV Illertissen,free transfer,23/24
Ørjan Nyland,32,['Norway'],GK,€600k,RB Leipzig,Sevilla FC,free transfer,23/24
Mehmet Ibrahimi,20,"['Germany', 'Kosovo']",LW,€150k,RB Leipzig,FC Blau-Weiss Linz,?,23/24
Caden Clark,20,['United States'],AM,€1.70m,RB Leipzig,Minnesota United FC,?,23/24
Robin Gosens,29,"['Germany', 'Netherlands']",LB,€15.00m,Inter Milan,1.FC Union Berlin,€13.00m,23/24
Diogo Leite,24,['Portugal'],CB,€15.00m,FC Porto,1.FC Union Berlin,€7.00m,23/24
Yorbe Vertessen,23,['Belgium'],CF,€4.00m,PSV Eindhoven,1.FC Union Berlin,€4.75m,23/24
Kevin Volland,31,['Germany'],AM,€8.00m,AS Monaco,1.FC Union Berlin,€4.00m,23/24
Lucas Tousart,26,['France'],CM,€9.00m,Hertha BSC,1.FC Union Berlin,€2.80m,23/24
Mikkel Kaufmann,22,['Denmark'],CF,€2.70m,FC Copenhagen,1.FC Union Berlin,€2.70m,23/24
Chris Bedia,27,"[""Cote d'Ivoire"", 'France']",CF,€3.00m,Servette FC,1.FC Union Berlin,€2.00m,23/24
Benedict Hollerbach,22,['Germany'],CF,€1.20m,SV Wehen Wiesbaden,1.FC Union Berlin,€2.00m,23/24
Alexander Schwolow,31,['Germany'],GK,€900k,Hertha BSC,1.FC Union Berlin,free transfer,23/24
Leonardo Bonucci,36,['Italy'],CB,€1.50m,Juventus FC,1.FC Union Berlin,free transfer,23/24
Lennart Grill,24,['Germany'],GK,€1.00m,Bayer 04 Leverkusen,1.FC Union Berlin,?,23/24
Kevin Vogt,32,['Germany'],CB,€2.50m,TSG 1899 Hoffenheim,1.FC Union Berlin,?,23/24
Sheraldo Becker,28,"['Suriname', 'Netherlands']",LW,€12.00m,1.FC Union Berlin,Real Sociedad,€3.00m,23/24
Kevin Behrens,32,['Germany'],CF,€4.00m,1.FC Union Berlin,VfL Wolfsburg,€2.00m,23/24
Sven Michel,32,['Germany'],LW,€900k,1.FC Union Berlin,FC Augsburg,€950k,23/24
Paul Seguin,28,['Germany'],CM,€2.50m,1.FC Union Berlin,FC Schalke 04,€750k,23/24
Rick van Drongelen,24,['Netherlands'],CB,€1.00m,1.FC Union Berlin,Samsunspor,€200k,23/24
Laurenz Dehl,22,['Germany'],LW,€200k,1.FC Union Berlin,SK Austria Klagenfurt,free transfer,23/24
Leonardo Bonucci,36,['Italy'],CB,€1.50m,1.FC Union Berlin,Fenerbahce,free transfer,23/24
Mathis Bruns,19,['Germany'],CB,€75k,1.FC Union Berlin,FSV 63 Luckenwalde,free transfer,23/24
Levin Öztunali,27,['Germany'],LW,€1.20m,1.FC Union Berlin,Hamburger SV,free transfer,23/24
Kevin Möhwald,29,['Germany'],CM,€600k,1.FC Union Berlin,KAS Eupen,free transfer,23/24
Tim Maciejewski,22,['Germany'],AM,€350k,1.FC Union Berlin,SV Sandhausen,free transfer,23/24
Dominique Heintz,30,['Germany'],CB,€1.20m,1.FC Union Berlin,1.FC Köln,?,23/24
Malick Sanogo,19,"[""Cote d'Ivoire"", 'United States']",RW,-,1.FC Union Berlin,1.FC Nuremberg II,?,23/24
