Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
35,Mitchel Bakker,NED,['MF'],Atalanta,24,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
36,Tommaso Baldanzi,ITA,"['MF', 'FW']",Roma,21,2003,9.2,36,3.89,23,0,6,4,2,1,4,0.43,3,0,0,0,0,1,2024-2025
37,Keita Baldé,SEN,['FW'],Monza,29,1995,7.1,21,2.97,14,0,2,3,2,0,0,0.00,0,0,0,0,0,0,2024-2025
38,Botond Balogh,HUN,['DF'],Parma,22,2002,22.8,8,0.35,7,0,0,0,0,1,2,0.09,2,0,0,0,0,0,2024-2025
39,Mario Balotelli,ITA,"['FW', 'MF']",Genoa,33,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
40,Lameck Banda,ZAM,"['FW', 'MF']",Lecce,23,2001,6.8,23,3.39,15,1,3,1,3,0,1,0.15,1,0,0,0,0,0,2024-2025
41,Daniel Bandeira,POR,['MF'],Hellas Verona,24,2000,4.5,6,1.33,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
42,Mattia Bani,ITA,['DF'],Genoa,30,1993,16.7,7,0.42,6,0,0,1,0,0,2,0.12,1,0,0,1,0,0,2024-2025
43,Antonín Barák,CZE,['MF'],Fiorentina,29,1994,0.6,3,5.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
44,Federico Barba,ITA,['DF'],Como,30,1993,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
45,Nicolò Barella,ITA,['MF'],Inter,27,1997,27.7,112,4.07,89,7,5,5,4,2,15,0.54,14,0,1,0,0,0,2024-2025
46,Davide Bartesaghi,ITA,['DF'],Milan,18,2005,1.3,2,1.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
47,Federico Baschirotto,ITA,['DF'],Lecce,27,1996,38.0,17,0.45,13,2,0,2,0,0,1,0.03,0,0,0,1,0,0,2024-2025
48,Daniele Baselli,ITA,['MF'],Como,32,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
49,Alessandro Bastoni,ITA,['DF'],Inter,25,1999,26.7,71,2.66,61,4,0,1,3,2,11,0.41,9,1,0,0,1,0,2024-2025
50,Reda Belahyane,MAR,['MF'],Hellas Verona,20,2004,18.4,41,2.23,34,0,3,1,1,2,3,0.16,2,0,0,0,0,1,2024-2025
51,Reda Belahyane,MAR,['MF'],Lazio,20,2004,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
52,Raoul Bellanova,ITA,['DF'],Torino,24,2000,1.0,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
53,Raoul Bellanova,ITA,['DF'],Atalanta,24,2000,26.7,56,2.10,45,8,2,0,1,0,11,0.41,10,1,0,0,0,0,2024-2025
54,Andrea Belotti,ITA,['FW'],Como,30,1993,6.6,14,2.13,9,0,0,3,2,0,0,0.00,0,0,0,0,0,0,2024-2025
55,Lucas Beltrán,ARG,"['FW', 'MF']",Fiorentina,23,2001,21.7,63,2.90,55,1,1,2,2,2,9,0.41,8,0,0,0,1,0,2024-2025
56,Adrian Benedyczak,POL,"['FW', 'MF']",Parma,23,2000,2.4,3,1.26,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
