Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
245,Carlos Guirao,ESP,['MF'],Betis,21,2003,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
246,Arda Güler,TUR,"['MF', 'FW']",Real Madrid,19,2005,13.9,3,39,16,41.0,2.81,1.15,0.08,0.19,20.0,2,0,0,3.3,3.3,0.08,-0.3,-0.3,2024-2025
247,Gerard Gumbau,ESP,['MF'],Rayo Vallecano,29,1994,9.4,0,13,5,38.5,1.38,0.53,0.00,0.00,21.0,0,0,0,1.1,1.1,0.08,-1.1,-1.1,2024-2025
248,Jon Guridi,ESP,"['MF', 'FW']",Alavés,29,1995,23.1,3,23,11,47.8,1.00,0.48,0.09,0.18,14.9,0,1,1,4.2,3.4,0.15,-1.2,-1.4,2024-2025
249,Gorka Guruzeta,ESP,['FW'],Athletic Club,27,1996,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,13.6,0,0,0,6.7,6.6,0.11,+0.3,+0.4,2024-2025
250,Miguel Gutiérrez,ESP,"['DF', 'MF']",Girona,23,2001,27.3,1,28,9,32.1,1.03,0.33,0.04,0.11,21.5,3,0,0,1.6,1.6,0.06,-0.6,-0.6,2024-2025
251,Munir El Haddadi,MAR,"['FW', 'MF']",Leganés,28,1995,9.6,4,21,9,42.9,2.19,0.94,0.19,0.44,20.1,3,0,0,1.6,1.6,0.07,+2.4,+2.4,2024-2025
252,Sébastien Haller,CIV,['FW'],Leganés,30,1994,4.5,0,4,1,25.0,0.89,0.22,0.00,0.00,14.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,2024-2025
253,Henrique,BRA,['DF'],Valladolid,30,1994,3.9,0,1,0,0.0,0.26,0.00,0.00,,19.5,0,0,0,0.0,0.0,0.03,0.0,0.0,2024-2025
254,Javi Hernández ,ESP,['DF'],Leganés,26,1998,26.5,2,17,6,35.3,0.64,0.23,0.12,0.33,21.3,2,0,0,0.8,0.8,0.04,+1.2,+1.2,2024-2025
255,Aridane Hernández,ESP,['DF'],Rayo Vallecano,35,1989,11.4,0,8,2,25.0,0.70,0.18,0.00,0.00,8.0,0,0,0,0.9,0.9,0.11,-0.9,-0.9,2024-2025
256,Jorge Herrando,ESP,['DF'],Osasuna,23,2001,15.2,1,12,3,25.0,0.79,0.20,0.08,0.33,11.2,0,0,0,1.2,1.2,0.10,-0.2,-0.2,2024-2025
257,Ander Herrera,ESP,['MF'],Athletic Club,34,1989,3.0,0,7,3,42.9,2.31,0.99,0.00,0.00,24.2,0,0,1,1.7,0.9,0.16,-1.7,-0.9,2024-2025
258,Sergio Herrera,ESP,['GK'],Osasuna,31,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
259,Yangel Herrera,VEN,['MF'],Girona,26,1998,25.1,4,39,14,35.9,1.56,0.56,0.10,0.29,16.9,0,0,0,3.6,3.6,0.09,+0.4,+0.4,2024-2025
260,Juan Herzog,ESP,['DF'],Las Palmas,21,2003,14.6,0,12,2,16.7,0.82,0.14,0.00,0.00,10.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,2024-2025
261,Omar El Hilali,MAR,['DF'],Espanyol,20,2003,35.0,0,2,0,0.0,0.06,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0,2024-2025
