Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
140,Thomas Delaney,DEN,['MF'],Sevilla,30,1991,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2022-2023
141,Fran Delgado,ESP,['DF'],Betis,21,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
142,Ousmane Dembélé,FRA,['FW'],Barcelona,25,1997,15.7,5,49,16,32.7,3.13,1.02,0.10,0.31,16.7,0,0,0,3.9,3.9,0.08,+1.1,+1.1,Matches,2022-2023
143,Mouctar Diakhaby,GUI,['DF'],Valencia,25,1996,27.2,3,21,7,33.3,0.77,0.26,0.14,0.43,10.9,0,0,0,2.7,2.7,0.13,+0.3,+0.3,Matches,2022-2023
144,Mamady Diarra,MLI,"['MF', 'DF']",Cádiz,22,2000,0.7,0,3,0,0.0,4.09,0.00,0.00,,16.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2022-2023
145,Youba Diarra,MLI,['MF'],Cádiz,24,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
146,Stole Dimitrievski,MKD,['GK'],Rayo Vallecano,28,1993,36.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
147,Djené,TOG,['DF'],Getafe,30,1991,31.6,0,9,1,11.1,0.29,0.03,0.00,0.00,15.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,2022-2023
148,Marko Dmitrović,SRB,['GK'],Sevilla,30,1992,14.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
149,Matt Doherty,IRL,['DF'],Atlético Madrid,30,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
150,Kasper Dolberg,DEN,['FW'],Sevilla,24,1997,2.2,0,2,1,50.0,0.91,0.46,0.00,0.00,17.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2022-2023
151,Carlos Dominguez,ESP,['DF'],Celta Vigo,21,2001,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,21.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2022-2023
152,John Donald,ESP,"['MF', 'DF']",Elche,21,2000,12.1,0,2,0,0.0,0.16,0.00,0.00,,11.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2022-2023
153,Domingos Duarte,POR,['DF'],Getafe,27,1995,29.5,0,16,4,25.0,0.54,0.14,0.00,0.00,11.0,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches,2022-2023
154,Pablo Durán,ESP,"['MF', 'DF']",Celta Vigo,21,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
155,Hugo Duro,ESP,['FW'],Valencia,22,1999,15.4,1,32,9,28.1,2.08,0.58,0.03,0.11,11.9,0,0,1,4.4,3.6,0.11,-3.4,-2.6,Matches,2022-2023
156,Íñigo Eguaras,ESP,['MF'],Almería,30,1992,10.7,1,8,3,37.5,0.74,0.28,0.13,0.33,21.2,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches,2022-2023
157,Aritz Elustondo,ESP,['DF'],Real Sociedad,28,1994,16.1,0,8,0,0.0,0.50,0.00,0.00,,21.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,2022-2023
158,Rodrigo Ely,BRA,['DF'],Almería,28,1993,35.1,0,19,1,5.3,0.54,0.03,0.00,0.00,14.7,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,2022-2023
159,Adri Embarba,ESP,"['FW', 'MF']",Almería,30,1992,16.4,4,47,19,40.4,2.87,1.16,0.06,0.16,23.9,13,1,1,3.8,3.1,0.06,+0.2,-0.1,Matches,2022-2023
160,Adri Embarba,ESP,['FW'],Espanyol,30,1992,0.4,0,2,0,0.0,5.14,0.00,0.00,,29.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2022-2023
161,Youssef En-Nesyri,MAR,['FW'],Sevilla,25,1997,18.5,8,60,23,38.3,3.25,1.25,0.13,0.35,11.6,0,0,0,8.1,8.1,0.14,-0.1,-0.1,Matches,2022-2023
162,Gonzalo Escalante,ARG,['MF'],Cádiz,29,1993,12.5,4,14,6,42.9,1.12,0.48,0.29,0.67,12.5,0,0,0,3.5,3.5,0.25,+0.5,+0.5,Matches,2022-2023
163,Sergio Escudero,ESP,['DF'],Valladolid,32,1989,16.0,1,27,7,25.9,1.69,0.44,0.04,0.14,23.4,3,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches,2022-2023
164,Alfonso Espino,URU,['DF'],Cádiz,30,1992,34.7,0,20,1,5.0,0.58,0.03,0.00,0.00,28.9,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches,2022-2023
165,Bernardo Espinosa,COL,['DF'],Girona,33,1989,13.6,1,11,5,45.5,0.81,0.37,0.09,0.20,10.7,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches,2022-2023
166,Edu Expósito,ESP,['MF'],Espanyol,25,1996,12.9,2,19,7,36.8,1.47,0.54,0.11,0.29,24.7,2,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches,2022-2023
167,Nicolás Ezequiel Fernández,ARG,"['MF', 'DF']",Elche,22,2000,5.7,0,5,2,40.0,0.88,0.35,0.00,0.00,14.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,2022-2023
168,Abde Ezzalzouli,MAR,"['FW', 'MF']",Osasuna,20,2001,16.7,4,40,16,40.0,2.39,0.96,0.10,0.25,19.1,2,0,0,2.7,2.7,0.07,+1.3,+1.3,Matches,2022-2023
169,Radamel Falcao,COL,"['FW', 'MF']",Rayo Vallecano,36,1986,6.8,2,20,4,20.0,2.92,0.58,0.05,0.25,16.2,0,1,1,2.9,2.1,0.10,-0.9,-1.1,Matches,2022-2023
170,Fali,ESP,"['DF', 'MF']",Cádiz,28,1993,19.0,0,9,0,0.0,0.47,0.00,0.00,,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,2022-2023
171,Mamadou Fall,SEN,['DF'],Villarreal,19,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
172,Ansu Fati,ESP,['FW'],Barcelona,19,2002,15.5,7,61,18,29.5,3.94,1.16,0.11,0.39,15.0,3,0,0,9.1,9.1,0.16,-2.1,-2.1,Matches,2022-2023
173,Zouhair Feddal,MAR,['DF'],Valladolid,33,1989,4.2,0,1,0,0.0,0.24,0.00,0.00,,3.5,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches,2022-2023
174,Nabil Fekir,FRA,['MF'],Betis,29,1993,10.7,2,24,6,25.0,2.25,0.56,0.04,0.17,21.5,9,1,1,2.4,1.6,0.07,-0.4,-0.6,Matches,2022-2023
175,Felipe,BRA,['DF'],Atlético Madrid,33,1989,2.2,0,1,0,0.0,0.46,0.00,0.00,,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2022-2023
176,Luiz Felipe,ITA,['DF'],Betis,25,1997,19.6,0,3,1,33.3,0.15,0.05,0.00,0.00,11.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,2022-2023
177,João Félix,POR,"['FW', 'MF']",Atlético Madrid,22,1999,7.2,4,26,12,46.2,3.60,1.66,0.15,0.33,18.9,1,0,0,2.6,2.6,0.10,+1.4,+1.4,Matches,2022-2023
178,Kiko Femenía,ESP,['DF'],Villarreal,31,1991,12.6,0,2,0,0.0,0.16,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2022-2023
179,Aitor Fernández,ESP,['GK'],Osasuna,31,1991,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
180,Álex Fernández,ESP,"['MF', 'FW']",Cádiz,29,1992,17.5,3,16,8,50.0,0.91,0.46,0.13,0.25,12.9,0,1,1,2.7,1.9,0.12,+0.3,+0.1,Matches,2022-2023
181,Álvaro Fernández,ESP,['GK'],Espanyol,24,1998,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
182,Carlos Fernández,ESP,['FW'],Real Sociedad,26,1996,7.0,1,21,5,23.8,3.00,0.71,0.05,0.20,13.1,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches,2022-2023
183,Federico Fernández,ARG,['DF'],Elche,33,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
184,Joaquín Fernández,ESP,['DF'],Valladolid,26,1996,24.0,1,10,1,10.0,0.42,0.04,0.10,1.00,13.5,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,2022-2023
185,Valery Fernández,ESP,"['MF', 'DF']",Girona,22,1999,10.7,0,7,0,0.0,0.65,0.00,0.00,,16.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,2022-2023
186,Fernando,ESP,['GK'],Almería,32,1990,36.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
187,Fernando,BRA,"['MF', 'DF']",Sevilla,35,1987,17.5,0,6,0,0.0,0.34,0.00,0.00,,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2022-2023
188,Fidel,ESP,"['MF', 'FW']",Elche,32,1989,19.0,3,13,2,15.4,0.68,0.11,0.15,1.00,15.6,0,1,1,2.3,1.5,0.11,+0.7,+0.5,Matches,2022-2023
189,Dimitri Foulquier,FRA,['DF'],Valencia,29,1993,19.3,0,3,0,0.0,0.16,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2022-2023
190,Juan Foyth,ARG,['DF'],Villarreal,24,1998,21.8,1,14,4,28.6,0.64,0.18,0.07,0.25,13.7,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches,2022-2023
191,Iván Fresneda,ESP,['DF'],Valladolid,17,2004,19.4,0,4,0,0.0,0.21,0.00,0.00,,17.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches,2022-2023
192,Javi Galán,ESP,['DF'],Celta Vigo,27,1994,35.1,0,13,1,7.7,0.37,0.03,0.00,0.00,22.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,2022-2023
193,Iñigo Ruiz de Galarreta,ESP,['MF'],Mallorca,28,1993,27.2,0,10,2,20.0,0.37,0.07,0.00,0.00,25.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,2022-2023
194,Aleix García,ESP,['MF'],Girona,25,1997,26.0,1,32,14,43.8,1.23,0.54,0.03,0.07,23.2,4,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches,2022-2023
195,Álvaro García,ESP,"['FW', 'MF']",Rayo Vallecano,29,1992,31.9,5,52,21,40.4,1.63,0.66,0.10,0.24,17.7,0,0,0,3.6,3.6,0.07,+1.4,+1.4,Matches,2022-2023
196,Borja García,ESP,"['MF', 'FW']",Girona,31,1990,7.5,1,8,3,37.5,1.06,0.40,0.13,0.33,20.9,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,2022-2023
197,Carlos García,ESP,['DF'],Cádiz,22,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
198,Dani García,ESP,['MF'],Athletic Club,32,1990,16.5,0,9,0,0.0,0.55,0.00,0.00,,18.2,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matches,2022-2023
199,David García,ESP,['DF'],Osasuna,28,1994,29.8,2,15,3,20.0,0.50,0.10,0.13,0.67,10.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches,2022-2023
200,Eric García,ESP,"['DF', 'MF']",Barcelona,21,2001,15.7,1,7,1,14.3,0.44,0.06,0.14,1.00,12.9,0,0,0,1.6,1.6,0.22,-0.6,-0.6,Matches,2022-2023
201,Fran Garcia,ESP,['DF'],Rayo Vallecano,22,1999,37.9,2,30,11,36.7,0.79,0.29,0.07,0.18,27.9,0,0,0,1.2,1.2,0.04,+0.8,+0.8,Matches,2022-2023
202,Joan García,ESP,['GK'],Espanyol,21,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
203,Raúl García,ESP,"['FW', 'MF']",Athletic Club,36,1986,10.7,2,52,14,26.9,4.84,1.30,0.04,0.14,14.6,0,0,0,5.2,5.2,0.10,-3.2,-3.2,Matches,2022-2023
