Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
223,Francesco Gelli,ITA,"['MF', 'DF']",Frosinone,26,1996,17.3,0,10,3,30.0,0.58,0.17,0.00,0.00,18.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,2023-2024
224,Luca Gemello,ITA,['GK'],Torino,23,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
225,Valentin Gendrey,FRA,['DF'],Lecce,23,2000,33.8,2,18,5,27.8,0.53,0.15,0.11,0.40,12.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,2023-2024
226,Farés Ghedjemis,FRA,"['FW', 'MF']",Frosinone,20,2002,2.0,0,3,2,66.7,1.48,0.99,0.00,0.00,17.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2023-2024
227,Lautaro Gianetti,ARG,['DF'],Udinese,29,1993,7.0,1,3,2,66.7,0.43,0.29,0.33,0.50,9.7,0,0,0,0.4,0.4,0.13,+0.6,+0.6,2023-2024
228,Mario Gila,ESP,['DF'],Lazio,22,2000,20.1,0,8,2,25.0,0.40,0.10,0.00,0.00,16.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2023-2024
229,Gvidas Gineitis,LTU,['MF'],Torino,19,2004,6.0,0,9,2,22.2,1.51,0.33,0.00,0.00,26.8,3,0,0,0.4,0.4,0.05,-0.4,-0.4,2023-2024
230,Olivier Giroud,FRA,['FW'],Milan,36,1986,26.3,15,72,29,40.3,2.74,1.10,0.15,0.38,12.6,2,4,5,14.2,10.2,0.14,+0.8,+0.8,2023-2024
231,Edoardo Goldaniga,ITA,['DF'],Cagliari,29,1993,11.2,0,4,3,75.0,0.36,0.27,0.00,0.00,7.9,0,0,0,0.5,0.5,0.14,-0.5,-0.5,2023-2024
232,Pierluigi Gollini,ITA,['GK'],Napoli,28,1995,7.0,0,1,0,0.0,0.14,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.02,0.0,0.0,2023-2024
233,Papu Gómez,ARG,"['MF', 'FW']",Monza,35,1988,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
234,Iron Gomis,FRA,['MF'],Salernitana,23,1999,1.5,0,3,1,33.3,2.01,0.67,0.00,0.00,17.1,0,0,0,0.6,0.6,0.19,-0.6,-0.6,2023-2024
235,Joan Gonzàlez,ESP,['MF'],Lecce,21,2002,14.3,1,13,5,38.5,0.91,0.35,0.08,0.20,18.3,0,0,0,1.2,1.2,0.09,-0.2,-0.2,2023-2024
236,Nicolás González,ARG,['FW'],Fiorentina,25,1998,21.3,12,84,33,39.3,3.95,1.55,0.13,0.33,16.6,2,1,3,10.4,8.0,0.10,+1.6,+3.0,2023-2024
237,Alberto Grassi,ITA,['MF'],Empoli,28,1995,20.1,0,23,5,21.7,1.15,0.25,0.00,0.00,20.0,1,0,0,1.1,1.1,0.05,-1.1,-1.1,2023-2024
238,Mattéo Guendouzi,FRA,['MF'],Lazio,24,1999,26.3,2,26,6,23.1,0.99,0.23,0.08,0.33,19.2,0,0,0,1.6,1.6,0.06,+0.4,+0.4,2023-2024
239,Axel Guessand,FRA,['DF'],Udinese,18,2004,0.5,0,1,0,0.0,2.00,0.00,0.00,,12.5,0,0,0,0.0,0.0,0.01,0.0,0.0,2023-2024
240,Albert Guðmundsson,ISL,"['FW', 'MF']",Genoa,26,1997,33.5,14,52,19,36.5,1.55,0.57,0.19,0.53,20.8,8,4,5,9.9,5.8,0.11,+4.1,+4.2,2023-2024
241,Emmanuel Gyasi,GHA,"['DF', 'FW']",Empoli,29,1994,20.9,1,16,6,37.5,0.77,0.29,0.06,0.17,10.5,0,0,0,3.5,3.5,0.22,-2.5,-2.5,2023-2024
242,Norbert Gyömbér,SVK,['DF'],Salernitana,31,1992,19.6,0,4,0,0.0,0.20,0.00,0.00,,13.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2023-2024
243,Nicolas Haas,SUI,['MF'],Empoli,27,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,14.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1,2023-2024
244,Ridgeciano Haps,SUR,['DF'],Genoa,30,1993,8.6,0,4,0,0.0,0.47,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2023-2024
245,Abdou Harroui,NED,"['MF', 'FW']",Frosinone,25,1998,11.3,3,32,11,34.4,2.83,0.97,0.06,0.18,21.1,0,1,1,3.1,2.3,0.07,-0.1,-0.3,2023-2024
246,Hans Hateboer,NED,['DF'],Atalanta,29,1994,12.4,0,11,3,27.3,0.89,0.24,0.00,0.00,18.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2023-2024
247,Pantelis Hatzidiakos,GRE,['DF'],Cagliari,26,1997,9.5,0,4,1,25.0,0.42,0.11,0.00,0.00,14.0,0,0,0,0.4,0.4,0.10,-0.4,-0.4,2023-2024
