Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,18,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2024-2025
2,Yunis Abdelhamid,MAR,['DF'],Saint-Étienne,36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5,2024-2025
3,Himad Abdelli,ALG,"['MF', 'FW']",Angers,24,1999,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4,2024-2025
4,Mohamed Abdelmoneim,EGY,['DF'],Nice,25,1999,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0,2024-2025
5,Ali Abdi,TUN,"['DF', 'MF']",Nice,30,1993,15.5,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1,2024-2025
6,Matthis Abline,FRA,['FW'],Nantes,21,2003,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7,2024-2025
7,Abner,BRA,['DF'],Lyon,24,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8,2024-2025
8,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7,2024-2025
9,Akor Adams,NGA,['FW'],Montpellier,24,2000,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,2024-2025
10,Martin Adeline,FRA,['MF'],Reims,20,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,2024-2025
11,Adryelson,BRA,['DF'],Lyon,26,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,2024-2025
12,Emmanuel Agbadou,CIV,['DF'],Reims,27,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,2024-2025
13,Jeremy Agbonifo,SWE,"['FW', 'MF']",Lens,18,2005,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0,2024-2025
14,Ruben Aguilar,FRA,"['DF', 'MF']",Lens,31,1993,12.5,4,0,0,14,15,5,47,13,18,0,0,0,79,10,16,38.5,2024-2025
15,Naouirou Ahamada,FRA,"['MF', 'FW']",Rennes,22,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0,2024-2025
16,Jean-Eudes Aholou,CIV,['MF'],Angers,30,1994,21.8,7,0,0,50,25,1,2,33,36,0,0,0,100,38,23,62.3,2024-2025
17,Ayman Aiki,FRA,"['FW', 'MF']",Saint-Étienne,19,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0,2024-2025
18,Ludovic Ajorque,FRA,['FW'],Brest,30,1994,27.7,5,0,0,61,26,11,7,6,19,2,0,0,62,133,121,52.4,2024-2025
19,Ümit Akdag,ROU,['DF'],Toulouse,20,2003,5.6,2,0,0,8,1,0,3,11,4,0,0,0,24,18,7,72.0,2024-2025
20,Sergio Akieme,ESP,['DF'],Reims,26,1997,28.0,5,0,0,25,21,1,94,17,23,0,0,0,109,19,26,42.2,2024-2025
21,Maghnes Akliouche,FRA,"['FW', 'MF']",Monaco,22,2002,26.7,2,0,0,31,38,8,53,15,31,0,0,0,131,5,23,17.9,2024-2025
22,Paul Akouokou,CIV,['MF'],Lyon,26,1997,0.2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,,2024-2025
23,Clément Akpa,CIV,['DF'],Auxerre,22,2001,27.6,7,0,0,15,35,0,25,42,34,0,1,0,116,38,31,55.1,2024-2025
24,Chuba Akpom,ENG,['FW'],Lille,28,1995,7.1,0,0,0,11,15,2,1,0,5,1,0,0,11,17,11,60.7,2024-2025
25,Mohamed Ali Cho,FRA,"['FW', 'MF']",Nice,20,2004,18.0,2,0,0,12,41,9,51,5,9,0,0,0,69,13,27,32.5,2024-2025
26,Jim Allevinah,GAB,['FW'],Angers,29,1995,19.4,3,0,0,18,25,10,34,12,11,1,0,0,88,10,24,29.4,2024-2025
27,Thiago Almada,ARG,"['MF', 'FW']",Lyon,23,2001,10.6,3,0,0,10,8,1,47,7,8,1,0,0,56,1,2,33.3,2024-2025
28,Jordan Amavi,FRA,['DF'],Brest,30,1994,8.8,2,0,0,15,6,0,15,7,17,0,2,0,35,15,6,71.4,2024-2025
29,Kelvin Amian,FRA,['DF'],Nantes,26,1998,24.1,5,0,0,23,11,1,37,13,31,0,0,0,54,21,21,50.0,2024-2025
30,Michael Amir Murillo,PAN,['DF'],Marseille,28,1996,27.1,3,0,0,29,26,1,37,18,31,0,1,0,138,42,17,71.2,2024-2025
31,Samuel Amo-Ameyaw,ENG,"['DF', 'MF']",Strasbourg,18,2006,3.6,0,0,0,3,5,1,6,3,3,0,0,0,14,0,7,0.0,2024-2025
32,Mathis Amougou,FRA,['MF'],Saint-Étienne,18,2006,9.5,2,0,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0,2024-2025
33,Benjamin André,FRA,['MF'],Lille,33,1990,29.9,12,0,0,50,49,3,16,48,57,1,0,0,189,94,82,53.4,2024-2025
34,Kyllian Antonio,FRA,"['DF', 'MF']",Lens,16,2008,1.5,0,0,0,2,3,0,2,3,2,0,0,0,5,2,2,50.0,2024-2025
35,Dennis Appiah,FRA,['DF'],Saint-Étienne,32,1992,23.6,2,0,0,37,9,2,52,29,43,0,2,0,90,27,31,46.6,2024-2025
36,Carlens Arcus,HAI,['DF'],Angers,28,1996,22.7,3,0,0,38,21,1,55,27,35,0,0,0,81,31,25,55.4,2024-2025
37,Hákon Arnar Haraldsson,ISL,"['MF', 'FW']",Lille,21,2003,19.5,3,0,0,19,27,3,59,8,16,1,0,0,71,2,14,12.5,2024-2025
38,Marco Asensio,ESP,"['FW', 'MF']",Paris S-G,28,1996,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3,2024-2025
39,Lorenz Assignon,TOG,"['DF', 'MF']",Rennes,24,2000,26.2,9,0,0,52,28,5,70,25,27,0,1,0,110,38,22,63.3,2024-2025
40,Dehmaine Assoumani,FRA,"['MF', 'FW']",Nantes,19,2005,1.1,0,0,0,1,4,0,6,1,3,0,0,0,8,2,3,40.0,2024-2025
41,Valentin Atangana Edoa,FRA,['MF'],Reims,18,2005,31.7,7,0,0,57,50,8,17,37,50,0,0,0,117,47,34,58.0,2024-2025
42,Florian Ayé,FRA,['FW'],Auxerre,27,1997,6.4,0,0,0,10,6,3,2,7,2,0,0,0,14,13,37,26.0,2024-2025
43,André Ayew,GHA,['FW'],Le Havre,34,1989,16.1,2,0,0,19,30,6,7,3,10,0,0,0,26,37,63,37.0,2024-2025
44,Neil El Aynaoui,MAR,['MF'],Lens,23,2001,17.6,4,0,0,34,32,0,65,30,21,0,0,0,90,24,15,61.5,2024-2025
45,Shavy Babicka,GAB,"['MF', 'FW']",Toulouse,24,2000,13.2,2,0,0,16,21,7,39,3,12,0,0,0,54,7,17,29.2,2024-2025
