Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
364,Deiver Machado,COL,"['DF', 'MF']",Lens,28,1993,24.3,5,1,0,42,46,6,60,21,26,1,0,0,116,15,29,34.1,2022-2023
365,Soungoutou Magassa,FRA,['MF'],Monaco,18,2003,0.9,0,0,0,2,1,0,0,1,1,0,0,0,6,2,1,66.7,2022-2023
366,Hugo Magnetti,FRA,['MF'],Brest,24,1998,18.8,2,0,0,17,26,0,20,25,27,0,0,0,127,7,18,28.0,2022-2023
367,Yohann Magnin,FRA,['MF'],Clermont Foot,25,1997,26.7,6,0,0,48,48,3,14,25,54,0,3,0,149,27,47,36.5,2022-2023
368,Lovro Majer,CRO,"['MF', 'FW']",Rennes,24,1998,18.5,3,0,0,48,30,3,67,21,23,1,0,0,143,7,8,46.7,2022-2023
369,Jean-Victor Makengo,FRA,['MF'],Lorient,24,1998,11.8,2,1,1,18,27,0,1,10,8,0,0,0,79,4,4,50.0,2022-2023
370,Béni Makouana,CGO,"['FW', 'MF']",Montpellier,19,2002,2.2,1,0,0,3,1,0,6,0,0,1,0,0,10,3,7,30.0,2022-2023
371,Ruslan Malinovskyi,UKR,"['MF', 'FW']",Marseille,29,1993,13.6,4,0,0,29,18,1,38,3,11,0,0,0,73,15,24,38.5,2022-2023
372,Hianga Mananga Mbock,FRA,['MF'],Brest,22,1999,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0,2022-2023
373,Steve Mandanda,FRA,['GK'],Rennes,37,1985,33.5,1,0,0,2,3,0,0,0,0,0,2,0,55,6,1,85.7,2022-2023
374,Thomas Mangani,FRA,['MF'],Ajaccio,35,1987,14.8,4,1,0,24,13,0,79,24,17,0,0,0,94,20,24,45.5,2022-2023
375,Vito Mannone,ITA,['GK'],Lorient,34,1988,17.9,1,0,0,0,1,0,0,0,0,0,0,0,16,3,0,100.0,2022-2023
376,Myziane Maolida,COM,"['MF', 'FW']",Reims,23,1999,2.6,0,0,0,5,1,1,4,2,3,0,0,0,17,1,1,50.0,2022-2023
377,Faitout Maouassa,FRA,"['FW', 'DF']",Montpellier,24,1998,21.4,0,0,0,32,31,2,81,20,32,0,0,0,83,13,12,52.0,2022-2023
378,Vincent Marchetti,FRA,['MF'],Ajaccio,25,1997,27.2,7,0,0,29,36,1,6,19,26,1,0,0,168,5,13,27.8,2022-2023
379,Guillermo Maripán,CHI,['DF'],Monaco,28,1994,24.0,6,1,1,26,7,0,1,38,26,0,3,1,131,48,40,54.5,2022-2023
380,Marquinhos,BRA,['DF'],Paris S-G,28,1994,30.2,4,0,0,14,10,0,1,23,25,0,0,1,155,35,27,56.5,2022-2023
381,Jonas Martin,FRA,['MF'],Lille,32,1990,3.1,2,0,0,9,5,0,3,7,7,0,0,0,24,8,3,72.7,2022-2023
382,Gelson Martins,POR,"['MF', 'FW']",Monaco,27,1995,3.8,0,0,0,6,4,2,5,3,8,0,0,0,25,2,7,22.2,2022-2023
383,Han-Noah Massengo,FRA,['MF'],Auxerre,21,2001,12.4,3,0,0,16,23,1,2,14,15,1,0,0,59,6,16,27.3,2022-2023
384,Yanis Massolin,FRA,['MF'],Clermont Foot,19,2002,0.7,0,0,0,0,1,0,0,2,1,0,0,0,11,2,2,50.0,2022-2023
385,Eliot Matazo,BEL,['MF'],Monaco,20,2002,13.1,2,0,0,18,12,0,2,15,12,0,1,0,86,10,18,35.7,2022-2023
386,Chrislain Matsima,FRA,"['DF', 'MF']",Lorient,20,2002,2.5,0,0,0,0,1,0,0,2,0,0,0,0,9,3,6,33.3,2022-2023
387,Chrislain Matsima,FRA,['DF'],Monaco,20,2002,5.0,0,0,0,4,2,0,2,9,6,0,0,0,32,17,3,85.0,2022-2023
388,Jean Mattéo Bahoya,FRA,"['FW', 'MF']",Angers,17,2005,3.0,0,0,0,4,7,0,2,0,3,0,0,0,14,2,5,28.6,2022-2023
389,Azor Matusiwa,NED,['MF'],Reims,24,1998,27.6,4,0,0,43,33,0,4,46,41,0,0,0,235,32,35,47.8,2022-2023
390,Aïman Maurer,MAR,['MF'],Clermont Foot,17,2004,5.6,0,0,0,5,15,2,19,3,1,0,0,0,21,3,7,30.0,2022-2023
391,Stephy Mavididi,ENG,['FW'],Montpellier,24,1998,14.3,1,1,0,20,18,3,10,4,19,0,0,0,59,10,22,31.3,2022-2023
392,Christian Mawissa,FRA,['DF'],Toulouse,17,2005,1.1,1,0,0,2,2,0,1,3,0,0,1,0,3,1,1,50.0,2022-2023
393,Fernand Mayembo,CGO,['DF'],Ajaccio,26,1996,7.9,1,0,0,9,15,0,0,11,5,1,0,0,50,15,5,75.0,2022-2023
394,Derek Mazou-Sacko,FRA,['MF'],Troyes,17,2004,0.2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,100.0,2022-2023
395,Kylian Mbappé,FRA,['FW'],Paris S-G,23,1998,31.3,6,0,0,19,40,33,47,5,4,1,0,0,54,8,5,61.5,2022-2023
396,Chancel Mbemba,COD,['DF'],Marseille,27,1994,31.7,2,0,0,19,19,0,40,42,26,1,0,0,165,72,35,67.3,2022-2023
397,Jason Mbock,FRA,"['MF', 'FW']",Angers,22,1999,0.3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,,2022-2023
398,Nathanael Mbuku,COD,"['FW', 'MF']",Reims,20,2002,0.7,0,0,0,0,7,0,2,0,1,0,0,0,7,0,2,0.0,2022-2023
399,Facundo Medina,ARG,['DF'],Lens,23,1999,30.9,7,0,0,34,18,0,22,26,20,0,0,0,212,37,43,46.3,2022-2023
400,Bamo Meïté,CIV,['DF'],Lorient,20,2001,16.7,5,0,0,16,12,1,0,16,8,0,0,0,76,30,35,46.2,2022-2023
401,Farid El Melali,ALG,"['DF', 'FW']",Angers,25,1997,9.0,1,0,0,13,15,2,16,8,12,0,0,0,53,2,9,18.2,2022-2023
402,Birger Meling,NOR,['DF'],Rennes,27,1994,13.4,3,1,0,20,16,2,18,23,15,0,0,0,71,12,16,42.9,2022-2023
403,Nuno Mendes,POR,['DF'],Paris S-G,20,2002,17.2,2,0,0,25,34,5,30,17,30,0,0,0,98,10,6,62.5,2022-2023
404,Pedro Mendes,POR,['DF'],Montpellier,31,1990,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0,2022-2023
405,Thiago Mendes,BRA,"['MF', 'DF']",Lyon,30,1992,22.9,3,0,0,24,24,0,6,47,27,0,1,0,145,34,20,63.0,2022-2023
406,Antoine Mendy,SEN,['DF'],Nice,18,2004,5.8,0,0,0,9,3,2,13,2,13,0,0,0,37,7,11,38.9,2022-2023
407,Arial Mendy,SEN,['DF'],Clermont Foot,27,1994,2.5,0,0,0,1,7,1,10,4,2,0,1,0,14,5,4,55.6,2022-2023
408,Batista Mendy,FRA,"['MF', 'DF']",Angers,22,2000,31.8,8,1,1,67,42,1,9,21,30,0,1,0,193,27,13,67.5,2022-2023
409,Gideon Mensah,GHA,['DF'],Auxerre,24,1998,25.1,5,0,0,29,18,1,67,38,44,0,1,0,246,21,20,51.2,2022-2023
410,Quentin Merlin,FRA,['DF'],Nantes,20,2002,19.9,2,0,0,12,14,0,113,24,19,0,0,0,112,16,15,51.6,2022-2023
411,Lionel Messi,ARG,"['FW', 'MF']",Paris S-G,35,1987,31.5,0,0,0,8,36,6,91,2,18,0,0,0,75,1,3,25.0,2022-2023
412,Amine Messoussa,ALG,['FW'],Lille,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2022-2023
413,Arkadiusz Milik,POL,['FW'],Marseille,28,1994,1.4,1,0,0,4,1,1,0,0,1,0,0,0,4,2,7,22.2,2022-2023
414,Takumi Minamino,JPN,"['MF', 'FW']",Monaco,27,1995,8.0,2,0,0,20,10,4,31,6,8,1,0,0,42,7,7,50.0,2022-2023
415,Terem Moffi,NGA,['FW'],Nice,23,1999,14.8,2,0,0,13,10,5,1,2,6,0,0,0,28,19,27,41.3,2022-2023
416,Terem Moffi,NGA,['FW'],Lorient,23,1999,15.4,1,0,0,17,17,4,3,3,5,0,0,0,35,13,47,21.7,2022-2023
417,Mostafa Mohamed,EGY,['FW'],Nantes,24,1997,21.5,1,0,0,43,28,13,10,10,13,1,0,0,48,76,87,46.6,2022-2023
418,Florent Mollet,FRA,['MF'],Nantes,30,1991,12.1,3,0,0,18,20,3,76,10,6,0,0,0,57,8,16,33.3,2022-2023
419,Marlos Moreno,COL,"['MF', 'DF']",Troyes,25,1996,0.1,0,0,0,1,1,0,0,0,2,0,0,0,1,1,1,50.0,2022-2023
420,Lebo Mothiba,RSA,"['FW', 'MF']",Strasbourg,26,1996,4.8,0,0,0,12,12,0,4,0,0,0,0,0,11,10,24,29.4,2022-2023
421,Steve Mounié,BEN,['FW'],Brest,27,1994,18.4,2,0,0,37,25,10,9,3,5,0,0,0,49,150,105,58.8,2022-2023
422,Bevic Moussiti-Oko,CGO,['FW'],Ajaccio,27,1995,7.8,1,0,0,18,22,2,4,2,1,0,0,0,27,53,47,53.0,2022-2023
423,Samuel Moutoussamy,COD,['MF'],Nantes,25,1996,26.7,8,0,0,33,15,0,9,24,34,0,0,0,167,21,45,31.8,2022-2023
424,François Mughe,CMR,['MF'],Marseille,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2022-2023
425,Nordi Mukiele,FRA,['DF'],Paris S-G,24,1997,12.6,0,0,0,16,14,2,16,14,23,0,0,0,61,21,10,67.7,2022-2023
426,Marshall Munetsi,ZIM,['MF'],Reims,26,1996,30.0,6,0,0,64,38,2,23,26,27,1,0,0,157,58,49,54.2,2022-2023
427,Yvon Mvogo,SUI,['GK'],Lorient,28,1994,20.1,0,0,0,0,3,0,0,2,0,0,0,0,13,5,0,100.0,2022-2023
428,Nathan N'Goumou,CMR,['FW'],Toulouse,22,2000,1.0,0,0,0,0,0,0,1,2,2,0,0,0,6,1,0,100.0,2022-2023
429,Youssouf Ndayishimiye,BDI,"['MF', 'DF']",Nice,23,1998,6.3,2,0,0,5,4,0,2,12,9,0,0,0,36,5,6,45.5,2022-2023
430,Papa Ndiaga Yade,MTN,"['DF', 'MF']",Troyes,22,2000,6.3,1,1,0,14,10,2,30,8,6,0,0,0,33,5,7,41.7,2022-2023
431,Neymar,BRA,"['MF', 'FW']",Paris S-G,30,1992,17.2,6,1,1,25,65,5,54,4,14,1,0,0,63,1,2,33.3,2022-2023
432,Ibrahima Niane,SEN,['FW'],Angers,23,1999,12.6,4,0,0,12,27,2,7,1,2,0,0,0,35,23,50,31.5,2022-2023
433,M'Baye Niang,SEN,['FW'],Auxerre,27,1994,16.5,2,2,0,43,42,8,8,1,7,0,1,0,37,68,65,51.1,2022-2023
434,Rasmus Nicolaisen,DEN,['DF'],Toulouse,25,1997,33.3,7,1,1,30,28,1,0,50,21,0,1,1,188,116,41,73.9,2022-2023
