Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2023-2024
2,Yunis Abdelhamid,MAR,['DF'],Reims,35,1987,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2,2023-2024
3,Salis Abdul Samed,GHA,['MF'],Lens,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,2023-2024
4,Laurent Abergel,FRA,['MF'],Lorient,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,2023-2024
5,Matthis Abline,FRA,['FW'],Nantes,20,2003,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7,2023-2024
6,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,23,2000,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2,2023-2024
7,Akor Adams,NGA,['FW'],Montpellier,23,2000,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9,2023-2024
8,Nathaniel Adjei,GHA,['DF'],Lorient,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7,2023-2024
9,Adryelson,BRA,"['DF', 'FW']",Lyon,25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2023-2024
10,Adson,BRA,"['MF', 'FW']",Nantes,22,2000,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0,2023-2024
11,Emmanuel Agbadou,CIV,['DF'],Reims,26,1997,28.8,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4,2023-2024
12,Ruben Aguilar,FRA,['DF'],Lens,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1,2023-2024
13,Tosin Aiyegun,BEN,"['MF', 'FW']",Lorient,25,1998,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5,2023-2024
14,Sergio Akieme,ESP,['DF'],Reims,25,1997,9.1,2,0,0,17,10,0,21,10,5,0,0,0,40,6,4,60.0,2023-2024
15,Maghnes Akliouche,FRA,"['MF', 'FW']",Monaco,21,2002,17.9,5,0,0,33,31,1,54,9,23,0,0,0,110,4,19,17.4,2023-2024
16,Paul Akouokou,CIV,['MF'],Lyon,25,1997,3.4,1,0,0,9,3,0,0,6,9,0,0,0,25,8,5,61.5,2023-2024
17,Aboubacar Ali,COM,"['MF', 'FW']",Strasbourg,17,2006,1.4,0,0,0,4,1,0,6,1,0,0,0,0,5,1,5,16.7,2023-2024
18,Mohamed Ali Cho,FRA,['FW'],Nice,19,2004,9.6,2,0,0,17,22,3,44,3,9,1,1,0,30,5,12,29.4,2023-2024
19,Nabil Alioui,FRA,"['MF', 'FW']",Le Havre,24,1999,11.2,1,0,0,10,20,5,54,3,2,0,0,0,36,10,10,50.0,2023-2024
20,Jim Allevinah,GAB,"['MF', 'DF']",Clermont Foot,28,1995,20.7,1,0,0,15,26,1,47,13,18,0,0,0,100,16,26,38.1,2023-2024
21,Skelly Alvero,FRA,['MF'],Lyon,21,2002,4.7,2,0,0,12,3,0,2,2,7,0,1,0,20,9,7,56.3,2023-2024
22,Papa Amadou Diallo,SEN,['FW'],Metz,19,2004,9.9,1,0,0,10,11,4,14,11,8,0,0,0,59,30,36,45.5,2023-2024
