Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
509,Jan Salas,ESP,"['MF', 'FW']",Mallorca,18,2005,0.5,1,2.09,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
510,Kike Salas,ESP,['DF'],Sevilla,22,2002,24.9,17,0.68,14,0,0,3,0,0,4,0.16,4,0,0,0,0,0,2024-2025
511,Albert Sambi Lokonga,BEL,['MF'],Sevilla,24,1999,16.3,35,2.14,32,0,0,2,0,1,3,0.18,3,0,0,0,0,0,2024-2025
512,Chuky san jose,ESP,['MF'],Valladolid,20,2004,8.1,15,1.86,9,3,1,0,2,0,2,0.25,0,0,1,0,1,0,2024-2025
513,Oihan Sancet,ESP,['MF'],Athletic Club,24,2000,18.0,50,2.77,38,0,4,5,3,0,8,0.44,4,0,1,3,0,0,2024-2025
514,Antonio Sánchez,ESP,"['MF', 'DF']",Mallorca,27,1997,15.5,18,1.16,12,2,1,2,1,0,0,0.00,0,0,0,0,0,0,2024-2025
515,Iván Sánchez,ESP,"['MF', 'FW']",Valladolid,31,1992,15.6,64,4.11,46,7,4,1,5,1,5,0.32,5,0,0,0,0,0,2024-2025
516,Javi Sánchez,ESP,['DF'],Valladolid,27,1997,22.5,14,0.62,13,0,0,1,0,0,2,0.09,1,0,0,1,0,0,2024-2025
517,Juanlu Sánchez,ESP,"['MF', 'DF']",Sevilla,20,2003,19.1,40,2.09,36,0,2,2,0,0,5,0.26,5,0,0,0,0,0,2024-2025
518,Manu Sánchez,ESP,['DF'],Alavés,23,2000,29.3,40,1.37,28,5,0,5,2,0,3,0.10,2,0,0,1,0,0,2024-2025
519,Maroan Sannadi,MAR,['FW'],Athletic Club,23,2001,8.4,16,1.91,8,0,4,2,2,0,2,0.24,1,0,0,0,1,0,2024-2025
520,Yellu Santiago,ESP,['MF'],Getafe,20,2004,4.1,6,1.45,2,1,0,0,2,1,0,0.00,0,0,0,0,0,0,2024-2025
521,Aleksandar Sedlar,SRB,['DF'],Alavés,32,1991,6.6,2,0.30,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
522,Sergi,ESP,['DF'],Leganés,32,1992,32.9,12,0.37,11,0,0,0,1,0,3,0.09,2,0,0,0,1,0,2024-2025
523,Nicolás Serrano,ESP,['FW'],Athletic Club,21,2003,1.2,2,1.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
524,Fábio Silva,POR,['FW'],Las Palmas,22,2002,20.7,43,2.08,30,0,4,3,5,1,5,0.24,3,0,1,1,0,0,2024-2025
525,Rui Silva,POR,['GK'],Betis,30,1994,15.0,5,0.33,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
526,Giuliano Simeone,ARG,['MF'],Atlético Madrid,21,2002,21.4,50,2.34,40,0,5,2,3,0,9,0.42,7,0,1,0,1,0,2024-2025
527,Unai Simón,ESP,['GK'],Athletic Club,27,1997,21.0,6,0.29,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
528,Daley Sinkgraven,NED,['DF'],Las Palmas,29,1995,1.0,2,1.98,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
529,Jailson Siqueira,BRA,"['DF', 'MF']",Celta Vigo,28,1995,6.8,8,1.17,5,0,0,1,0,2,0,0.00,0,0,0,0,0,0,2024-2025
530,Antonio Sivera,ESP,['GK'],Alavés,27,1996,31.2,11,0.35,6,5,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
531,Justin Smith,CAN,['MF'],Espanyol,21,2003,2.3,2,0.86,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0,2024-2025
532,Alex Sola,ESP,"['MF', 'FW']",Getafe,25,1999,11.4,26,2.28,17,0,6,0,3,0,2,0.18,2,0,0,0,0,0,2024-2025
533,Arnau Solà,ESP,['MF'],Villarreal,21,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
534,Jhon Solis,COL,['MF'],Girona,19,2004,5.9,6,1.01,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
535,David Soria,ESP,['GK'],Getafe,31,1993,38.0,8,0.21,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
536,Juan Soriano,ESP,['GK'],Leganés,26,1997,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
537,Hugo Sotelo,ESP,['MF'],Celta Vigo,20,2003,13.9,40,2.87,27,12,0,0,0,1,0,0.00,0,0,0,0,0,0,2024-2025
538,Djibril Sow,SUI,['MF'],Sevilla,27,1997,22.9,64,2.79,58,0,0,1,3,2,4,0.17,4,0,0,0,0,0,2024-2025
539,Carl Starfelt,SWE,['DF'],Celta Vigo,29,1995,25.2,18,0.71,16,0,0,1,0,1,1,0.04,1,0,0,0,0,0,2024-2025
540,Orri Steinn Óskarsson,ISL,['FW'],Real Sociedad,19,2004,10.5,10,0.95,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,2024-2025
