player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Adson,23,['Brazil'],RW,€5.00m,FC Nantes,Clube de Regatas Vasco da Gama,€5.00m,23/24
Andrei Girotto,31,"['Brazil', 'Italy']",CB,€4.00m,FC Nantes,Al-Taawoun FC,€4.00m,23/24
Andy Delort,31,"['Algeria', 'France']",CF,€7.00m,FC Nantes,Umm Salal SC,€2.50m,23/24
Jaouen Hadjam,20,"['Algeria', 'France']",LB,€1.50m,FC Nantes,BSC Young Boys,€1.30m,23/24
Ronaël Pierre-Gabriel,25,"['France', 'Martinique']",RB,€3.50m,FC Nantes,GNK Dinamo Zagreb,free transfer,23/24
Gor Manvelyan,21,"['Armenia', 'France']",AM,€400k,FC Nantes,FC Noah Yerevan,free transfer,23/24
Charles Traoré,31,"['Mali', 'France']",LB,€600k,FC Nantes,SC Bastia,free transfer,23/24
Bridge Ndilu,23,"['France', 'DR Congo']",CF,€250k,FC Nantes,Swift Hesperange,free transfer,23/24
Sébastien Corchia,32,"['France', 'Italy']",RB,€1.00m,FC Nantes,Amiens SC,free transfer,23/24
Samuel Yépié Yépié,20,"['France', ""Cote d'Ivoire""]",AM,€150k,FC Nantes,Adanaspor,free transfer,23/24
Rassoul Ndiaye,21,"['Senegal', 'France']",DM,€4.00m,FC Sochaux-Montbéliard,Le Havre AC,€1.50m,23/24
Emmanuel Sabbi,25,"['United States', 'Ghana']",RW,€600k,Odense Boldklub,Le Havre AC,€1.00m,23/24
Issa Soumaré,22,"['Senegal', 'Mauritania']",LW,€1.00m,Beerschot VA,Le Havre AC,€400k,23/24
Abdoulaye Touré,29,"['Guinea', 'France']",DM,€1.30m,Genoa CFC,Le Havre AC,free transfer,23/24
Yoann Salmier,30,"['French Guiana', 'France']",CB,€2.00m,ESTAC Troyes,Le Havre AC,free transfer,23/24
Kandet Diawara,23,"['Guinea', 'France']",LW,€250k,APOEL Nicosia,Le Havre AC,free transfer,23/24
Daler Kuzyaev,30,['Russia'],CM,€10.00m,Zenit St. Petersburg,Le Havre AC,free transfer,23/24
Loïc Nego,32,"['Hungary', 'France']",RB,€1.00m,Videoton FC Fehérvár,Le Havre AC,free transfer,23/24
Cheick Doumbia,18,"['Mali', 'France']",LB,-,FC Lorient B,Le Havre AC,?,23/24
André Ayew,33,"['Ghana', 'France']",CF,€1.20m,Without Club,Le Havre AC,-,23/24
Pape Ibnou Ba,31,"['Mauritania', 'Senegal']",CF,€400k,Le Havre AC,US Concarneau,free transfer,23/24
Victor Lekhal,29,"['Algeria', 'France']",DM,€2.50m,Le Havre AC,Umm Salal SC,free transfer,23/24
Nolan Mbemba,28,"['Congo', 'France']",DM,€400k,Le Havre AC,Grenoble Foot 38,free transfer,23/24
Quentin Cornette,29,['France'],RW,€1.00m,Le Havre AC,Volos NPS,free transfer,23/24
Jamal Thiaré,30,['Senegal'],CF,€600k,Le Havre AC,Atlanta United FC,free transfer,23/24
Ylan Gomes,20,"['France', 'Guinea-Bissau']",LW,€250k,Le Havre AC,FC Martigues,free transfer,23/24
Elies Mahmoud,22,"['France', 'Algeria']",RW,€800k,Le Havre AC,FC Stade-Lausanne-Ouchy,?,23/24
