player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Khvicha Kvaratskhelia,23,['Georgia'],LW,€85.00m,SSC Napoli,Paris Saint-Germain,€70.00m,24/25
João Neves,19,['Portugal'],CM,€55.00m,SL Benfica,Paris Saint-Germain,€65.92m,24/25
Désiré Doué,19,"['France', ""Cote d'Ivoire""]",RW,€30.00m,Stade Rennais FC,Paris Saint-Germain,€50.00m,24/25
Willian Pacho,22,['Ecuador'],CB,€35.00m,Eintracht Frankfurt,Paris Saint-Germain,€40.00m,24/25
Matvey Safonov,25,['Russia'],GK,€20.00m,FC Krasnodar,Paris Saint-Germain,€20.00m,24/25
Xavi Simons,21,"['Netherlands', 'Suriname']",AM,€80.00m,Paris Saint-Germain,RB Leipzig,€50.00m,24/25
Manuel Ugarte,23,['Uruguay'],DM,€45.00m,Paris Saint-Germain,Manchester United,€50.00m,24/25
Hugo Ekitiké,22,"['France', 'Cameroon']",CF,€20.00m,Paris Saint-Germain,Eintracht Frankfurt,€31.50m,24/25
Danilo Pereira,32,"['Portugal', 'Guinea-Bissau']",CB,€8.00m,Paris Saint-Germain,Al-Ittihad Club,€5.00m,24/25
Cher Ndour,20,"['Italy', 'Senegal']",CM,€4.00m,Paris Saint-Germain,ACF Fiorentina,€5.00m,24/25
Noha Lemina,19,"['Gabon', 'France']",AM,€500k,Paris Saint-Germain,FC Annecy,free transfer,24/25
Kylian Mbappé,25,"['France', 'Cameroon']",CF,€180.00m,Paris Saint-Germain,Real Madrid,free transfer,24/25
Ismaël Gharbi,20,"['Tunisia', 'Spain']",LW,€7.50m,Paris Saint-Germain,SC Braga,free transfer,24/25
Colin Dagba,25,"['France', 'Benin']",RB,€1.20m,Paris Saint-Germain,Beerschot VA,free transfer,24/25
Edouard Michut,21,['France'],CM,€2.50m,Paris Saint-Germain,Adana Demirspor,free transfer,24/25
Juan Bernat,31,['Spain'],LB,€2.50m,Paris Saint-Germain,Villarreal CF,free transfer,24/25
Sergio Rico,30,['Spain'],GK,€1.50m,Paris Saint-Germain,Without Club,-,24/25
Alexandre Letellier,33,['France'],GK,€250k,Paris Saint-Germain,Without Club,-,24/25
Layvin Kurzawa,31,"['France', 'Guadeloupe']",LB,€1.80m,Paris Saint-Germain,Without Club,-,24/25
Keylor Navas,37,"['Costa Rica', 'Spain']",GK,€1.50m,Paris Saint-Germain,Without Club,-,24/25
George Ilenikhena,17,"['Nigeria', 'France']",CF,€10.00m,Royal Antwerp FC,AS Monaco,€18.75m,24/25
Christian Mawissa,19,"['France', 'DR Congo']",CB,€9.00m,FC Toulouse,AS Monaco,€16.00m,24/25
Lamine Camara,20,['Senegal'],CM,€10.00m,FC Metz,AS Monaco,€15.00m,24/25
Mika Biereth,21,"['Denmark', 'England']",CF,€13.00m,SK Sturm Graz,AS Monaco,€13.00m,24/25
Thilo Kehrer,27,"['Germany', 'Burundi']",CB,€10.00m,West Ham United,AS Monaco,€11.00m,24/25
Jordan Teze,24,"['Netherlands', 'DR Congo']",RB,€18.00m,PSV Eindhoven,AS Monaco,€10.00m,24/25
Paris Brunner,18,"['Germany', 'DR Congo']",CF,-,Borussia Dortmund U19,AS Monaco,€4.00m,24/25
Youssouf Fofana,25,"['France', 'Mali']",DM,€30.00m,AS Monaco,AC Milan,€26.00m,24/25
Mohamed Camara,24,['Mali'],DM,€20.00m,AS Monaco,Al-Sadd SC,€16.50m,24/25
Félix Lemaréchal,21,"['France', ""Cote d'Ivoire""]",AM,€5.00m,AS Monaco,RC Strasbourg Alsace,€6.00m,24/25
Guillermo Maripán,30,['Chile'],CB,€10.00m,AS Monaco,Torino FC,€4.60m,24/25
Eliot Matazo,22,"['Belgium', 'DR Congo']",CM,€3.00m,AS Monaco,Hull City,€2.00m,24/25
Wissam Ben Yedder,33,"['France', 'Tunisia']",CF,€8.00m,AS Monaco,Without Club,-,24/25
Mama Baldé,28,"['Guinea-Bissau', 'Portugal']",CF,€4.00m,Olympique Lyon,Stade Brestois 29,€4.50m,24/25
Kamory Doumbia,21,['Mali'],AM,€5.00m,Stade Reims,Stade Brestois 29,€4.00m,24/25
Julien Le Cardinal,26,['France'],CB,€1.50m,RC Lens,Stade Brestois 29,€1.70m,24/25
Jordan Amavi,30,"['France', 'Senegal']",LB,€1.20m,Olympique Marseille,Stade Brestois 29,free transfer,24/25
Massadio Haïdara,31,"['Mali', 'France']",LB,€2.00m,RC Lens,Stade Brestois 29,free transfer,24/25
Justin Bourgault,19,['France'],LB,€150k,US Concarneau,Stade Brestois 29,free transfer,24/25
Hamidou Makalou,18,['Mali'],DM,-,Guidars FC,Stade Brestois 29,?,24/25
Jérémy Le Douaron,26,['France'],CF,€5.00m,Stade Brestois 29,Palermo FC,€4.00m,24/25
Achraf Dari,25,['Morocco'],CB,€2.00m,Stade Brestois 29,Al Ahly FC,€1.80m,24/25
Taïryk Arconte,20,"['Guadeloupe', 'France']",CF,€700k,Stade Brestois 29,Pau FC,€600k,24/25
Adrien Lebeau,24,['France'],AM,€300k,Stade Brestois 29,FC Hansa Rostock,free transfer,24/25
Steve Mounié,29,"['Benin', 'France']",CF,€6.00m,Stade Brestois 29,FC Augsburg,free transfer,24/25
Josué Escartin,21,"['France', 'DR Congo']",CB,€150k,Stade Brestois 29,Red Star FC,free transfer,24/25
Yan Marillat,29,['France'],GK,€150k,Stade Brestois 29,Without Club,-,24/25
Matías Fernández-Pardo,19,"['Spain', 'Belgium']",LW,€3.00m,KAA Gent,LOSC Lille,€11.50m,24/25
Osame Sahraoui,23,"['Morocco', 'Norway']",LW,€8.50m,SC Heerenveen,LOSC Lille,€8.00m,24/25
Ngal'ayel Mukau,19,"['DR Congo', 'Belgium']",DM,€3.00m,KV Mechelen,LOSC Lille,€5.00m,24/25
Ethan Mbappé,17,"['France', 'Cameroon']",CM,€1.50m,Paris Saint-Germain U19,LOSC Lille,free transfer,24/25
Thomas Meunier,32,['Belgium'],RB,€2.50m,Trabzonspor,LOSC Lille,free transfer,24/25
Aïssa Mandi,32,"['Algeria', 'France']",CB,€1.80m,Villarreal CF,LOSC Lille,free transfer,24/25
Marc-Aurèle Caillard,30,['France'],GK,€200k,FC Metz,LOSC Lille,free transfer,24/25
André Gomes,31,['Portugal'],CM,€10.00m,Without Club,LOSC Lille,-,24/25
Leny Yoro,18,"['France', ""Cote d'Ivoire""]",CB,€50.00m,LOSC Lille,Manchester United,€62.00m,24/25
Akim Zedadka,29,"['Algeria', 'France']",RB,€1.50m,LOSC Lille,Piast Gliwice,free transfer,24/25
Adam Ounas,27,"['Algeria', 'France']",RW,€4.00m,LOSC Lille,Without Club,-,24/25
Yusuf Yazıcı,27,['Türkiye'],AM,€10.00m,LOSC Lille,Without Club,-,24/25
Ivan Cavaleiro,30,"['Angola', 'Portugal']",LW,€2.00m,LOSC Lille,Without Club,-,24/25
Adam Jakubech,27,['Slovakia'],GK,€200k,LOSC Lille,Without Club,-,24/25
Moïse Bombito,24,"['Canada', 'DR Congo']",CB,€4.50m,Colorado Rapids,OGC Nice,€7.00m,24/25
Jonathan Clauss,31,['France'],RB,€12.00m,Olympique Marseille,OGC Nice,€5.00m,24/25
Mohamed Abdelmonem,25,['Egypt'],CB,€3.00m,Al Ahly FC,OGC Nice,€4.20m,24/25
Morgan Sanson,29,['France'],CM,€8.00m,Aston Villa,OGC Nice,€4.00m,24/25
Ali Abdi,30,['Tunisia'],LB,€1.50m,SM Caen,OGC Nice,€500k,24/25
Tanguy Ndombélé,27,"['France', 'DR Congo']",CM,€8.00m,Tottenham Hotspur,OGC Nice,free transfer,24/25
Khéphren Thuram,23,"['France', 'Guadeloupe']",CM,€35.00m,OGC Nice,Juventus FC,€20.60m,24/25
Jordan Lotomba,25,"['Switzerland', 'DR Congo']",RB,€8.00m,OGC Nice,Feyenoord Rotterdam,€2.20m,24/25
Robson Bambu,26,['Brazil'],CB,€3.00m,OGC Nice,SC Braga,€1.20m,24/25
Alexis Claude-Maurice,26,"['France', 'Guadeloupe']",AM,€3.50m,OGC Nice,FC Augsburg,free transfer,24/25
Alexis Beka Beka,23,"['France', 'Congo']",DM,€1.50m,OGC Nice,Without Club,-,24/25
Moussa Niakhaté,28,"['Senegal', 'France']",CB,€16.00m,Nottingham Forest,Olympique Lyon,€31.90m,24/25
Ernest Nuamah,20,['Ghana'],RW,€18.00m,RWD Molenbeek,Olympique Lyon,€28.50m,24/25
Orel Mangala,26,"['Belgium', 'DR Congo']",DM,€20.00m,Nottingham Forest,Olympique Lyon,€23.40m,24/25
Georges Mikautadze,23,"['Georgia', 'France']",CF,€20.00m,FC Metz,Olympique Lyon,€18.50m,24/25
Saïd Benrahma,28,"['Algeria', 'France']",LW,€20.00m,West Ham United,Olympique Lyon,€14.40m,24/25
Abner,24,['Brazil'],LB,€7.00m,Real Betis Balompié,Olympique Lyon,€8.00m,24/25
Mama Baldé,28,"['Guinea-Bissau', 'Portugal']",CF,€4.00m,ESTAC Troyes,Olympique Lyon,€6.00m,24/25
Tanner Tessmann,22,['United States'],DM,€7.00m,Venezia FC,Olympique Lyon,€6.00m,24/25
Jordan Veretout,31,['France'],CM,€15.00m,Olympique Marseille,Olympique Lyon,€4.00m,24/25
Duje Caleta-Car,27,['Croatia'],CB,€7.00m,Southampton FC,Olympique Lyon,€3.59m,24/25
Rémy Descamps,28,['France'],GK,€1.50m,FC Nantes,Olympique Lyon,free transfer,24/25
Jake O'Brien,23,['Ireland'],RB,€12.00m,Olympique Lyon,Everton FC,€19.50m,24/25
Maxence Caqueret,24,['France'],CM,€15.00m,Olympique Lyon,Como 1907,€15.00m,24/25
Mamadou Sarr,18,"['Senegal', 'France']",CB,€1.00m,Olympique Lyon,RC Strasbourg Alsace,€10.00m,24/25
Gift Orban,22,"['Nigeria', 'Togo']",CF,€10.00m,Olympique Lyon,TSG 1899 Hoffenheim,€9.00m,24/25
Jeffinho,25,['Brazil'],LW,€5.00m,Olympique Lyon,Botafogo de Futebol e Regatas,€5.30m,24/25
Skelly Alvero,22,"['France', 'Angola']",DM,€4.00m,Olympique Lyon,SV Werder Bremen,€4.75m,24/25
Mohamed El Arouch,20,"['France', 'Morocco']",CM,€1.50m,Olympique Lyon,Botafogo de Futebol e Regatas,free transfer,24/25
Anthony Lopes,34,"['Portugal', 'France']",GK,€1.50m,Olympique Lyon,FC Nantes,free transfer,24/25
Florent Sanchez,21,"['France', 'Spain']",CM,€350k,Olympique Lyon,US Orléans,free transfer,24/25
Dejan Lovren,35,['Croatia'],CB,€1.20m,Olympique Lyon,PAOK Thessaloniki,free transfer,24/25
Sinaly Diomandé,23,"[""Cote d'Ivoire""]",CB,€4.00m,Olympique Lyon,AJ Auxerre,free transfer,24/25
Tino Kadewere,28,['Zimbabwe'],CF,€2.50m,Olympique Lyon,FC Nantes,free transfer,24/25
Henrique Silva,30,['Brazil'],LB,€1.00m,Olympique Lyon,Without Club,-,24/25
Anass Zaroury,23,"['Morocco', 'Belgium']",LW,€9.00m,Burnley FC,RC Lens,€5.00m,24/25
Jhoanner Chávez,22,['Ecuador'],LB,€2.00m,Esporte Clube Bahia,RC Lens,€4.50m,24/25
Nidal Celik,18,['Bosnia-Herzegovina'],CB,€1.00m,FK Sarajevo,RC Lens,€2.50m,24/25
Hervé Koffi,27,"['Burkina Faso', ""Cote d'Ivoire""]",GK,€2.00m,Royal Charleroi SC,RC Lens,€2.50m,24/25
