player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Ilya Zabarnyi,22,['Ukraine'],CB,€42.00m,AFC Bournemouth,Paris Saint-Germain,€63.00m,25/26
Lucas Chevalier,23,['France'],GK,€30.00m,LOSC Lille,Paris Saint-Germain,€40.00m,25/26
Renato Marin,19,"['Italy', 'Brazil']",GK,€500k,AS Roma,Paris Saint-Germain,free transfer,25/26
Gianluigi Donnarumma,26,['Italy'],GK,€40.00m,Paris Saint-Germain,Manchester City,€30.00m,25/26
Nordi Mukiele,27,"['France', 'DR Congo']",RB,€10.00m,Paris Saint-Germain,Sunderland AFC,€12.00m,25/26
Marco Asensio,29,"['Spain', 'Netherlands']",AM,€20.00m,Paris Saint-Germain,Fenerbahce,€7.50m,25/26
Milan Škriniar,30,['Slovakia'],CB,€15.00m,Paris Saint-Germain,Fenerbahce,€6.00m,25/26
Carlos Soler,28,['Spain'],CM,€18.00m,Paris Saint-Germain,Real Sociedad,€6.00m,25/26
Arnau Tenas,24,['Spain'],GK,€3.00m,Paris Saint-Germain,Villarreal CF,€2.50m,25/26
Presnel Kimpembe,30,"['France', 'DR Congo']",CB,€5.00m,Paris Saint-Germain,Qatar SC,?,25/26
Igor Paixão,25,['Brazil'],LW,€35.00m,Feyenoord Rotterdam,Olympique Marseille,€30.00m,25/26
Nayef Aguerd,29,['Morocco'],CB,€18.00m,West Ham United,Olympique Marseille,€23.00m,25/26
Jonathan Rowe,22,"['England', 'Jamaica']",LW,€12.00m,Norwich City,Olympique Marseille,€14.50m,25/26
Pierre-Emile Højbjerg,29,"['Denmark', 'France']",DM,€20.00m,Tottenham Hotspur,Olympique Marseille,€13.50m,25/26
Neal Maupay,28,"['France', 'Argentina']",CF,€8.00m,Everton FC,Olympique Marseille,€4.00m,25/26
Emerson,31,"['Italy', 'Brazil']",LB,€10.00m,West Ham United,Olympique Marseille,€700k,25/26
Angel Gomes,24,"['England', 'Portugal']",AM,€20.00m,LOSC Lille,Olympique Marseille,free transfer,25/26
Pierre-Emerick Aubameyang,36,"['Gabon', 'France']",CF,€3.50m,Al-Qadsiah FC,Olympique Marseille,free transfer,25/26
CJ Egan-Riley,22,"['England', 'Ireland']",CB,€16.00m,Burnley FC,Olympique Marseille,free transfer,25/26
Luis Henrique,23,['Brazil'],RM,€25.00m,Olympique Marseille,Inter Milan,€22.80m,25/26
Jonathan Rowe,22,"['England', 'Jamaica']",LW,€12.00m,Olympique Marseille,Bologna FC 1909,€17.00m,25/26
Quentin Merlin,23,['France'],LB,€15.00m,Olympique Marseille,Stade Rennais FC,€13.00m,25/26
Adrien Rabiot,30,['France'],CM,€25.00m,Olympique Marseille,AC Milan,€7.00m,25/26
Azzedine Ounahi,25,['Morocco'],CM,€10.00m,Olympique Marseille,Girona FC,€6.00m,25/26
