Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
72,Warren Bondo,FRA,['MF'],Monza,19,2003,16.4,9,0,0,31,19,0,2,6,22,0,1,0,70,10,7,58.8,2023-2024
73,Giovanni Bonfanti,ITA,['DF'],Atalanta,20,2003,1.0,0,0,0,2,1,0,2,1,2,0,0,0,7,1,2,33.3,2023-2024
74,Kevin Bonifazi,ITA,['DF'],Bologna,27,1996,1.0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,,2023-2024
75,Kevin Bonifazi,ITA,['DF'],Frosinone,27,1996,3.4,0,0,0,4,1,0,0,3,3,0,0,0,15,6,7,46.2,2023-2024
76,Gennaro Borrelli,ITA,['FW'],Frosinone,23,2000,0.3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0.0,2023-2024
77,Erik Botheim,NOR,"['FW', 'MF']",Salernitana,23,2000,3.5,1,0,0,2,11,0,1,0,0,0,0,0,7,2,17,10.5,2023-2024
78,Mehdi Bourabia,MAR,['MF'],Frosinone,31,1991,2.2,1,0,0,5,1,1,2,0,4,0,2,0,19,2,3,40.0,2023-2024
79,Edoardo Bove,ITA,['MF'],Roma,21,2002,19.8,2,0,0,31,37,1,8,11,31,0,0,0,95,29,35,45.3,2023-2024
80,Domagoj Bradarić,CRO,['DF'],Salernitana,23,1999,30.5,5,0,0,14,34,0,81,32,20,0,0,0,150,23,28,45.1,2023-2024
81,Josip Brekalo,CRO,['FW'],Fiorentina,25,1998,7.2,0,0,0,13,6,1,24,1,6,0,0,0,26,1,4,20.0,2023-2024
82,Gleison Bremer,BRA,['DF'],Juventus,26,1997,35.9,9,0,0,60,17,2,1,40,42,0,1,0,196,102,56,64.6,2023-2024
83,Brenner,BRA,"['MF', 'FW']",Udinese,23,2000,2.1,0,0,0,0,3,1,1,0,7,0,0,0,15,0,2,0.0,2023-2024
84,Marco Brescianini,ITA,['MF'],Frosinone,23,2000,25.8,1,0,0,35,24,5,20,10,13,0,0,0,107,20,30,40.0,2023-2024
85,Dylan Bronn,TUN,"['DF', 'MF']",Salernitana,28,1995,0.6,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,50.0,2023-2024
86,Tajon Buchanan,CAN,['DF'],Inter,24,1999,1.8,0,0,0,1,6,1,11,0,1,0,0,0,6,0,3,0.0,2023-2024
87,Alessandro Buongiorno,ITA,['DF'],Torino,24,1999,28.1,7,0,0,69,39,1,3,69,39,1,1,0,127,78,53,59.5,2023-2024
88,Rareș-Cătălin Burnete,ROU,['FW'],Lecce,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
89,Jovane Cabral,CPV,"['MF', 'FW']",Salernitana,25,1998,7.5,1,0,0,19,13,6,14,1,9,0,1,0,31,5,15,25.0,2023-2024
90,Liberato Cacace,NZL,['DF'],Empoli,22,2000,21.2,6,0,0,30,18,1,68,19,24,0,0,0,119,17,22,43.6,2023-2024
91,Jens Cajuste,SWE,['MF'],Napoli,23,1999,11.3,7,0,0,29,11,1,6,4,24,0,1,0,46,15,17,46.9,2023-2024
92,Davide Calabria,ITA,['DF'],Milan,26,1996,24.3,5,2,1,25,19,0,36,24,38,0,1,0,90,12,27,30.8,2023-2024
93,Riccardo Calafiori,ITA,['DF'],Bologna,21,2002,26.1,4,0,0,35,27,2,9,50,32,0,2,1,194,60,24,71.4,2023-2024
94,Mattia Caldara,ITA,['DF'],Milan,29,1994,0.4,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,100.0,2023-2024
95,Luca Caldirola,ITA,['DF'],Monza,32,1991,23.8,7,1,1,24,17,1,4,29,14,0,1,0,58,30,23,56.6,2023-2024
96,Hakan Çalhanoğlu,TUR,['MF'],Inter,29,1994,28.4,5,0,0,43,23,0,153,24,33,0,0,0,166,26,18,59.1,2023-2024
97,Francesco Camarda,ITA,['FW'],Milan,15,2008,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,2023-2024
98,Nicolò Cambiaghi,ITA,"['FW', 'MF']",Empoli,22,2000,28.4,3,0,0,48,77,3,131,14,39,2,0,0,99,9,25,26.5,2023-2024
99,Andrea Cambiaso,ITA,"['DF', 'FW']",Juventus,23,2000,26.4,10,0,0,35,20,4,81,11,30,1,0,0,124,13,16,44.8,2023-2024
100,Matteo Cancellieri,ITA,"['FW', 'MF']",Empoli,21,2002,19.9,7,0,0,35,52,13,42,6,22,1,1,0,70,32,67,32.3,2023-2024
101,Antonio Candreva,ITA,"['MF', 'FW']",Salernitana,36,1987,30.6,5,0,0,11,43,21,223,7,13,0,0,0,93,0,1,0.0,2023-2024
102,Luigi Canotto,ITA,['FW'],Frosinone,29,1994,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,2023-2024
103,Gianluca Caprari,ITA,"['MF', 'FW']",Monza,30,1993,3.2,0,0,0,3,5,2,8,2,1,0,0,0,11,0,5,0.0,2023-2024
104,Elia Caprile,ITA,['GK'],Empoli,21,2001,23.0,0,0,0,1,7,0,0,0,0,0,0,0,18,10,2,83.3,2023-2024
105,Francesco Caputo,ITA,['FW'],Empoli,35,1987,14.1,0,0,0,10,14,20,1,1,0,0,0,0,19,12,23,34.3,2023-2024
106,Andrea Carboni,ITA,['DF'],Monza,22,2001,16.5,1,0,0,12,5,1,21,17,22,0,0,0,56,21,17,55.3,2023-2024
107,Valentin Carboni,ARG,"['MF', 'FW']",Monza,18,2005,13.0,2,0,0,21,20,3,14,7,15,0,0,0,60,4,13,23.5,2023-2024
108,Marco Carnesecchi,ITA,['GK'],Atalanta,23,2000,26.9,0,0,0,1,2,0,0,0,0,0,1,0,39,7,1,87.5,2023-2024
109,Nicolò Casale,ITA,['DF'],Lazio,25,1998,17.3,5,0,0,24,6,0,0,12,9,0,1,0,74,23,24,48.9,2023-2024
110,Giuseppe Caso,ITA,"['FW', 'MF']",Frosinone,24,1998,4.6,2,0,0,5,14,1,2,0,3,1,0,0,13,0,2,0.0,2023-2024
111,Valentín Castellanos,ARG,['FW'],Lazio,24,1998,18.7,2,0,0,34,31,20,15,2,10,0,0,0,51,71,64,52.6,2023-2024
112,Samu Castillejo,ESP,"['FW', 'MF']",Sassuolo,28,1995,6.0,2,0,0,11,18,1,34,1,10,0,0,0,33,2,9,18.2,2023-2024
113,Santiago Castro,ARG,['FW'],Bologna,18,2004,2.7,1,0,0,7,7,0,1,1,1,0,0,0,4,5,7,41.7,2023-2024
114,Gaetano Castrovilli,ITA,"['FW', 'MF']",Fiorentina,26,1997,4.1,0,0,0,4,5,1,9,2,2,0,0,0,17,3,2,60.0,2023-2024
115,Danilo Cataldi,ITA,['MF'],Lazio,28,1994,15.1,8,0,0,17,8,0,31,17,12,0,0,0,105,6,4,60.0,2023-2024
116,Emil Ceide,NOR,"['FW', 'MF']",Sassuolo,21,2001,2.0,0,0,0,2,1,0,5,0,2,0,0,0,7,0,3,0.0,2023-2024
117,Zeki Çelik,TUR,['DF'],Roma,26,1997,7.5,1,0,0,14,3,0,20,8,16,0,0,0,33,3,7,30.0,2023-2024
