Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
547,James Ward-Prowse,ENG,['MF'],Nott'ham Forest,29,1994,4.4,0,2,1,50.0,0.45,0.23,0.00,0.00,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2024-2025
548,Ollie Watkins,ENG,['FW'],Aston Villa,28,1995,28.9,16,82,36,43.9,2.84,1.25,0.17,0.39,12.1,0,2,2,15.3,13.8,0.17,+0.7,+0.2,Matches,2024-2025
549,Adam Webster,ENG,['DF'],Brighton,29,1995,9.9,0,5,1,20.0,0.51,0.10,0.00,0.00,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2024-2025
550,Danny Welbeck,ENG,['FW'],Brighton,33,1990,23.5,10,59,23,39.0,2.51,0.98,0.15,0.39,15.3,9,1,1,9.6,8.8,0.15,+0.4,+0.2,Matches,2024-2025
551,Welington,BRA,['DF'],Southampton,23,2001,5.4,0,3,0,0.0,0.56,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,2024-2025
552,Timo Werner,GER,"['FW', 'MF']",Tottenham,28,1996,5.7,0,8,3,37.5,1.40,0.52,0.00,0.00,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches,2024-2025
553,Adam Wharton,ENG,['MF'],Crystal Palace,20,2004,14.6,0,13,5,38.5,0.89,0.34,0.00,0.00,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,2024-2025
554,Ben White,ENG,['DF'],Arsenal,26,1997,13.3,0,9,2,22.2,0.68,0.15,0.00,0.00,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,2024-2025
555,Mats Wieffer,NED,"['DF', 'MF']",Brighton,24,1999,11.3,1,9,4,44.4,0.80,0.35,0.11,0.25,13.2,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,2024-2025
556,Neco Williams,WAL,['DF'],Nott'ham Forest,23,2001,28.8,1,37,7,18.9,1.28,0.24,0.03,0.14,20.2,1,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches,2024-2025
557,Willian,BRA,"['FW', 'MF']",Fulham,35,1988,2.9,0,7,0,0.0,2.45,0.00,0.00,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,2024-2025
558,Joe Willock,ENG,"['MF', 'FW']",Newcastle Utd,24,1999,12.1,0,18,3,16.7,1.49,0.25,0.00,0.00,15.1,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches,2024-2025
559,Callum Wilson,ENG,['FW'],Newcastle Utd,32,1992,4.1,0,6,1,16.7,1.46,0.24,0.00,0.00,15.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,2024-2025
560,Harry Wilson,WAL,"['FW', 'MF']",Fulham,27,1997,12.9,6,43,17,39.5,3.33,1.32,0.14,0.35,18.0,1,0,0,4.2,4.2,0.10,+1.8,+1.8,Matches,2024-2025
561,Harry Winks,ENG,['MF'],Leicester City,28,1996,17.1,0,10,4,40.0,0.59,0.23,0.00,0.00,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,2024-2025
562,Ben Winterburn,ENG,"['MF', 'FW']",Bournemouth,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
563,Yoane Wissa,COD,['FW'],Brentford,27,1996,32.4,19,90,41,45.6,2.77,1.26,0.21,0.46,13.2,0,0,0,18.5,18.5,0.21,+0.5,+0.5,Matches,2024-2025
564,Chris Wood,NZL,['FW'],Nott'ham Forest,32,1991,32.9,20,65,32,49.2,1.98,0.97,0.26,0.53,13.5,0,3,3,13.4,11.0,0.17,+6.6,+6.0,Matches,2024-2025
565,Nathan Wood-Gordon,ENG,['DF'],Southampton,22,2002,8.6,0,2,0,0.0,0.23,0.00,0.00,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,2024-2025
566,Luke Woolfenden,ENG,['DF'],Ipswich Town,25,1998,13.2,0,1,0,0.0,0.08,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2024-2025
567,Yehor Yarmoliuk,UKR,['MF'],Brentford,20,2004,16.1,0,9,2,22.2,0.56,0.12,0.00,0.00,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,2024-2025
568,Ryan Yates,ENG,['MF'],Nott'ham Forest,26,1997,21.3,2,33,9,27.3,1.55,0.42,0.06,0.22,19.6,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches,2024-2025
569,Leny Yoro,FRA,['DF'],Manchester Utd,18,2005,12.9,0,5,1,20.0,0.39,0.08,0.00,0.00,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches,2024-2025
570,Ashley Young,ENG,['DF'],Everton,39,1985,20.8,1,6,3,50.0,0.29,0.14,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,2024-2025
571,Illia Zabarnyi,UKR,['DF'],Bournemouth,21,2002,34.5,0,12,1,8.3,0.35,0.03,0.00,0.00,9.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches,2024-2025
572,Oleksandr Zinchenko,UKR,"['DF', 'MF']",Arsenal,27,1996,5.9,0,10,0,0.0,1.71,0.00,0.00,,19.6,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,2024-2025
573,Joshua Zirkzee,NED,"['FW', 'MF']",Manchester Utd,23,2001,15.6,3,28,11,39.3,1.80,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8,Matches,2024-2025
574,Martin Ødegaard,NOR,['MF'],Arsenal,25,1998,25.8,3,48,15,31.3,1.86,0.58,0.04,0.13,19.2,3,1,1,4.8,4.0,0.08,-1.8,-2.0,Matches,2024-2025
