Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
543,Max Svensson,ESP,['FW'],Osasuna,21,2001,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
544,Williot Swedberg,SWE,"['FW', 'MF']",Celta Vigo,19,2004,4.9,1,0,0,6,11,2,5,0,4,1,0,0,18,5,5,50.0,2023-2024
545,Mamadou Sylla,SEN,"['FW', 'MF']",Alavés,29,1994,0.2,0,0,0,1,2,0,0,0,0,0,0,0,1,3,3,50.0,2023-2024
546,Alexander Sørloth,NOR,['FW'],Villarreal,27,1995,27.7,3,0,0,34,19,23,7,0,3,1,0,0,57,80,45,64.0,2023-2024
547,Yassin Tallal,ESP,['FW'],Getafe,18,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,2023-2024
548,Renato Tapia,PER,"['MF', 'DF']",Celta Vigo,28,1995,14.9,5,1,1,24,27,1,9,21,29,0,0,0,112,43,33,56.6,2023-2024
549,César Tárrega,ESP,['DF'],Valencia,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
550,Marciano Tchami,GNB,"['FW', 'MF']",Almería,19,2004,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,4,4,50.0,2023-2024
551,Aurélien Tchouaméni,FRA,"['MF', 'DF']",Real Madrid,23,2000,22.1,7,0,0,20,22,0,22,28,23,0,0,0,99,51,24,68.0,2023-2024
552,Nahuel Tenaglia,ARG,['DF'],Alavés,27,1996,12.7,5,0,0,13,14,2,17,12,19,0,0,0,47,25,18,58.1,2023-2024
553,Marc-André ter Stegen,GER,['GK'],Barcelona,31,1992,28.0,3,0,0,0,1,0,0,0,0,0,0,0,55,4,0,100.0,2023-2024
554,Ramón Terrats,ESP,"['MF', 'DF']",Villarreal,22,2000,8.7,4,0,0,15,16,1,28,3,13,0,1,0,45,5,5,50.0,2023-2024
555,Kieran Tierney,SCO,['DF'],Real Sociedad,26,1997,13.8,1,0,0,6,8,0,26,10,24,0,0,0,52,16,20,44.4,2023-2024
556,Raúl de Tomás,ESP,['FW'],Rayo Vallecano,28,1994,14.1,5,0,0,24,26,12,9,1,5,0,0,0,35,24,41,36.9,2023-2024
557,Pablo Torre,ESP,"['MF', 'FW']",Girona,20,2003,7.8,1,0,0,8,21,0,7,4,2,0,0,0,42,0,7,0.0,2023-2024
558,Raúl Torrente,ESP,['DF'],Granada,21,2001,13.9,4,0,0,18,8,1,2,11,16,0,1,1,56,22,15,59.5,2023-2024
559,Ferrán Torres,ESP,['FW'],Barcelona,23,2000,13.5,2,0,0,8,16,16,21,5,6,1,0,0,40,4,11,26.7,2023-2024
560,Óliver Torres,ESP,['MF'],Sevilla,28,1994,18.0,3,0,0,26,23,6,44,6,22,0,0,0,127,11,28,28.2,2023-2024
561,Lucas Torró,ESP,['MF'],Osasuna,29,1994,19.9,5,0,0,43,16,0,3,33,15,0,0,0,115,71,41,63.4,2023-2024
562,Bertrand Traoré,BFA,['MF'],Villarreal,27,1995,6.3,4,0,0,7,21,2,9,1,4,1,0,0,22,4,3,57.1,2023-2024
