Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
David Fofana,F,CFC,20,2022,2028,7,"£67,600,000","£9,657,143"
Mykhailo Mudryk,F,CFC,22,2022,2030,8,"£44,200,000","£5,525,000"
Leandro Trossard,F,AFC,28,2022,2025,4,"£18,720,000","£4,680,000"
Taiwo Awoniyi,F,NFFC,24,2022,2026,5,"£13,000,000","£2,600,000"
Brenden Aaronson,F,LUFC,21,2022,2026,5,"£11,700,000","£2,340,000"
David Fofana,F,CHE,21,2022,2028,7,"£10,920,000","£1,560,000"
Kamaldeen Sulemana,F,SOU,20,2022,2026,5,"£10,400,000","£2,080,000"
Sasa Kalajdzic,F,WLV,24,2022,2026,5,"£9,100,000","£1,820,000"
Dwight McNeil,F,EFC,22,2022,2026,5,"£6,500,000","£1,300,000"
Paul Onuachu,F,SOU,28,2022,2025,4,"£6,240,000","£1,560,000"
Antoine Semenyo,F,BOU,23,2022,2029,5,"£5,200,000","£1,040,000"
Samuel Edozie,F,SOU,18,2022,2026,5,"£3,900,000","£780,000"
Joe Gelhardt,F,LEE,19,2022,2026,5,"£3,900,000","£780,000"
Diego Costa,F,WWFC,33,2022,2022,1,"£2,600,000","£2,600,000"
Cauley Woodrow,F,LTFC,28,2022,2023,2,"£840,000","£420,000"
Wes Burns,F,IPS,29,2022,2025,3,"£780,000","£260,000"
Nathan Broadhead,F,IPS,26,2022,2025,4,"£624,000","£156,000"
Carlton Morris,F,LTFC,27,2022,2023,2,"£520,000","£260,000"
John McAtee,F,LTFC,23,2022,2023,2,"£300,000","£150,000"
Aribim Pepple,F,LTFC,20,2022,2023,2,"£104,000","£52,000"
Joe Taylor,F,LTFC,20,2022,2023,2,"£104,000","£52,000"
David McGoldrick,F,DCFC,34,2022,2022,1,,
Marcus Forss,F,MID,22,2022,2025,4,,
Mateus Martins,F,LC,22,2022,2022,1,,
Billy Sharp,F,SUFC,37,2022,2022,1,,
Kayden Jackson,F,ITFC,30,2022,2023,2,,
Connor Mahoney,F,HUD,24,2022,2023,2,,
Enzo Fernández,M,CFC,22,2022,2030,9,"£139,230,000","£15,470,000"
Raheem Sterling,M,CHE,27,2022,2026,5,"£84,500,000","£16,900,000"
Carlos Casimiro,M,MUFC,29,2022,2026,4,"£72,800,000","£18,200,000"
Phil Foden,M,MCI,30,2022,2026,5,"£58,500,000","£11,700,000"
Rodrigo Hernández Cascante,M,MCFC,25,2022,2026,5,"£57,200,000","£11,440,000"
Marc Cucurella,M,CHE,23,2022,2027,6,"£54,600,000","£9,100,000"
Bruno Fernandes,M,MUN,27,2022,2026,4,"£49,920,000","£12,480,000"
Kalvin Phillips,M,MCI,26,2022,2027,6,"£46,800,000","£7,800,000"
Lucas Paquetá,M,WHUFC,24,2022,2027,5,"£39,000,000","£7,800,000"
Cheick Doucouré,M,CRY,21,2022,2028,5,"£25,480,000","£5,096,000"
Sasa Lukic,M,FFC,26,2022,2027,5,"£18,018,000","£3,603,600"
Joe Aribo,M,SFC,25,2022,2025,4,"£14,560,000","£3,640,000"
Andrey Santos,M,CHE,18,2022,2029,8,"£12,480,000","£1,560,000"
Fábio Vieira,M,ARS,21,2022,2026,5,"£11,800,000","£2,360,000"
Jesse Lingard,M,NFFC,29,2022,2022,1,"£10,400,000","£10,400,000"
Stefan Bajcetic,M,LIV,18,2022,2026,5,"£10,400,000","£2,080,000"
James Garner,M,EFC,20,2022,2025,4,"£6,240,000","£1,560,000"
Manuel Benson,M,BUR,24,2022,2026,4,"£5,200,000","£1,300,000"
Naouirou Ahamada,M,CRY,20,2022,2025,4,"£4,160,000","£1,040,000"
Curtis Jones,M,LFC,21,2022,2026,5,"£3,900,000","£780,000"
Facundo Buonanotte,M,BRH,18,2022,2027,4,"£3,120,000","£780,000"
Kobbie Mainoo,M,MUN,17,2022,2027,5,"£2,600,000","£520,000"
Yasin Ayari,M,BRH,20,2022,2026,5,"£2,080,000","£416,000"
Jean Michael Seri,M,HCFC,30,2022,2024,3,"£1,560,000","£520,000"
Alfie Doughty,M,LTFC,23,2022,2023,2,"£340,000","£170,000"
Louie Watson,M,LTFC,22,2022,2023,2,"£240,000","£120,000"
Cameron Humphreys,M,IPS,20,2022,2025,4,,
Henri Lansbury,M,LTFC,32,2022,2022,1,,
Nathaniel Chalobah,M,WBAFC,28,2022,2023,2,,
Liam McCarron,M,SCFC,,2022,2024,3,,
Reece James,D,CFC,22,2022,2027,6,"£78,000,000","£13,000,000"
Manuel Akanji,D,MCI,26,2022,2026,5,"£46,800,000","£9,360,000"
Benoit Badiashile,D,CFC,21,2022,2029,8,"£35,100,000","£4,387,500"
Lisandro Martínez,D,MUFC,23,2022,2026,5,"£31,200,000","£6,240,000"
Sven Botman,D,NEW,21,2022,2026,5,"£23,400,000","£4,680,000"
Diego Carlos,D,AVFC,28,2022,2025,4,"£20,800,000","£5,200,000"
Matt Targett,D,NEW,26,2022,2025,4,"£20,800,000","£5,200,000"
Joe Gomez,D,LFC,24,2022,2026,5,"£19,500,000","£3,900,000"
Malo Gusto,D,CFC,19,2022,2029,8,"£18,720,000","£2,340,000"
Issa Diop,D,FFC,24,2022,2026,5,"£18,200,000","£3,640,000"
Maxwel Cornet,D,WHU,25,2022,2026,5,"£16,900,000","£3,380,000"
Jakub Kiwior,D,ARS,22,2022,2027,6,"£16,588,000","£2,764,667"
Tyrell Malacia,D,MUN,22,2022,2026,4,"£15,600,000","£3,900,000"
Trevoh Chalobah,D,CHE,23,2022,2027,6,"£15,600,000","£2,600,000"
Chris Richards,D,CP,21,2022,2026,5,"£14,300,000","£2,860,000"
Wout Faes,D,LC,23,2022,2026,5,"£13,000,000","£2,600,000"
Pascal Struijk,D,LUFC,23,2022,2026,5,"£13,000,000","£2,600,000"
Harry Souttar,D,LEI,24,2022,2027,6,"£12,480,000","£2,080,000"
Marcos Senesi,D,BOU,24,2022,2025,4,"£10,400,000","£2,600,000"
Maximilian Wöber,D,LEE,24,2022,2026,5,"£9,100,000","£1,820,000"
Victor Kristiansen,D,LEI,20,2022,2027,6,"£7,800,000","£1,300,000"
Rico Henry,D,BFC,24,2022,2025,4,"£7,280,000","£1,820,000"
Omar Richards,D,NTG,23,2022,2025,4,"£6,240,000","£1,560,000"
Anel Ahmedhodži?,D,SUFC,24,2022,2025,4,"£5,200,000","£1,300,000"
Juan Larios,D,SOU,20,2022,2026,5,"£3,900,000","£780,000"
Calvin Ramsay,D,LIV,18,2022,2026,5,"£3,900,000","£780,000"
Ryan Fredericks,D,BOU,29,2022,2023,2,"£3,640,000","£1,820,000"
Armel Bella-Kotchap,D,SFC,20,2022,2025,4,"£3,120,000","£780,000"
James Bree,D,SOU,25,2022,2025,4,"£2,080,000","£520,000"
Chris Basham,D,SUFC,34,2022,2023,2,"£980,000","£490,000"
Luke Woolfenden,D,IPS,25,2022,2026,3,"£600,000","£200,000"
Martin Kelly,D,WBAFC,31,2022,2023,2,,
Matt Clarke,D,MID,25,2022,2025,3,,
Dominic Thompson,D,BPFC,21,2022,2025,3,,
James Chester,D,DCFC,32,2022,2022,1,,
Tobias Figueiredo,D,HCFC,27,2022,2023,2,,
Dominic Ball,D,ITFC,28,2022,2023,2,,
Alphonse Areola,GK,WHUFC,28,2022,2026,5,"£31,200,000","£6,240,000"
Bernd Leno,GK,FUL,30,2022,2026,3,"£14,040,000","£4,680,000"
Nick Pope,GK,NUFC,29,2022,2025,4,"£12,480,000","£3,120,000"
Gavin Bazunu,GK,SOU,19,2022,2026,5,"£5,200,000","£1,040,000"
Alex Smithies,GK,LC,31,2022,2023,2,"£3,120,000","£1,560,000"
Adam Davies,GK,SUFC,30,2022,2023,2,"£2,080,000","£1,040,000"
Jordan Amissah,GK,SUFC,21,2022,2023,2,"£1,640,000","£820,000"
Karl Hein,GK,ARS,21,2022,2025,3,"£1,560,000","£520,000"
Gabriel Slonina,GK,CHE,17,2022,2027,6,"£1,040,000","£173,333"
Jordan Smith,GK,NFFC,27,2022,2022,1,"£130,000","£130,000"
