Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Rodrigo Machado,F,LUFC,28,2020,2023,4,"£12,000,000","£3,000,000"
Rhian Brewster,F,SUFC,19,2020,2024,5,"£7,150,000","£1,430,000"
Cengiz Ünder,F,LC,22,2020,2020,1,"£4,900,000","£4,900,000"
Lyle Taylor,F,NFFC,29,2020,2022,3,"£3,120,000","£1,040,000"
Callum Robinson,F,WBAFC,24,2020,2024,5,"£2,000,000","£400,000"
Nathan Tella,F,SFC,20,2020,2022,3,"£1,950,000","£650,000"
Stipe Perica,F,WAT,24,2020,2021,2,"£1,404,000","£702,000"
Przemyslaw Placheta,F,NCFC,21,2020,2023,4,"£1,280,000","£320,000"
Kyle Edwards,F,WBAFC,30,2020,2020,1,"£1,058,200","£1,058,200"
Brandon Pierrick,F,CP,18,2020,2020,1,"£900,000","£900,000"
Dion Pereira,F,LTFC,24,2020,2023,4,"£400,000","£100,000"
Rayhaan Tulloch,F,WBAFC,18,2020,2023,4,"£320,000","£80,000"
Elijah Adebayo,F,LTFC,25,2020,2024,4,"£120,000","£30,000"
Sylvester Jasper,F,FFC,18,2020,2022,3,,
Scott Hogan,F,BCFC,27,2020,2023,4,,
Karlan Grant,F,WBAFC,22,2020,2025,6,,
Mbaye Diagne,F,WBAFC,28,2020,2020,1,,
George Thomas,F,QPRFC,22,2020,2023,3,,
Sebastian Soto,F,NCFC,19,2020,2022,3,,
Benik Afobe,F,SCFC,26,2020,2021,2,,
Thiago Alcántara do Nascimento,M,LFC,28,2020,2023,4,"£41,600,000","£10,400,000"
Ibrahima Diallo,M,SFC,20,2020,2023,4,"£11,440,000","£2,860,000"
Nampalys Mendy,M,LC,27,2020,2022,3,"£8,580,000","£2,860,000"
Ashley Westwood,M,BFC,29,2020,2022,3,"£4,836,000","£1,612,000"
Kenny McLean,M,NCFC,27,2020,2022,3,"£3,900,000","£1,300,000"
Harry Arter,M,NFFC,30,2020,2022,3,"£3,480,000","£1,160,000"
Dani Ceballos,M,AFC,23,2020,2020,1,"£2,700,000","£2,700,000"
Harrison Reed,M,FUL,24,2020,2026,4,"£2,496,000","£624,000"
Oliver Norwood,M,SUFC,28,2020,2023,3,"£2,340,000","£780,000"
Vitaly Janelt,M,BFC,21,2020,2025,4,"£2,080,000","£520,000"
Ismaila Coulibaly,M,SUFC,19,2020,2023,3,"£1,890,000","£630,000"
Tom Lockyer,M,LTFC,28,2020,2023,4,"£1,680,000","£420,000"
Jacob Lungi Sörensen,M,NCFC,21,2020,2022,3,"£1,560,000","£520,000"
Kieran Dowell,M,NCFC,22,2020,2022,3,"£1,170,000","£390,000"
Jack Rodwell,M,SUFC,28,2020,2020,1,"£686,400","£686,400"
Jordan Clark,M,LTFC,29,2020,2023,4,"£480,000","£120,000"
Jamie Shackleton,M,LUFC,20,2020,2023,4,"£312,000","£78,000"
Marco van Ginkel,M,CFC,27,2020,2020,1,,
Chris Brunt,M,BCFC,35,2020,2020,1,,
Okay Yokuslu,M,WBAFC,25,2020,2020,1,,
Ovie Ejaria,M,RFC,22,2020,2023,4,,
Thanawat Suengchitthawon,M,LC,19,2020,2022,3,,
Korey Smith,M,SCAFC,28,2020,2021,2,,
Nathan Ake,D,MCFC,24,2020,2026,5,"£24,000,000","£4,800,000"
Ben Godfrey,D,IPS,21,2020,2024,5,"£20,000,000","£4,000,000"
Matty Cash,D,AVFC,22,2020,2026,5,"£16,900,000","£3,380,000"
Cedric Soares,D,AFC,28,2020,2023,4,"£15,600,000","£3,900,000"
Ki-Jana Hoever,D,WLV,17,2020,2025,5,"£12,480,000","£2,496,000"
Robin Koch,D,LUFC,23,2020,2023,4,"£9,600,000","£2,400,000"
William Troost-Ekong,D,WAT,26,2020,2024,5,"£7,150,000","£1,430,000"
Issa Kaboré,D,MCI,22,2020,2026,5,"£5,200,000","£1,040,000"
Mohammed Salisu,D,SFC,20,2020,2023,4,"£4,800,000","£1,200,000"
Jake Vokins,D,SFC,19,2020,2023,4,"£4,400,000","£1,100,000"
Phil Jagielka,D,SUFC,37,2020,2020,1,"£2,600,000","£2,600,000"
Luke Thomas,D,LEI,18,2020,2024,4,"£2,400,000","£600,000"
Cedric Kipre,D,WBAFC,23,2020,2023,4,"£2,000,000","£500,000"
Branislav Ivanovic,D,WBAFC,35,2020,2020,1,"£2,000,000","£2,000,000"
John Egan,D,SUFC,27,2020,2023,4,"£1,560,000","£390,000"
Francisco Sierralta,D,WAT,22,2020,2021,2,"£988,000","£494,000"
Max Lowe,D,SHF,22,2020,2023,4,"£915,200","£228,800"
Rhys Norrington-Davies,D,SUFC,24,2020,2023,4,"£832,000","£208,000"
Lee Peltier,D,WBAFC,33,2020,2020,1,"£702,000","£702,000"
Bali Mumba,D,NCFC,18,2020,2025,5,"£600,000","£120,000"
Jeremy Ngakia,D,WAT,19,2020,2023,4,"£520,000","£130,000"
Charlie Cresswell,D,LUFC,17,2020,2022,3,"£330,000","£110,000"
Sam Woods,D,CP,21,2020,2020,1,,
Nathan Baxter,GK,CFC,21,2020,2022,3,"£4,680,000","£1,560,000"
Ben Foster,GK,WAT,36,2020,2021,2,"£3,120,000","£1,560,000"
Harry Lewis,GK,SFC,22,2020,2021,1,"£2,200,000","£2,200,000"
Stephen Henderson,GK,CP,31,2020,2020,1,"£600,000","£600,000"
David Button,GK,WBAFC,30,2020,2021,2,"£456,000","£228,000"
Daniel Barden,GK,NCFC,18,2020,2023,4,,
Andreas Söndergaard,GK,WWFC,,2020,2022,3,,
