Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Erling Haaland,F,MCI,24,2024,2033,10,"£273,000,000","£27,300,000"
Omar Marmoush,F,MCI,25,2024,2028,6,"£76,700,000","£12,783,333"
Joao Felix,F,CHE,24,2024,2030,7,"£61,880,000","£8,840,000"
Pedro Neto,F,CHE,24,2024,2030,7,"£58,240,000","£8,320,000"
Anthony Gordon,F,NEW,23,2024,2029,6,"£46,800,000","£7,800,000"
Amad Diallo,F,MUN,22,2024,2029,6,"£37,440,000","£6,240,000"
Dominic Solanke,F,TOT,26,2024,2029,5,"£36,400,000","£7,280,000"
Donyell Malen,F,AVA,25,2024,2028,5,"£36,400,000","£7,280,000"
Joshua Zirkzee,F,MUN,23,2024,2029,5,"£32,760,000","£6,552,000"
Joelinton Cassio Apolinário de Lira,F,NEW,27,2024,2027,4,"£31,200,000","£7,800,000"
Federico Chiesa,F,LIV,26,2024,2027,4,"£31,200,000","£7,800,000"
Morgan Rogers,F,AVA,22,2024,2029,6,"£23,400,000","£3,900,000"
Edward Nketiah,F,CRY,25,2024,2028,5,"£23,400,000","£4,680,000"
Niclas Füllkrug,F,WHU,31,2024,2027,4,"£18,720,000","£4,680,000"
Keane Lewis-Potter,F,BRE,23,2024,2030,7,"£18,200,000","£2,600,000"
Ismaila Sarr,F,CRY,26,2024,2028,5,"£18,200,000","£3,640,000"
Georginio Rutter,F,BRH,22,2024,2027,4,"£15,600,000","£3,900,000"
Chris Wood,F,NTG,33,2024,2026,3,"£14,040,000","£4,680,000"
Marc Guiu,F,CHE,18,2024,2029,5,"£13,000,000","£2,600,000"
Igor Thiago,F,BRE,22,2024,2028,5,"£13,000,000","£2,600,000"
Iliman Ndiaye,F,EVE,24,2024,2028,5,"£11,700,000","£2,340,000"
Yankuba Minteh,F,BRH,19,2024,2028,5,"£10,400,000","£2,080,000"
Fabio Carvalho,F,BRE,21,2024,2028,5,"£10,400,000","£2,080,000"
Brajan Gruda,F,BRH,20,2024,2027,4,"£10,400,000","£2,600,000"
Adam Armstrong,F,SOU,27,2024,2026,3,"£9,360,000","£3,120,000"
Crysencio Summerville,F,WHU,22,2024,2029,4,"£9,360,000","£2,340,000"
Timo Werner,F,TOT,28,2024,2024,1,"£8,580,000","£8,580,000"
Cameron Archer,F,SOU,22,2024,2027,4,"£8,320,000","£2,080,000"
Ben Brereton Díaz,F,SOU,25,2024,2027,4,"£7,280,000","£1,820,000"
Gustavo Nunes,F,BRE,18,2024,2031,5,"£6,500,000","£1,300,000"
Jack Clarke,F,IPS,23,2024,2028,5,"£6,500,000","£1,300,000"
Luis Guilherme,F,WHU,18,2024,2028,4,"£6,240,000","£1,560,000"
Danny Welbeck,F,BRH,33,2024,2025,2,"£6,240,000","£3,120,000"
Eli Junior Kroupi,F,BOU,18,2024,2029,6,"£6,240,000","£1,040,000"
William Osula,F,NEW,21,2024,2028,5,"£5,200,000","£1,040,000"
Jota Silva,F,NTG,25,2024,2027,4,"£5,200,000","£1,300,000"
Chiedozie Ogbene,F,IPS,27,2024,2027,4,"£5,200,000","£1,300,000"
Ibrahim Osman,F,BRH,19,2024,2028,5,"£5,200,000","£1,040,000"
Luca Koleosho,F,BUR,20,2024,2028,5,"£5,200,000","£1,040,000"
Stefanos Tzimas,F,BRH,19,2024,2029,6,"£4,680,000","£780,000"
Mike Tresor,F,BUR,26,2024,2027,4,"£4,160,000","£1,040,000"
Ryan Fraser,F,SOU,30,2024,2025,2,"£4,160,000","£2,080,000"
Chido Obi,F,MUN,17,2024,2028,5,"£3,900,000","£780,000"
Largie Ramazani,F,LEE,24,2024,2027,4,"£3,640,000","£910,000"
Luis Sinisterra,F,BOU,24,2024,2025,1,"£3,380,000","£3,380,000"
Jordan Ayew,F,LEI,32,2024,2025,2,"£3,120,000","£1,560,000"
Enes Ünal,F,BOU,27,2024,2027,4,"£3,120,000","£780,000"
Lewis Dobbin,F,AVA,21,2024,2025,2,"£2,600,000","£1,300,000"
Min-hyeok Yang,F,TOT,18,2024,2029,6,"£2,340,000","£390,000"
Jaydon Banel,F,BUR,20,2024,2028,5,"£1,950,000","£390,000"
Ethan Wheatley,F,MUN,19,2024,2027,4,"£1,872,000","£468,000"
Andreas Hountondji,F,BUR,23,2024,2027,4,"£1,768,000","£442,000"
Eric da Silva Moreira,F,NTG,18,2024,2027,4,"£1,664,000","£416,000"
Nathan Fraser,F,WLV,19,2024,2028,3,"£1,560,000","£520,000"
Dane Scarlett,F,TOT,19,2024,2026,2,"£1,560,000","£780,000"
Daniel Jebbison,F,BOU,21,2024,2027,4,"£1,040,000","£260,000"
Carlos Forbs,F,WLV,20,2024,2024,1,"£1,040,000","£1,040,000"
Mikey Moore,F,TOT,17,2024,2025,3,"£780,000","£260,000"
Amario Cozier-Duberry,F,BRH,19,2024,2027,4,"£624,000","£156,000"
Issahaku Fatawu,F,LEI,20,2024,2024,1,"£494,000","£494,000"
Gassan Ahadme,F,IPS,23,2024,2024,1,"£260,000","£260,000"
Thomas Cannon,F,SHU,22,2024,2030,5,,
Juan Santos da Silva,F,SOU,22,2024,,,,
Kieffer Moore,F,SHU,31,2024,2026,3,,
Jamal Lowe,F,SHF,29,2024,,,,
Adrian Mazilu,F,BRH,18,2024,2024,1,,
Cole Palmer,M,CHE,22,2024,2032,9,"£60,840,000","£6,760,000"
Amadou Onana,M,AVA,22,2024,2028,5,"£36,400,000","£7,280,000"
Manuel Ugarte,M,MUN,23,2024,2029,5,"£31,200,000","£6,240,000"
Mikel Merino,M,ARS,28,2024,2027,4,"£27,040,000","£6,760,000"
Archie Gray,M,TOT,18,2024,2029,6,"£23,400,000","£3,900,000"
Emile Smith Rowe,M,FUL,24,2024,2029,4,"£15,600,000","£3,900,000"
Mats Wieffer,M,BRH,24,2024,2028,5,"£15,600,000","£3,120,000"
Sander Berge,M,FUL,26,2024,2029,5,"£14,300,000","£2,860,000"
Matt O'Riley,M,BRH,23,2024,2028,5,"£13,000,000","£2,600,000"
Oliver Skipp,M,LEI,23,2024,2028,5,"£13,000,000","£2,600,000"
Andre Trindade da Costa Neto,M,WLV,23,2024,2028,4,"£12,480,000","£3,120,000"
Lewis Cook,M,BOU,27,2024,2027,4,"£12,480,000","£3,120,000"
Guido Rodriguez,M,WHU,30,2024,2026,3,"£11,700,000","£3,900,000"
Daichi Kamada,M,CRY,27,2024,2025,2,"£10,920,000","£5,460,000"
Ryan Yates,M,NTG,27,2024,2027,4,"£10,400,000","£2,600,000"
Jaden Philogene-Bidace,M,IPS,22,2024,2028,5,"£10,400,000","£2,080,000"
Elliot Anderson,M,NTG,21,2024,2028,5,"£10,400,000","£2,080,000"
Bilal El Khannouss,M,LEI,20,2024,2027,4,"£7,280,000","£1,820,000"
Lewis Miley,M,NEW,18,2024,2028,5,"£6,500,000","£1,300,000"
Ross Barkley,M,AVA,30,2024,2026,2,"£6,420,000","£3,210,000"
Flynn Downes,M,SOU,25,2024,2027,4,"£6,240,000","£1,560,000"
Josh Cullen,M,BUR,29,2024,2026,3,"£6,240,000","£2,080,000"
Ao Tanaka,M,LEE,26,2024,2027,4,"£5,200,000","£1,300,000"
Sammie Szmodics,M,IPS,28,2024,2027,4,"£5,200,000","£1,300,000"
Romain Esse,M,CRY,19,2024,2029,6,"£4,680,000","£780,000"
Ryan Sessegnon,M,FUL,24,2024,2026,2,"£4,680,000","£2,340,000"
Samuel Iling-Junior,M,AVA,20,2024,2025,2,"£4,680,000","£2,340,000"
Carlos Soler,M,WHU,27,2024,2024,1,"£4,160,000","£4,160,000"
Malick Yalcouyé,M,BRH,18,2024,2028,5,"£3,900,000","£780,000"
Yunus Konak,M,BRE,18,2024,2028,5,"£3,900,000","£780,000"
Enzo Barrenechea,M,AVA,23,2024,2025,2,"£3,640,000","£1,820,000"
Tim Iroegbunam,M,EVE,20,2024,2026,3,"£3,120,000","£1,040,000"
Kasey McAteer,M,LEI,22,2024,2027,4,"£3,120,000","£780,000"
Diego Gómez,M,BRH,21,2024,2025,2,"£2,600,000","£1,300,000"
Jesper Lindstrom,M,EVE,24,2024,2024,1,"£2,600,000","£2,600,000"
Orel Mangala,M,EVE,26,2024,2024,1,"£2,600,000","£2,600,000"
Alan Browne,M,SUN,30,2024,2026,3,"£2,340,000","£780,000"
Tommy Doyle,M,WLV,22,2024,2027,4,"£2,080,000","£520,000"
Justin Devenny,M,CRY,21,2024,2026,2,"£2,080,000","£1,040,000"
Jens Cajuste,M,IPS,25,2024,2024,1,"£1,820,000","£1,820,000"
Michael Golding,M,LEI,18,2024,2027,4,"£1,664,000","£416,000"
Kuryu Matsuki,M,SOU,21,2024,2027,4,"£1,560,000","£390,000"
Tawanda Chirewa,M,WLV,21,2024,2026,2,"£1,040,000","£520,000"
Alfie Devine,M,TOT,20,2024,2025,3,"£1,014,000","£338,000"
Joshua Guilavogui,M,LEE,34,2024,2024,1,"£780,000","£780,000"
Salis Abdul Samed,M,SUN,25,2024,2024,1,"£780,000","£780,000"
Toby Collyer,M,MUN,20,2024,2026,3,"£780,000","£260,000"
Oluwaseun Adewumi,M,BUR,20,2024,2027,4,"£520,000","£130,000"
Paris Maghoma,M,BRE,23,2024,2026,3,"£468,000","£156,000"
Kaden Rodney,M,CRY,20,2024,2025,2,"£312,000","£156,000"
Harrison Armstrong,M,EVE,18,2024,2027,4,"£249,600","£62,400"
David Ozoh,M,CRY,20,2024,2025,2,"£208,000","£104,000"
Charlie Crew,M,LEE,19,2024,2027,4,"£208,000","£52,000"
Albert Gronbaek,M,SOU,23,2024,2024,1,,
Onyinye Ndidi,M,LEI,27,2024,2026,3,,
Shandon Baptiste,M,LUT,26,2024,,,,
Marko Stamenic,M,SWA,22,2024,2028,5,,
Omari Kellyman,M,CHE,18,2024,2029,6,,
Matthijs de Ligt,D,MUN,25,2024,2029,5,"£50,700,000","£10,140,000"
Ben White,D,ARS,26,2024,2028,4,"£39,000,000","£9,750,000"
Max Kilman,D,WHU,27,2024,2030,7,"£36,400,000","£5,200,000"
Aaron Wan-Bissaka,D,WHU,26,2024,2030,7,"£32,760,000","£4,680,000"
Riccardo Calafiori,D,ARS,22,2024,2028,5,"£31,200,000","£6,240,000"
Ian Maatsen,D,AVA,22,2024,2029,6,"£31,200,000","£5,200,000"
Leny Yoro,D,MUN,18,2024,2029,5,"£29,900,000","£5,980,000"
Noussair Mazraoui,D,MUN,26,2024,2028,4,"£28,080,000","£7,020,000"
Nikola Milenkovic,D,NTG,26,2024,2028,5,"£27,300,000","£5,460,000"
Tosin Adarabioyo,D,CHE,26,2024,2027,4,"£24,960,000","£6,240,000"
Joachim Andersen,D,FUL,28,2024,2029,5,"£23,400,000","£4,680,000"
Conor Bradley,D,LIV,21,2024,2028,5,"£19,500,000","£3,900,000"
Ferdi Kadioglu,D,BRH,24,2024,2028,4,"£18,200,000","£4,550,000"
Emmanuel Agbadou,D,WLV,27,2024,2028,4,"£17,680,000","£4,420,000"
Murillo Costa dos Santos,D,NTG,22,2024,2028,4,"£15,600,000","£3,900,000"
Aaron Hickey,D,BRE,22,2024,2027,4,"£14,560,000","£3,640,000"
Maxence Lacroix,D,CRY,24,2024,2028,5,"£13,000,000","£2,600,000"
Patrick Dorgu,D,MUN,20,2024,2029,6,"£12,480,000","£2,080,000"
Jan Bednarek,D,SOU,28,2024,2026,3,"£10,920,000","£3,640,000"
Vitor Reis,D,MCI,19,2024,2028,5,"£10,400,000","£2,080,000"
Jannik Vestergaard,D,LEI,31,2024,2026,3,"£9,360,000","£3,120,000"
Felipe Rodrigues da Silva,D,NTG,23,2024,2028,5,"£9,100,000","£1,820,000"
Dara O'Shea,D,IPS,25,2024,2028,5,"£9,100,000","£1,820,000"
Yukinari Sugawara,D,SOU,24,2024,2027,4,"£8,320,000","£2,080,000"
Joe Rodon,D,LEE,26,2024,2027,4,"£8,320,000","£2,080,000"
Chadi Riad,D,CRY,20,2024,2028,5,"£7,800,000","£1,560,000"
Joe Worrall,D,BUR,27,2024,2027,4,"£7,280,000","£1,820,000"
Jake O'Brien,D,EVE,22,2024,2027,4,"£7,280,000","£1,820,000"
Caleb Okoli,D,LEI,22,2024,2028,5,"£6,500,000","£1,300,000"
Jacob Greaves,D,IPS,23,2024,2028,5,"£6,500,000","£1,300,000"
Rodrigo Gomes,D,WLV,20,2024,2028,5,"£6,500,000","£1,300,000"
Julian Araujo,D,BOU,23,2024,2028,5,"£6,500,000","£1,300,000"
Ben Johnson,D,WHU,24,2024,2027,4,"£6,240,000","£1,560,000"
Jayden Bogle,D,LEE,23,2024,2027,4,"£6,240,000","£1,560,000"
Sepp van den Berg,D,BRE,22,2024,2028,5,"£5,200,000","£1,040,000"
Jorge Cuenca,D,FUL,24,2024,2028,4,"£5,200,000","£1,300,000"
Leif Davis,D,IPS,24,2024,2027,4,"£5,200,000","£1,300,000"
Nasser Djiga,D,WLV,22,2024,2029,6,"£4,680,000","£780,000"
Eiran Cashin,D,BRH,23,2024,2029,6,"£4,680,000","£780,000"
Willy Boly,D,NTG,34,2024,2025,2,"£4,160,000","£2,080,000"
Ben Godfrey,D,IPS,27,2024,2024,1,"£3,900,000","£3,900,000"
Pedro Lima,D,WLV,17,2024,2028,5,"£3,900,000","£780,000"
Woyo Coulibaly,D,LEI,25,2024,2028,5,"£3,900,000","£780,000"
Caleb Wiley,D,CHE,19,2024,2030,6,"£3,744,000","£624,000"
Nathan Wood,D,SOU,22,2024,2027,4,"£3,120,000","£780,000"
Jayden Meghoma,D,BRE,18,2024,2027,4,"£3,120,000","£780,000"
Ronnie Edwards,D,SOU,21,2024,2027,4,"£3,120,000","£780,000"
Charlie Taylor,D,SOU,30,2024,2025,2,"£3,120,000","£1,560,000"
Caleb Kporha,D,CRY,18,2024,2028,4,"£2,600,000","£650,000"
Oliver Sonne,D,BUR,24,2024,2028,5,"£2,210,000","£442,000"
Joachim Kayi Sanda,D,SOU,18,2024,2028,5,"£2,080,000","£416,000"
Bastien Meupiyou,D,WLV,18,2024,2029,5,"£2,080,000","£416,000"
Isaac Schmidt,D,LEE,25,2024,2027,4,"£2,080,000","£520,000"
Tyler Bindon,D,NTG,20,2024,2027,4,"£2,080,000","£520,000"
Conor Townsend,D,IPS,31,2024,2025,2,"£1,560,000","£780,000"
Taylor Harwood-Bellis,D,SOU,22,2024,2027,4,"£1,560,000","£390,000"
Josh Acheampong,D,CHE,18,2024,2028,5,"£1,300,000","£260,000"
Shurandy Sambo,D,BUR,23,2024,2027,4,"£1,248,000","£312,000"
Andres Garcia,D,AVA,21,2024,2025,2,"£1,170,000","£585,000"
Christian McFarlane,D,MCI,,2024,2024,1,"£780,000","£780,000"
Ji-soo Kim,D,BRE,19,2024,2026,3,"£780,000","£260,000"
Harry Amass,D,MUN,18,2024,2026,3,"£780,000","£260,000"
Niall Huggins,D,SUN,24,2024,2025,2,"£520,000","£260,000"
Juma Bah,D,MCI,18,2024,,,,
Aaron Anselmino,D,CHE,19,2024,2030,7,,
Kosta Nedeljkovic,D,AVA,18,2024,2028,5,,
