Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Kevin Santos Lopes de Macedo,F,FUL,22,2025,2029,5,"£13,000,000","£2,600,000"
Brian Brobbey,F,SUN,23,2025,2028,4,"£12,480,000","£3,120,000"
Armando Broja,F,BUR,23,2025,2029,5,"£11,700,000","£2,340,000"
Loum Tchaouna,F,BUR,21,2025,2029,5,"£11,700,000","£2,340,000"
Charalampos Kostoulas,F,BRH,18,2025,2029,5,"£10,400,000","£2,080,000"
Igor Jesus,F,NTG,24,2025,2028,4,"£10,400,000","£2,600,000"
Chemsdine Talbi,F,SUN,20,2025,2029,5,"£10,400,000","£2,080,000"
Jacob Larsen,F,BUR,26,2025,2028,4,"£9,360,000","£2,340,000"
Thierno Barry,F,EVE,22,2025,2028,4,"£9,360,000","£2,340,000"
Jaidon Anthony,F,BUR,25,2025,2028,4,"£9,360,000","£2,340,000"
Wilson Odobert,F,TOT,20,2025,2028,4,"£8,320,000","£2,080,000"
Eliezer Mayenda,F,SUN,20,2025,2029,5,"£7,800,000","£1,560,000"
Randal Muani,F,TOT,26,2025,2025,1,"£7,800,000","£7,800,000"
Ben Doak,F,BOU,19,2025,2029,5,"£7,800,000","£1,560,000"
Yoane Wissa,F,NEW,28,2025,2025,1,"£7,280,000","£7,280,000"
Nick Woltemade,F,NEW,23,2025,2025,1,"£6,890,000","£6,890,000"
Norberto Gomes,F,EVE,27,2025,2026,2,"£6,240,000","£3,120,000"
Wilfried Gnonto,F,LEE,21,2025,2027,3,"£6,240,000","£2,080,000"
Samuel Chukwueze,F,FUL,26,2025,2025,1,"£6,240,000","£6,240,000"
Fer Lopez,F,WLV,21,2025,2029,5,"£5,600,000","£1,120,000"
Zeki Amdouni,F,BUR,24,2025,2027,3,"£5,460,000","£1,820,000"
Anthony Elanga,F,NEW,23,2025,2025,1,"£5,200,000","£5,200,000"
Francisco Evanilson de Lima,F,BOU,25,2025,2025,1,"£4,420,000","£4,420,000"
Tom Watson,F,BRH,19,2025,2028,4,"£4,160,000","£1,040,000"
Joel Piroe,F,LEE,26,2025,2026,2,"£4,160,000","£2,080,000"
Wilson Isidor,F,SUN,25,2025,2027,3,"£3,900,000","£1,300,000"
Romelle Donovan,F,BRE,18,2025,2029,5,"£3,900,000","£780,000"
Rio Ngumoha,F,LIV,17,2025,2027,3,"£3,900,000","£1,300,000"
Evann Guessand,F,AVA,24,2025,2025,1,"£3,900,000","£3,900,000"
Adama Traore,F,FUL,29,2025,2025,1,"£3,640,000","£3,640,000"
Lukas Nmecha,F,LEE,26,2025,2026,2,"£3,640,000","£1,820,000"
Bertrand Traoré,F,SUN,29,2025,2026,1,"£3,380,000","£3,380,000"
Enso Gonzalez,F,WLV,20,2025,2028,4,"£3,120,000","£780,000"
Harry Wilson,F,FUL,28,2025,2025,1,"£2,860,000","£2,860,000"
Callum Wilson,F,WHU,33,2025,2025,1,"£2,600,000","£2,600,000"
Ian Poveda,F,SUN,25,2025,2026,2,"£2,080,000","£1,040,000"
Max Dowman,F,ARS,15,2025,2025,1,"£1,820,000","£1,820,000"
Christantus Uche,F,CRY,22,2025,2025,1,"£1,560,000","£1,560,000"
Romaine Mundle,F,SUN,22,2025,2027,3,"£1,560,000","£520,000"
Callum Marshall,F,WHU,20,2025,2026,2,"£1,560,000","£780,000"
Jonah Kusi-Asare,F,FUL,18,2025,2025,1,"£1,300,000","£1,300,000"
Ashley Barnes,F,BUR,35,2025,2025,1,"£1,300,000","£1,300,000"
Ahmed Abdullahi,F,SUN,21,2025,2027,3,"£1,248,000","£416,000"
Mateus Mane,F,WLV,18,2025,2026,2,"£832,000","£416,000"
Enock Agyei,F,BUR,20,2025,2026,2,"£832,000","£416,000"
Will Lankshear,F,TOT,20,2025,2028,4,"£520,000","£130,000"
Lyle Foster,F,BUR,25,2025,2027,3,"£120,000","£40,000"
Do-young Yoon,F,BRH,18,2025,2028,4,,
Antonito Cordero,F,NEW,18,2025,2029,5,,
Tijjani Reijnders,M,MCI,26,2025,2029,5,"£59,800,000","£11,960,000"
Florian Wirtz,M,LIV,22,2025,2029,5,"£52,000,000","£10,400,000"
Xavi Simons,M,TOT,22,2025,2030,5,"£50,700,000","£10,140,000"
Mohammed Kudus,M,TOT,24,2025,2030,6,"£46,800,000","£7,800,000"
Bryan Mbeumo,M,MUN,25,2025,2029,5,"£39,000,000","£7,800,000"
Boubacar Kamara,M,AVA,25,2025,2029,5,"£39,000,000","£7,800,000"
Eberech Eze,M,ARS,27,2025,2029,4,"£37,440,000","£9,360,000"
Joao Gomes,M,WLV,24,2025,2029,5,"£27,300,000","£5,460,000"
Kiernan Dewsbury-Hall,M,EVE,26,2025,2029,5,"£23,400,000","£4,680,000"
Mason Mount,M,MUN,26,2025,2027,3,"£23,400,000","£7,800,000"
Etan Nwaneri,M,ARS,18,2025,2029,5,"£20,800,000","£4,160,000"
Martin Zubimendi,M,ARS,26,2025,2029,5,"£19,500,000","£3,900,000"
Lucas Bergvall,M,TOT,19,2025,2030,6,"£18,720,000","£3,120,000"
Granit Xhaka,M,SUN,32,2025,2027,3,"£17,160,000","£5,720,000"
Morgan Gibbs-White,M,NTG,25,2025,2027,3,"£17,160,000","£5,720,000"
Dario Essugo,M,CHE,20,2025,2032,8,"£16,640,000","£2,080,000"
Sean Longstaff,M,LEE,27,2025,2028,4,"£16,640,000","£4,160,000"
Nico González,M,MCI,23,2025,2028,4,"£15,600,000","£3,900,000"
Enzo Le Fee,M,SUN,25,2025,2028,4,"£15,600,000","£3,900,000"
Brennan Johnson,M,TOT,24,2025,2027,3,"£15,600,000","£5,200,000"
Omari Hutchinson,M,NTG,21,2025,2029,5,"£14,300,000","£2,860,000"
Lesley Ugochukwu,M,BUR,21,2025,2029,5,"£14,300,000","£2,860,000"
Habib Diarra,M,SUN,21,2025,2029,5,"£13,000,000","£2,600,000"
Jean-Ricner Bellegarde,M,WLV,27,2025,2027,3,"£11,700,000","£3,900,000"
Marshall Munetsi,M,WLV,29,2025,2027,3,"£10,920,000","£3,640,000"
Marcus Edwards,M,BUR,26,2025,2028,4,"£10,400,000","£2,600,000"
James McAtee,M,NTG,22,2025,2029,5,"£10,400,000","£2,080,000"
Noah Sadiki,M,SUN,20,2025,2029,5,"£10,400,000","£2,080,000"
Marcus Tavernier,M,BOU,26,2025,2028,4,"£10,140,000","£2,535,000"
Anton Stach,M,LEE,26,2025,2028,4,"£9,360,000","£2,340,000"
Chris Rigg,M,SUN,18,2025,2029,5,"£9,100,000","£1,820,000"
El Hadji Malick Diouf,M,WHU,20,2025,2029,5,"£9,100,000","£1,820,000"
Tyler Dibling,M,EVE,19,2025,2028,4,"£8,320,000","£2,080,000"
Yegor Yarmolyuk,M,BRE,21,2025,2030,6,"£7,800,000","£1,300,000"
Jordan Henderson,M,BRE,35,2025,2026,2,"£7,800,000","£3,900,000"
Nico O'Reilly,M,MCI,20,2025,2029,5,"£7,800,000","£1,560,000"
Antoni Milambo,M,BRE,20,2025,2030,5,"£7,800,000","£1,560,000"
Douglas Luiz,M,NTG,27,2025,2025,1,"£7,020,000","£7,020,000"
João Palhinha,M,TOT,30,2025,2025,1,"£7,020,000","£7,020,000"
Christian Nørgaard,M,ARS,31,2025,2027,2,"£6,760,000","£3,380,000"
Will Hughes,M,CRY,30,2025,2026,2,"£6,240,000","£3,120,000"
Jacob Ramsey,M,NEW,24,2025,2025,1,"£6,240,000","£6,240,000"
Idrissa Gueye,M,EVE,35,2025,2025,1,"£6,240,000","£6,240,000"
Zian Flemming,M,BUR,26,2025,2028,4,"£4,160,000","£1,040,000"
Josh King,M,FUL,18,2025,2028,4,"£4,160,000","£1,040,000"
Jack Hinshelwood,M,BRH,20,2025,2027,3,"£3,900,000","£1,300,000"
Freddie Potts,M,WHU,21,2025,2028,4,"£3,120,000","£780,000"
James Milner,M,BRH,39,2025,2025,1,"£3,120,000","£3,120,000"
Mateus Fernandes,M,WHU,21,2025,2025,1,"£3,120,000","£3,120,000"
Luke O'Nien,M,SUN,30,2025,2026,2,"£2,080,000","£1,040,000"
Carlos Alcaraz,M,EVE,22,2025,2026,2,"£2,080,000","£1,040,000"
Tom Cairney,M,FUL,34,2025,2025,1,"£1,820,000","£1,820,000"
Trey Nyoni,M,LIV,18,2025,2025,1,"£1,300,000","£1,300,000"
Sam Chambers,M,LEE,,2025,2027,3,"£1,248,000","£416,000"
Adil Aouchiche,M,SUN,22,2025,2027,3,"£1,092,000","£364,000"
Josh Laurent,M,BUR,30,2025,2025,1,"£1,040,000","£1,040,000"
Abdoullah Ba,M,SUN,22,2025,2026,2,"£1,040,000","£520,000"
Merlin Rohl,M,EVE,23,2025,2025,1,"£806,000","£806,000"
Andy Irving,M,WHU,25,2025,2025,1,"£780,000","£780,000"
Milan Aleksi?,M,SUN,20,2025,2027,3,"£780,000","£260,000"
Dan Neil,M,SUN,23,2025,2025,1,"£780,000","£780,000"
George Earthy,M,WHU,20,2025,2025,1,"£780,000","£780,000"
Jay Matete,M,SUN,24,2025,2025,1,"£520,000","£520,000"
Oliver Pimlott,M,BUR,18,2025,2026,2,"£520,000","£260,000"
Harrison Jones,M,SUN,20,2025,2025,1,"£260,000","£260,000"
Kendry Paez,M,CHE,18,2025,,,,
David Brooks,M,BOU,28,2025,2028,4,,
Sverre Nypan,M,MCI,18,2025,2029,5,,
Lewis Orford,M,WHU,19,2025,2028,4,,
Hindolo Mustapha,M,CRY,19,2025,2025,1,,
William Saliba,D,ARS,24,2025,2029,5,"£65,000,000","£13,000,000"
Ruben Dias,D,MCI,28,2025,2028,4,"£52,000,000","£13,000,000"
Jorrel Hato,D,CHE,19,2025,2031,7,"£43,680,000","£6,240,000"
Cristian Romero,D,TOT,27,2025,2028,4,"£40,560,000","£10,140,000"
Virgil Van Dijk,D,LIV,33,2025,2026,2,"£36,400,000","£18,200,000"
Gabriel Magalhães,D,ARS,27,2025,2028,4,"£31,200,000","£7,800,000"
Jarrad Branthwaite,D,EVE,23,2025,2029,5,"£31,200,000","£6,240,000"
Rayan Aït-Nouri,D,MCI,24,2025,2029,5,"£31,200,000","£6,240,000"
Jeremie Frimpong,D,LIV,24,2025,2029,5,"£26,000,000","£5,200,000"
Lucas Digne,D,AVA,32,2025,2027,3,"£21,060,000","£7,020,000"
Nordi Mukiele,D,SUN,27,2025,2028,4,"£20,800,000","£5,200,000"
Milos Kerkez,D,LIV,21,2025,2029,5,"£19,500,000","£3,900,000"
Micky van de Ven,D,TOT,24,2025,2028,4,"£18,720,000","£4,680,000"
James Tarkowski,D,EVE,32,2025,2027,3,"£18,720,000","£6,240,000"
Giovanni Leoni,D,LIV,18,2025,2030,6,"£17,160,000","£2,860,000"
Kevin Danso,D,TOT,26,2025,2029,5,"£16,900,000","£3,380,000"
Jackson Tchatchoua,D,WLV,23,2025,2029,5,"£16,900,000","£3,380,000"
Toti Gomes,D,WLV,26,2025,2028,4,"£16,640,000","£4,160,000"
Olivier Boscagli,D,BRH,27,2025,2029,5,"£15,600,000","£3,120,000"
Maxim De Cuyper,D,BRH,24,2025,2029,5,"£14,300,000","£2,860,000"
Cristhian Mosquera,D,ARS,21,2025,2029,5,"£14,300,000","£2,860,000"
Neco Williams,D,NTG,24,2025,2028,4,"£13,520,000","£3,380,000"
Omar Alderete,D,SUN,28,2025,2028,4,"£13,520,000","£3,380,000"
Maxime Estève,D,BUR,23,2025,2029,5,"£13,000,000","£2,600,000"
Victor Lindelof,D,AVA,31,2025,2027,2,"£12,480,000","£6,240,000"
Jaka Bijol,D,LEE,26,2025,2029,5,"£11,700,000","£2,340,000"
Myles Lewis-Skelly,D,ARS,18,2025,2029,5,"£11,700,000","£2,340,000"
Trai Hume,D,SUN,23,2025,2029,5,"£11,700,000","£2,340,000"
Nicolo Savona,D,NTG,22,2025,2030,5,"£11,700,000","£2,340,000"
Soungoutou Magassa,D,WHU,21,2025,2030,6,"£10,920,000","£1,820,000"
Michael Kayode,D,BRE,20,2025,2030,5,"£10,400,000","£2,080,000"
Tyrone Mings,D,AVA,32,2025,2026,2,"£10,400,000","£5,200,000"
Abdukodir Khusanov,D,MCI,21,2025,2028,4,"£10,400,000","£2,600,000"
Kenny Tete,D,FUL,29,2025,2027,3,"£10,140,000","£3,380,000"
Harry Maguire,D,MUN,32,2025,2025,1,"£9,880,000","£9,880,000"
Daniel Munoz,D,CRY,29,2025,2027,3,"£9,360,000","£3,120,000"
Quilindschy Hartman,D,BUR,23,2025,2028,4,"£9,360,000","£2,340,000"
Sebastiaan Bornauw,D,LEE,26,2025,2028,4,"£9,360,000","£2,340,000"
Ola Aina,D,NTG,28,2025,2027,3,"£9,360,000","£3,120,000"
Antonee Robinson,D,FUL,28,2025,2027,3,"£9,360,000","£3,120,000"
Adrien Truffert,D,BOU,23,2025,2029,5,"£9,100,000","£1,820,000"
Jair Cunha,D,NTG,20,2025,2029,5,"£9,100,000","£1,820,000"
Kyle Walker-Peters,D,WHU,28,2025,2027,3,"£8,580,000","£2,860,000"
Gabriel Gudmundsson,D,LEE,26,2025,2028,4,"£8,320,000","£2,080,000"
Djed Spence,D,TOT,25,2025,2028,4,"£8,320,000","£2,080,000"
Yerson Mosquera,D,WLV,23,2025,2029,5,"£7,800,000","£1,560,000"
Kyle Walker,D,BUR,35,2025,2026,2,"£7,800,000","£3,900,000"
David Møller Wolfe,D,WLV,23,2025,2029,5,"£7,800,000","£1,560,000"
Dan Burn,D,NEW,33,2025,2026,2,"£7,280,000","£3,640,000"
James Justin,D,LEE,27,2025,2028,4,"£7,280,000","£1,820,000"
Luis Eduardo Soares da Silva,D,NTG,22,2025,2028,4,"£7,280,000","£1,820,000"
Diego Coppola,D,BRH,21,2025,2029,5,"£6,500,000","£1,300,000"
Kota Takai,D,TOT,20,2025,2029,5,"£6,500,000","£1,300,000"
Veljko Milosavljevic,D,BOU,18,2025,2029,5,"£6,500,000","£1,300,000"
Santiago Bueno,D,WLV,26,2025,2027,3,"£6,240,000","£2,080,000"
Arthur Masuaku,D,SUN,31,2025,2026,2,"£5,720,000","£2,860,000"
Borna Sosa,D,CRY,27,2025,2027,3,"£5,460,000","£1,820,000"
Daniel Ballard,D,SUN,25,2025,2027,3,"£5,460,000","£1,820,000"
Reinildo Mandava,D,SUN,31,2025,2026,2,"£5,200,000","£2,600,000"
Ayden Heaven,D,MUN,18,2025,2028,4,"£5,200,000","£1,300,000"
Adam Aznou,D,EVE,19,2025,2028,4,"£5,200,000","£1,300,000"
Jaydee Canvot,D,CRY,19,2025,2028,4,"£5,200,000","£1,300,000"
Lutsharel Geertruida,D,SUN,25,2025,2025,1,"£4,420,000","£4,420,000"
Jean-Clair Todibo,D,WHU,25,2025,2025,1,"£4,160,000","£4,160,000"
Ben Davies,D,TOT,32,2025,2025,1,"£4,160,000","£4,160,000"
Michael Keane,D,EVE,32,2025,2025,1,"£4,160,000","£4,160,000"
Tyrick Mitchell,D,CRY,26,2025,2026,2,"£4,160,000","£2,080,000"
Malick Thiaw,D,NEW,24,2025,2025,1,"£3,900,000","£3,900,000"
Hugo Bueno,D,WLV,22,2025,2027,3,"£3,900,000","£1,300,000"
Bafode Diakite,D,BOU,24,2025,2025,1,"£3,640,000","£3,640,000"
Fabian Schar,D,NEW,33,2025,2025,1,"£3,640,000","£3,640,000"
Piero Hincapie,D,ARS,23,2025,2025,1,"£3,380,000","£3,380,000"
Lucas Pires,D,BUR,24,2025,2027,3,"£3,120,000","£1,040,000"
Oliver Scarles,D,WHU,19,2025,2027,3,"£3,120,000","£1,040,000"
Seamus Coleman,D,EVE,36,2025,2025,1,"£2,860,000","£2,860,000"
Emil Krafth,D,NEW,30,2025,2025,1,"£2,860,000","£2,860,000"
Nathaniel Clyne,D,CRY,34,2025,2025,1,"£2,600,000","£2,600,000"
Hjalmar Ekdal,D,BUR,26,2025,2026,2,"£2,600,000","£1,300,000"
Zach Abbott,D,NTG,19,2025,2028,4,"£2,600,000","£650,000"
Benjamin Arthur,D,BRE,19,2025,2031,6,"£2,496,000","£416,000"
Axel Tuanzebe,D,BUR,27,2025,2025,1,"£2,340,000","£2,340,000"
Ladislav Krejci,D,WLV,26,2025,2025,1,"£2,340,000","£2,340,000"
Lewis Hall,D,NEW,21,2025,2025,1,"£2,340,000","£2,340,000"
Timothee Pembele,D,SUN,23,2025,2027,3,"£2,340,000","£780,000"
Bashir Humphreys,D,BUR,22,2025,2026,1,"£2,080,000","£2,080,000"
Florentino Luis,D,BUR,26,2025,2025,1,"£2,080,000","£2,080,000"
Lamare Bogarde,D,AVA,21,2025,2025,1,"£1,560,000","£1,560,000"
Aji Alese,D,SUN,24,2025,2026,2,"£1,560,000","£780,000"
Leo Hjelde,D,SUN,22,2025,2027,3,"£1,560,000","£520,000"
Sam Byram,D,LEE,31,2025,2025,1,"£1,300,000","£1,300,000"
Tyler Fredricson,D,MUN,20,2025,2025,1,"£1,300,000","£1,300,000"
Owen Bevan,D,BOU,21,2025,2027,3,"£1,248,000","£416,000"
Alex Murphy,D,NEW,21,2025,2027,3,"£1,248,000","£416,000"
Julio Soler,D,BOU,20,2025,2025,1,"£1,040,000","£1,040,000"
Hannes Delcroix,D,BUR,26,2025,2025,1,"£1,040,000","£1,040,000"
Dennis Cirkin,D,SUN,23,2025,2025,1,"£1,040,000","£1,040,000"
Alex Jimenez,D,BOU,20,2025,2025,1,"£936,000","£936,000"
Harrison Ashby,D,NEW,23,2025,2025,1,"£780,000","£780,000"
Ashley Phillips,D,TOT,20,2025,2027,3,"£780,000","£260,000"
Joe Anderson,D,SUN,24,2025,2025,1,"£416,000","£416,000"
Gianluigi Donnarumma,GK,MCI,26,2025,2029,5,"£65,000,000","£13,000,000"
Jordan Pickford,GK,EVE,31,2025,2028,4,"£31,200,000","£7,800,000"
Djordje Petrovic,GK,BOU,25,2025,2029,5,"£15,600,000","£3,120,000"
Senne Lammens,GK,MUN,23,2025,2029,5,"£15,600,000","£3,120,000"
Caoimhin Kelleher,GK,BRE,26,2025,2029,5,"£14,300,000","£2,860,000"
James Trafford,GK,MCI,22,2025,2029,5,"£13,000,000","£2,600,000"
Mads Hermansen,GK,WHU,25,2025,2030,5,"£11,700,000","£2,340,000"
Lucas Perri,GK,LEE,27,2025,2028,4,"£10,400,000","£2,600,000"
Kepa Arrizabalaga,GK,ARS,30,2025,2027,3,"£9,360,000","£3,120,000"
Robin Roefs,GK,SUN,22,2025,2029,5,"£7,800,000","£1,560,000"
John Victor,GK,NTG,29,2025,2027,3,"£6,240,000","£2,080,000"
José Sá,GK,WLV,32,2025,2026,2,"£6,240,000","£3,120,000"
Max Weiss,GK,BUR,21,2025,2028,4,"£5,200,000","£1,300,000"
Mark Travers,GK,EVE,26,2025,2028,4,"£5,200,000","£1,300,000"
Marco Bizot,GK,AVA,34,2025,2026,2,"£4,680,000","£2,340,000"
Matz Sels,GK,NTG,33,2025,2026,2,"£4,160,000","£2,080,000"
Anthony Patterson,GK,SUN,25,2025,2027,3,"£3,120,000","£1,040,000"
Benjamin Lecomte,GK,FUL,34,2025,2026,2,"£3,120,000","£1,560,000"
Lukasz Fabianski,GK,WHU,40,2025,2025,1,"£2,600,000","£2,600,000"
Julian Eyestone,GK,BRE,19,2025,2031,6,"£2,496,000","£416,000"
Tom Heaton,GK,MUN,39,2025,2025,1,"£2,340,000","£2,340,000"
Martin Dubravka,GK,BUR,36,2025,2025,1,"£2,080,000","£2,080,000"
Jason Steele,GK,BRH,35,2025,2026,2,"£2,080,000","£1,040,000"
Marcus Bettinelli,GK,MCI,33,2025,2025,1,"£1,820,000","£1,820,000"
Walter Benítez,GK,CRY,32,2025,2025,1,"£1,820,000","£1,820,000"
Angus Gunn,GK,NTG,29,2025,2025,1,"£1,560,000","£1,560,000"
Tom King,GK,EVE,30,2025,2026,2,"£1,560,000","£780,000"
Thomas McGill,GK,BRH,25,2025,2026,2,"£1,560,000","£780,000"
William Dennis,GK,BOU,24,2025,2027,3,"£1,404,000","£468,000"
Freddie Woodman,GK,LIV,28,2025,2025,1,"£1,300,000","£1,300,000"
Remi Matthews,GK,CRY,31,2025,2026,2,"£1,300,000","£650,000"
John Ruddy,GK,NEW,38,2025,2025,1,"£780,000","£780,000"
Mark Gillespie,GK,NEW,33,2025,2025,1,"£780,000","£780,000"
Simon Moore,GK,SUN,35,2025,2025,1,"£780,000","£780,000"
Blondy Nna Noukeu,GK,SUN,24,2025,2025,1,"£780,000","£780,000"
James Beadle,GK,BRH,20,2025,2027,4,"£780,000","£195,000"
Callan McKenna,GK,BOU,18,2025,2025,1,"£624,000","£624,000"
Alex Cairns,GK,LEE,32,2025,2025,1,"£520,000","£520,000"
Vítezslav Jaros,GK,LIV,23,2025,2025,,,
Jakub Stolarczyk,GK,LEI,24,2025,2026,2,,
Harvey Davies,GK,LIV,21,2025,2025,,,
Armin Pecsi,GK,LIV,20,2025,2029,5,,
Oliwier Zych,GK,AVA,21,2025,,,,
