Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Alexander Isak,F,LIV,25,2025,2030,6,"£87,360,000","£14,560,000"
Hugo Ekitiké,F,LIV,,2025,2030,6,"£62,400,000","£10,400,000"
Viktor Gyökeres,F,ARS,27,2025,2029,5,"£52,000,000","£10,400,000"
Cody Gakpo,F,LIV,26,2025,2029,5,"£52,000,000","£10,400,000"
Joao Pedro,F,CHE,23,2025,2032,8,"£52,000,000","£6,500,000"
Matheus Cunha,F,MUN,26,2025,2029,5,"£46,800,000","£9,360,000"
Rayan Cherki,F,MCI,21,2025,2029,5,"£46,800,000","£9,360,000"
Mohamed Salah,F,LIV,32,2025,2026,2,"£41,600,000","£20,800,000"
Benjamin Sesko,F,MUN,22,2025,2029,5,"£41,600,000","£8,320,000"
Alejandro Garnacho,F,CHE,21,2025,2031,7,"£40,040,000","£5,720,000"
Jamie Gittens,F,CHE,20,2025,2031,7,"£39,312,000","£5,616,000"
Noni Madueke,F,ARS,23,2025,2029,5,"£39,000,000","£7,800,000"
Liam Delap,F,CHE,22,2025,2030,6,"£31,200,000","£5,200,000"
Savio Oliveira,F,MCI,21,2025,2030,6,"£25,000,000","£4,166,667"
Estevao Goncalves,F,CHE,18,2025,2032,8,"£24,960,000","£3,120,000"
Dan Ndoye,F,NTG,24,2025,2029,5,"£22,100,000","£4,420,000"
Jørgen Strand Larsen,F,WLV,25,2025,2029,4,"£19,760,000","£4,940,000"
Mikkel Damsgaard,F,BRE,24,2025,2029,5,"£19,500,000","£3,900,000"
Dilane Bakwa,F,NTG,23,2025,2029,5,"£18,200,000","£3,640,000"
Simon Adingra,F,SUN,23,2025,2029,5,"£18,200,000","£3,640,000"
Mathys Tel,F,TOT,20,2025,2030,6,"£17,160,000","£2,860,000"
Dango Ouattara,F,BOU,23,2025,2030,5,"£16,900,000","£3,380,000"
Yeremy Pino,F,CRY,22,2025,2029,5,"£15,600,000","£3,120,000"
Amine Adli,F,BOU,25,2025,2029,5,"£15,600,000","£3,120,000"
Arnaud Kalimuendo,F,NTG,23,2025,2029,5,"£15,600,000","£3,120,000"
Tolu Arokodare,F,WLV,24,2025,2029,4,"£15,600,000","£3,900,000"
Dominic Calvert-Lewin,F,LEE,28,2025,2027,3,"£15,600,000","£5,200,000"
Rodrigo Muniz,F,FUL,24,2025,2029,5,"£15,600,000","£3,120,000"
Daniel James,F,LEE,27,2025,2028,4,"£15,600,000","£3,900,000"
Noah Okafor,F,LEE,25,2025,2028,4,"£15,080,000","£3,770,000"
Callum Hudson-Odoi,F,NTG,24,2025,2027,3,"£14,040,000","£4,680,000"
Jhon Arias,F,WLV,27,2025,2029,4,"£13,520,000","£3,380,000"
