Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Matej Vydra,F,BFC,25,2018,2021,4,"£7,280,000","£1,820,000"
Gerard Deulofeu,F,WAT,23,2018,2019,2,"£6,240,000","£3,120,000"
Adama Diakhaby,F,HUD,21,2018,2020,3,"£4,680,000","£1,560,000"
Adalberto Peñaranda,F,WAT,20,2018,2022,5,"£4,680,000","£936,000"
Nathaniel Mendez-Laing,F,CCFC,25,2018,2020,3,"£2,885,000","£961,667"
Luciano Vietto,F,FFC,24,2018,2018,1,"£2,860,000","£2,860,000"
Andre Green,F,AVFC,19,2018,2019,2,"£624,000","£312,000"
Isaac Mbenza,F,HUD,21,2018,2018,1,"£483,600","£483,600"
Mo Eisa,F,BCFC,23,2018,2020,3,,
Tom Ince,F,SCFC,25,2018,2021,4,,
Jack Marriott,F,DCFC,23,2018,2020,3,,
Sam Baldock,F,RFC,28,2018,2020,3,,
Mohamed Elyounoussi,M,SFC,23,2018,2022,5,"£15,600,000","£3,120,000"
Étienne Capoue,M,WAT,29,2018,2021,4,"£8,320,000","£2,080,000"
Josh Murphy,M,CCFC,22,2018,2021,4,"£5,200,000","£1,300,000"
Carlos Sanchez,M,WHUFC,31,2018,2019,2,"£5,200,000","£2,600,000"
Joe Ralls,M,CCFC,24,2018,2021,4,"£5,100,000","£1,275,000"
Steven Defour,M,BFC,29,2018,2019,2,"£4,680,000","£2,340,000"
Johann Berg Gudmundsson,M,BFC,27,2018,2020,3,"£4,680,000","£1,560,000"
Junior Hoilett,M,CCFC,27,2018,2020,3,"£4,368,000","£1,456,000"
Ki Sung-yueng,M,NUFC,28,2018,2019,2,"£4,160,000","£2,080,000"
Ken Sema,M,WAT,24,2018,2022,5,"£3,900,000","£780,000"
Louis Thompson,M,NCFC,23,2018,2022,4,"£3,120,000","£780,000"
Juninho Bacuna,M,HUD,20,2018,2020,3,"£2,652,000","£884,000"
Kevin McDonald,M,FFC,19,2018,2021,2,"£2,288,000","£1,144,000"
Ben Marshall,M,NCFC,26,2018,2021,4,"£1,664,000","£416,000"
Sam Field,M,WBAFC,29,2018,2021,4,"£1,664,000","£416,000"
Alexander Tettey,M,NCFC,31,2018,2020,2,"£1,352,000","£676,000"
Aron Gunnarsson,M,CCFC,28,2018,2018,1,"£1,250,000","£1,250,000"
Kadeem Harris,M,CCFC,24,2018,2018,1,"£625,000","£625,000"
Peter Etebo,M,SCFC,22,2018,2022,5,,
Callum Connolly,M,EFC,20,2018,2020,3,,
Luke Murphy,M,BWFC,28,2018,2019,2,,
James Morrison,M,WBAFC,31,2018,2018,1,,
Ricardo Pereira,D,LC,24,2018,2025,5,"£18,200,000","£3,640,000"
Caglar Soyuncu,D,LC,21,2018,2022,5,"£11,700,000","£2,340,000"
Jonny Castro,D,WWFC,23,2018,2022,5,"£9,535,000","£1,907,000"
Adam Masina,D,WAT,23,2018,2022,5,"£7,280,000","£1,456,000"
Matthew Lowton,D,BFC,28,2018,2022,5,"£6,500,000","£1,300,000"
Kevin Long,D,BFC,27,2018,2022,5,"£6,000,000","£1,200,000"
Ahmed Hegazy,D,WBAFC,26,2018,2021,4,"£5,512,000","£1,378,000"
Maxime le Marchand,D,FFC,28,2018,2021,4,"£5,200,000","£1,300,000"
Sean Morrison,D,CCFC,26,2018,2021,4,"£5,200,000","£1,300,000"
Callum Paterson,D,CCFC,23,2018,2021,4,"£4,680,000","£1,170,000"
Diego Rico,D,BOU,24,2018,2021,4,"£4,004,000","£1,001,000"
Florent Hadergjonaj,D,HUD,23,2018,2021,3,"£3,588,000","£1,196,000"
Simon Francis,D,BOU,32,2018,2019,2,"£3,120,000","£1,560,000"
Joe Bennett,D,CCFC,27,2018,2020,3,"£3,045,000","£1,015,000"
Greg Cunningham,D,CCFC,26,2018,2020,3,"£2,961,000","£987,000"
Jack O'Connell,D,SUFC,23,2018,2022,5,"£2,600,000","£520,000"
Matthew Connolly,D,CCFC,30,2018,2019,2,"£1,974,000","£987,000"
Erik Durm,D,HUD,25,2018,2019,1,"£1,820,000","£1,820,000"
Miguel Britos,D,WAT,32,2018,2018,1,"£1,300,000","£1,300,000"
Kean Bryan,D,SUFC,21,2018,2020,3,"£468,000","£156,000"
Michael Hefele,D,NFFC,27,2018,2020,3,,
Felix Passlack,D,NCFC,19,2018,2018,1,,
Jamal Baptiste,D,WHUFC,14,2018,2022,5,,
Fabricio Agosto Ramírez,GK,FFC,30,2018,2021,3,"£7,020,000","£2,340,000"
Neil Etheridge,GK,CCFC,27,2018,2020,3,"£3,045,000","£1,015,000"
Sergio Rico,GK,FFC,24,2018,2018,1,"£2,340,000","£2,340,000"
Ben Hamer,GK,HUD,30,2018,2020,3,"£1,872,000","£624,000"
Brian Murphy,GK,CCFC,34,2018,2018,1,"£545,000","£545,000"
Adam Federici,GK,SCFC,32,2018,2019,2,,
Jack Rose,GK,SFC,22,2018,2019,2,,
