Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Marcus Rashford,F,MUN,25,2023,2027,5,"£78,000,000","£15,600,000"
Jared Bowen,F,WHU,26,2023,2029,7,"£54,600,000","£7,800,000"
Bukayo Saka,F,ARS,21,2023,2026,4,"£40,560,000","£10,140,000"
Ollie Watkins,F,AVA,27,2023,2027,5,"£33,800,000","£6,760,000"
Dejan Kulusevski,F,TOT,23,2023,2027,5,"£28,600,000","£5,720,000"
Nicolas Jackson,F,CHE,22,2023,2032,8,"£27,040,000","£3,380,000"
Leon Bailey,F,AVA,26,2023,2027,4,"£24,960,000","£6,240,000"
Jack Harrison,F,LEE,26,2023,2027,4,"£23,400,000","£5,850,000"
Rasmus Højlund,F,MUN,20,2023,2028,5,"£22,100,000","£4,420,000"
Justin Kluivert,F,BOU,24,2023,2027,5,"£20,800,000","£4,160,000"
Alex Iwobi,F,FUL,27,2023,2027,5,"£20,800,000","£4,160,000"
Hee-chan Hwang,F,WLV,28,2023,2028,5,"£18,200,000","£3,640,000"
Manor Solomon,F,TOT,23,2023,2027,5,"£15,600,000","£3,120,000"
Deivid Washington,F,CHE,18,2023,2030,7,"£14,560,000","£2,080,000"
Jeremy Doku,F,MCI,21,2023,2027,5,"£13,000,000","£2,600,000"
Raul Jimenez,F,FUL,32,2023,2025,2,"£10,400,000","£5,200,000"
Evan Ferguson,F,BRH,18,2023,2028,6,"£9,360,000","£1,560,000"
Alejo Véliz,F,TOT,19,2023,2028,6,"£7,800,000","£1,300,000"
Jacob Brown,F,LUT,25,2023,2026,4,"£6,240,000","£1,560,000"
Mateo Joseph,F,LEE,21,2023,2027,5,"£3,900,000","£780,000"
George Hirst,F,IPS,25,2023,2026,4,"£3,560,000","£890,000"
Ross Stewart,F,SOU,27,2023,2025,3,"£3,120,000","£1,040,000"
Kevin Schade,F,BRE,21,2023,2027,5,"£2,600,000","£520,000"
Stephy Mavididi,F,LEI,25,2023,2027,5,"£2,600,000","£520,000"
Bénie Traoré,F,SHU,20,2023,2026,4,"£2,080,000","£520,000"
Tahith Chong,F,LUT,23,2023,2023,1,"£1,560,000","£1,560,000"
Tyrique George,F,CHE,19,2023,2027,4,"£1,365,000","£341,250"
Ali Al-Hamadi,F,IPS,22,2023,2027,5,"£1,300,000","£260,000"
Conor Chaplin,F,IPS,27,2023,2025,3,"£1,170,000","£390,000"
Aaron Connolly,F,HUL,23,2023,2023,1,,
Wesley Moraes,F,STK,26,2023,2023,1,,
