Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
1,Junior Adamu,AUT,['FW'],Freiburg,23,2001,17.2,5,1,0,38,22,17,5,12,3,0,0,0,52,53,108,32.9,2024-2025
2,Karim Adeyemi,GER,"['FW', 'MF']",Dortmund,22,2002,15.9,4,0,0,27,18,4,26,7,14,0,0,0,48,9,13,40.9,2024-2025
3,Amine Adli,MAR,"['MF', 'FW']",Leverkusen,24,2000,8.5,3,0,0,15,9,7,33,0,9,2,0,0,30,21,26,44.7,2024-2025
4,Oladapo Afolayan,ENG,"['FW', 'MF']",St. Pauli,26,1998,18.2,3,0,0,21,42,9,53,8,8,1,0,0,72,19,45,29.7,2024-2025
5,Felix Agu,NGA,['DF'],Werder Bremen,24,1999,19.5,1,0,0,11,43,4,49,21,14,0,0,1,67,21,30,41.2,2024-2025
6,Erik Ahlstrand,SWE,"['FW', 'MF']",St. Pauli,22,2001,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.0,2024-2025
7,Kevin Akpoguma,NGA,['DF'],Hoffenheim,29,1995,24.7,3,0,0,25,23,1,12,29,27,0,4,0,107,48,47,50.5,2024-2025
8,Andreas Albers,DEN,['FW'],St. Pauli,34,1990,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,10,12,45.5,2024-2025
9,Ben Alexander Voll,GER,['GK'],St. Pauli,23,2000,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-2025
10,Skelly Alvero,FRA,['MF'],Werder Bremen,22,2002,2.6,1,0,0,7,5,0,0,2,6,0,0,0,13,5,3,62.5,2024-2025
11,Aurele Amenda,SUI,['DF'],Eint Frankfurt,21,2003,1.1,1,0,0,3,2,0,0,2,0,0,0,0,2,8,3,72.7,2024-2025
12,Nadiem Amiri,GER,['MF'],Mainz 05,27,1996,27.5,9,2,1,44,51,2,166,16,23,0,0,0,207,16,17,48.5,2024-2025
13,Mohamed Amoura,ALG,['FW'],Wolfsburg,24,2000,27.4,6,0,0,30,20,24,35,9,22,1,0,0,92,19,45,29.7,2024-2025
14,Robert Andrich,GER,"['MF', 'DF']",Leverkusen,29,1994,17.8,7,0,0,29,17,0,12,29,12,0,1,0,73,21,12,63.6,2024-2025
15,Waldemar Anton,GER,['DF'],Dortmund,28,1996,21.7,4,0,0,20,20,1,24,30,21,0,0,1,122,46,27,63.0,2024-2025
16,Maximilian Arnold,GER,['MF'],Wolfsburg,30,1994,26.2,7,1,0,30,52,0,152,24,20,0,0,0,154,14,23,37.8,2024-2025
17,Jann-Fiete Arp,GER,"['FW', 'MF']",Holstein Kiel,24,2000,7.9,8,1,1,20,18,2,24,3,10,0,0,0,21,2,13,13.3,2024-2025
18,Arthur,BRA,['DF'],Leverkusen,21,2003,8.4,1,0,0,20,6,0,16,9,11,0,1,0,31,10,12,45.5,2024-2025
19,Noah Atubolu,GER,['GK'],Freiburg,22,2002,25.6,2,0,0,0,0,0,0,0,0,0,0,0,53,10,1,90.9,2024-2025
20,Ayman Azhil,MAR,['MF'],Dortmund,23,2001,0.3,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,,2024-2025
21,Adam Aznou,MAR,['DF'],Bayern Munich,18,2006,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,2024-2025
22,Aliou Badara Baldé,GUI,"['MF', 'FW']",Bochum,21,2002,1.0,1,0,0,1,0,2,4,0,1,0,0,0,3,0,2,0.0,2024-2025
23,Ridle Baku,GER,"['FW', 'MF']",Wolfsburg,26,1998,13.0,2,0,0,13,10,1,37,15,15,0,0,0,68,5,16,23.8,2024-2025
24,Ridle Baku,GER,"['DF', 'MF']",RB Leipzig,26,1998,14.2,1,0,0,13,14,3,34,9,19,0,0,0,45,10,17,37.0,2024-2025
