Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,Blocks,blocked_Sh,blocked_Pass,Int,Tkl+Int,Clr,Err,Season
27,Selim Amallah,MAR,"['MF', 'FW']",Valladolid,25,1996,3.0,15,9,7,8,0,5,8,62.5,3,2,0,2,5,20,2,0,2022-2023
28,Amath,SEN,"['MF', 'FW']",Mallorca,26,1996,13.6,29,19,14,8,7,14,22,63.6,8,13,1,12,5,34,5,0,2022-2023
29,Jordan Amavi,FRA,['DF'],Getafe,28,1994,2.2,3,2,3,0,0,1,3,33.3,2,3,0,3,4,7,7,0,2022-2023
30,Marcos André,BRA,"['FW', 'MF']",Valencia,25,1996,5.0,4,1,1,1,2,1,2,50.0,1,4,1,3,0,4,0,0,2022-2023
31,Fabrizio Angileri,ARG,['DF'],Getafe,28,1994,6.5,12,9,8,3,1,10,17,58.8,7,8,3,5,7,19,10,0,2022-2023
32,Josep Antoni Gayá,ESP,"['DF', 'MF']",Mallorca,22,2000,1.1,0,0,0,0,0,0,0,,0,4,2,2,1,1,6,0,2022-2023
33,José Antonio,ESP,"['MF', 'DF']",Cádiz,18,2004,0.5,2,1,0,0,2,0,0,,0,0,0,0,0,2,0,0,2022-2023
34,Anuar,MAR,"['MF', 'FW']",Valladolid,27,1995,2.3,4,4,0,1,3,0,0,,0,5,2,3,3,7,3,0,2022-2023
35,Mauro Arambarri,URU,['MF'],Getafe,26,1995,11.0,14,6,9,4,1,3,17,17.6,14,17,5,12,14,28,19,0,2022-2023
36,Ronald Araújo,URU,['DF'],Barcelona,23,1999,20.0,26,18,12,13,1,6,9,66.7,3,15,7,8,12,38,41,1,2022-2023
37,Adu Ares,ESP,"['FW', 'MF']",Athletic Club,20,2001,0.9,4,2,2,1,1,4,4,100.0,0,1,0,1,2,6,1,0,2022-2023
38,Sergio Arribas,ESP,"['MF', 'FW']",Real Madrid,20,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,2022-2023
39,Roberto Arroyo,ESP,['MF'],Valladolid,18,2003,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,2022-2023
40,Ricard Artero,ESP,"['MF', 'FW']",Girona,19,2003,1.5,3,3,2,1,0,1,1,100.0,0,2,0,2,1,4,3,0,2022-2023
41,Santiago Arzamendia,PAR,"['DF', 'MF']",Cádiz,24,1998,5.4,9,8,7,1,1,6,21,28.6,15,11,1,10,2,11,15,1,2022-2023
42,Sergio Asenjo,ESP,['GK'],Valladolid,33,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,2022-2023
43,Marco Asensio,ESP,"['FW', 'MF']",Real Madrid,26,1996,16.0,16,10,8,6,2,8,19,42.1,11,8,3,5,5,21,4,0,2022-2023
44,Iago Aspas,ESP,['FW'],Celta Vigo,34,1987,31.9,8,4,0,4,4,3,22,13.6,19,10,1,9,7,15,23,0,2022-2023
45,Pierre-Emerick Aubameyang,GAB,['FW'],Barcelona,33,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022-2023
46,Ludwig Augustinsson,SWE,['DF'],Mallorca,28,1994,1.5,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,3,0,2022-2023
47,Ezequiel Ávila,ARG,"['FW', 'MF']",Osasuna,28,1994,19.0,8,5,2,4,2,6,23,26.1,17,12,1,11,8,16,16,0,2022-2023
48,Iddrisu Baba,GHA,"['MF', 'DF']",Mallorca,26,1996,18.9,31,17,15,16,0,15,32,46.9,17,18,8,10,11,42,39,0,2022-2023
49,Srđan Babić,SRB,['DF'],Almería,26,1996,33.3,28,18,20,8,0,15,32,46.9,17,34,22,12,29,57,124,1,2022-2023
50,Loïc Bade,FRA,['DF'],Sevilla,22,2000,16.1,27,20,23,3,1,17,30,56.7,13,21,13,8,23,50,77,0,2022-2023
51,Édgar Badía,ESP,['GK'],Elche,30,1992,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,19,3,2022-2023
52,Alex Baena,ESP,"['MF', 'FW']",Villarreal,21,2001,21.6,30,17,9,15,6,15,45,33.3,30,15,3,12,7,37,16,0,2022-2023
53,Alejandro Balde,ESP,['DF'],Barcelona,18,2003,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,2022-2023
54,Mikel Balenziaga,ESP,['DF'],Athletic Club,34,1988,1.3,4,4,1,2,1,4,4,100.0,0,0,0,0,1,5,2,0,2022-2023
55,Iván Balliu,ALB,['DF'],Rayo Vallecano,30,1992,35.9,52,29,26,20,6,18,30,60.0,12,26,3,23,25,77,72,1,2022-2023
56,Léo Baptistão,BRA,"['FW', 'MF']",Almería,29,1992,19.2,32,20,13,16,3,13,33,39.4,20,17,2,15,19,51,12,0,2022-2023
57,Keidi Bare,ALB,['MF'],Espanyol,24,1997,5.6,15,8,7,5,3,7,13,53.8,6,8,2,6,11,26,8,0,2022-2023
58,Kike Barja,ESP,"['FW', 'MF']",Osasuna,25,1997,14.6,15,9,6,5,4,8,24,33.3,16,7,0,7,4,19,3,0,2022-2023
59,Ander Barrenetxea,ESP,"['FW', 'DF']",Real Sociedad,20,2001,9.8,21,15,15,6,0,12,28,42.9,16,15,1,14,5,26,7,0,2022-2023
60,Pablo Barrios,ESP,['MF'],Atlético Madrid,19,2003,8.0,19,10,3,10,6,8,15,53.3,7,12,2,10,9,28,6,1,2022-2023
61,Rodrigo Battaglia,ARG,['MF'],Mallorca,31,1991,7.6,12,5,7,5,0,6,14,42.9,8,16,7,9,5,17,18,0,2022-2023
62,Bebé,CPV,['FW'],Rayo Vallecano,32,1990,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,2022-2023
63,Héctor Bellerín,ESP,['DF'],Barcelona,27,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,2022-2023
64,Fran Beltrán,ESP,['MF'],Celta Vigo,23,1999,31.7,34,22,15,14,5,14,55,25.5,41,29,5,24,53,87,35,2,2022-2023
65,Iker Benito,ESP,"['FW', 'MF']",Osasuna,19,2002,2.0,4,3,0,3,1,2,4,50.0,2,0,0,0,2,6,4,0,2022-2023
66,Karim Benzema,FRA,['FW'],Real Madrid,34,1987,22.6,9,5,2,4,3,2,11,18.2,9,11,0,11,2,11,5,0,2022-2023
