Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Max Aarons,ENG,['DF'],Bournemouth,24,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
2,Joshua Acheampong,ENG,['DF'],Chelsea,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
3,Tyler Adams,USA,['MF'],Bournemouth,25,1999,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,2024-2025
4,Tosin Adarabioyo,ENG,['DF'],Chelsea,26,1997,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,2024-2025
5,Simon Adingra,CIV,"['FW', 'MF']",Brighton,22,2002,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,2024-2025
6,Emmanuel Agbadou,CIV,['DF'],Wolves,27,1997,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,2024-2025
7,Asher Agbinone,ENG,['MF'],Crystal Palace,18,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
8,Ola Aina,NGA,['DF'],Nott'ham Forest,27,1996,33.3,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,2024-2025
9,Rayan Aït-Nouri,ALG,['DF'],Wolves,23,2001,34.5,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1,2024-2025
10,Kristoffer Ajer,NOR,['DF'],Brentford,26,1998,16.0,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,2024-2025
11,Manuel Akanji,SUI,['DF'],Manchester City,29,1995,22.4,37,1.65,37,0,0,0,0,0,3,0.13,3,0,0,0,0,0,2024-2025
12,Nathan Aké,NED,['DF'],Manchester City,29,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
13,Carlos Alcaraz,ARG,['MF'],Southampton,21,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
14,Carlos Alcaraz,ARG,"['FW', 'MF']",Everton,21,2002,8.5,33,3.89,24,2,3,3,1,0,6,0.71,5,0,0,1,0,0,2024-2025
15,Trent Alexander-Arnold,ENG,['DF'],Liverpool,25,1998,26.3,98,3.73,74,15,5,4,0,0,10,0.38,9,1,0,0,0,0,2024-2025
16,Alisson,BRA,['GK'],Liverpool,31,1992,27.9,7,0.25,7,0,0,0,0,0,1,0.04,1,0,0,0,0,0,2024-2025
17,Miguel Almirón,PAR,['FW'],Newcastle Utd,30,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
18,Olabade Aluko,[],['DF'],Leicester City,,,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
19,Edson Álvarez,MEX,['MF'],West Ham,26,1997,19.7,28,1.42,24,0,2,1,1,0,2,0.10,2,0,0,0,0,0,2024-2025
20,Will Alves,ENG,['FW'],Leicester City,19,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
21,Harry Amass,ENG,['DF'],Manchester Utd,17,2007,3.8,8,2.08,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
22,Samuel Amo-Ameyaw,ENG,"['FW', 'DF']",Southampton,18,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
23,Mathis Amougou,FRA,['MF'],Chelsea,18,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
24,Joachim Andersen,DEN,['DF'],Crystal Palace,28,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
25,Joachim Andersen,DEN,['DF'],Fulham,28,1996,28.7,35,1.23,27,1,0,7,0,0,2,0.07,1,1,0,0,0,0,2024-2025
26,Elliot Anderson,ENG,['MF'],Nott'ham Forest,21,2002,30.3,87,2.87,43,20,7,8,4,5,10,0.33,4,3,0,1,1,1,2024-2025
27,André,BRA,['MF'],Wolves,23,2001,27.5,49,1.78,41,3,1,0,0,4,3,0.11,2,1,0,0,0,0,2024-2025
28,Michail Antonio,JAM,['FW'],West Ham,34,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,2024-2025
29,Antony,BRA,"['DF', 'MF']",Manchester Utd,24,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
30,Julian Araujo,MEX,['DF'],Bournemouth,22,2001,5.5,5,0.91,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
31,Cameron Archer,ENG,['FW'],Southampton,23,2001,16.0,20,1.25,10,0,4,5,1,0,0,0.00,0,0,0,0,0,0,2024-2025
32,Alphonse Areola,FRA,['GK'],West Ham,31,1993,25.1,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
33,Joe Aribo,NGA,"['MF', 'DF']",Southampton,28,1996,22.4,37,1.66,32,0,2,1,2,0,1,0.04,1,0,0,0,0,0,2024-2025
34,Adam Armstrong,ENG,"['FW', 'MF']",Southampton,27,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,2024-2025
