Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Max Aarons,ENG,['DF'],Bournemouth,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,2023-2024
2,Joshua Acheampong,ENG,['DF'],Chelsea,17,2006,0.1,1,15.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
3,Tyler Adams,USA,['MF'],Bournemouth,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
4,Tosin Adarabioyo,ENG,['DF'],Fulham,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0,2023-2024
5,Elijah Adebayo,ENG,['FW'],Luton Town,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,2023-2024
6,Simon Adingra,CIV,['FW'],Brighton,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,2023-2024
7,Nayef Aguerd,MAR,['DF'],West Ham,27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0,2023-2024
8,Brandon Aguilera,CRC,['FW'],Nott'ham Forest,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
9,Naouirou Ahamada,FRA,"['MF', 'FW']",Crystal Palace,21,2002,3.9,9,2.30,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,2023-2024
10,Anel Ahmedhodžić,BIH,['DF'],Sheffield Utd,24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,2023-2024
11,Ola Aina,NGA,['DF'],Nott'ham Forest,26,1996,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0,2023-2024
12,Rayan Aït-Nouri,ALG,"['DF', 'MF']",Wolves,22,2001,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0,2023-2024
13,Kristoffer Ajer,NOR,['DF'],Brentford,25,1998,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,2023-2024
