,player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season,remaining_contract_length
140,niclas fullkrug,31,['Germany'],CF,15000000.0,Borussia Dortmund,WHU,27000000.0,24/25,23
142,said benrahma,28,"['Algeria', 'France']",LW,20000000.0,WHU,Olympique Lyon,14400000.0,24/25,24
143,divin mubama,19,"['England', 'DR Congo']",CF,1000000.0,WHU,Manchester City U21,1400000.0,24/25,-
144,daniel podence,28,['Portugal'],LW,13000000.0,WOL,Al-Shabab FC,5000000.0,24/25,10
146,noni madueke,23,"['England', 'Nigeria']",RW,40000000.0,CHE,ARS,56000000.0,25/26,59
147,marquinhos,22,['Brazil'],RW,5500000.0,ARS,Cruzeiro Esporte Clube,3000000.0,25/26,24
148,evann guessand,24,"[""Cote d'Ivoire"", 'France']",RW,25000000.0,OGC Nice,AVL,30000000.0,25/26,35
149,ben gannon doak,19,['Scotland'],RW,14000000.0,LIV,BOU,23200000.0,25/26,10
150,amine adli,25,"['Morocco', 'France']",LW,18000000.0,Bayer 04 Leverkusen,BOU,21000000.0,25/26,34
151,dango ouattara,23,['Burkina Faso'],LW,28000000.0,BOU,BRE,42800000.0,25/26,34
152,jaidon anthony,25,"['England', 'Jamaica']",LW,9000000.0,BOU,BUR,9500000.0,25/26,24
154,bryan mbeumo,25,"['Cameroon', 'France']",RW,55000000.0,BRE,MUN,75000000.0,25/26,11
155,yoane wissa,28,"['DR Congo', 'France']",CF,32000000.0,BRE,NEW,57700000.0,25/26,10
157,tom watson,19,['England'],LW,8000000.0,SUN,BHA,12000000.0,25/26,12
159,joao pedro,23,['Brazil'],CF,50000000.0,BHA,CHE,63700000.0,25/26,36
160,simon adingra,23,"[""Cote d'Ivoire""]",LW,28000000.0,BHA,SUN,24400000.0,25/26,12
161,abdallah sima,24,['Senegal'],LW,9000000.0,BHA,RC Lens,4500000.0,25/26,10
162,armando broja,23,"['Albania', 'England']",CF,12000000.0,CHE,BUR,23000000.0,25/26,47
163,loum tchaouna,21,"['France', 'Chad']",RW,10000000.0,SS Lazio,BUR,15150000.0,25/26,48
166,jacob bruun larsen,26,['Denmark'],LW,5000000.0,VfB Stuttgart,BUR,4000000.0,25/26,24
167,dara costelloe,22,['Ireland'],LW,450000.0,BUR,Wigan Athletic,400000.0,25/26,12
168,jamie gittens,20,"['England', 'Barbados']",LW,50000000.0,Borussia Dortmund,CHE,56000000.0,25/26,36
169,alejandro garnacho,21,"['Argentina', 'Spain']",LW,45000000.0,MUN,CHE,46200000.0,25/26,34
171,liam delap,22,"['England', 'Ireland']",CF,40000000.0,IPS,CHE,35500000.0,25/26,49
172,christopher nkunku,27,"['France', 'DR Congo']",CF,35000000.0,CHE,AC Milan,37000000.0,25/26,46
173,yeremi pino,22,['Spain'],RW,30000000.0,Villarreal CF,CRY,30000000.0,25/26,22
174,odsonne edouard,27,"['France', 'Haiti']",CF,8000000.0,CRY,RC Lens,3700000.0,25/26,10
175,malcolm ebiowei,21,"['England', 'Netherlands']",RW,1200000.0,CRY,Blackpool FC,1150000.0,25/26,23
177,tyler dibling,19,['England'],RW,25000000.0,SOU,EVE,40500000.0,25/26,22
178,thierno barry,22,"['France', 'Guinea']",CF,20000000.0,Villarreal CF,EVE,30000000.0,25/26,48
179,youssef chermiti,21,"['Portugal', 'Tunisia']",CF,8000000.0,EVE,Rangers FC,8600000.0,25/26,22
180,neal maupay,28,"['France', 'Argentina']",CF,8000000.0,EVE,Olympique Marseille,4000000.0,25/26,12
183,martial godo,22,"[""Cote d'Ivoire"", 'England']",LW,600000.0,FUL,RC Strasbourg Alsace,7000000.0,25/26,34
185,noah okafor,25,"['Switzerland', 'Nigeria']",LW,13000000.0,AC Milan,LEE,19000000.0,25/26,34
187,sam greenwood,23,['England'],LW,4500000.0,LEE,Pogon Szczecin,2000000.0,25/26,10
188,alexander isak,25,"['Sweden', 'Eritrea']",CF,120000000.0,NEW,LIV,145000000.0,25/26,34
189,hugo ekitike,23,"['France', 'Cameroon']",CF,75000000.0,Eintracht Frankfurt,LIV,95000000.0,25/26,47
190,luis diaz,28,['Colombia'],LW,70000000.0,LIV,Bayern Munich,70000000.0,25/26,23
191,darwin nunez,26,['Uruguay'],CF,45000000.0,LIV,Al-Hilal SFC,53000000.0,25/26,35
192,rayan cherki,21,"['France', 'Algeria']",RW,45000000.0,Olympique Lyon,MCI,36500000.0,25/26,13
193,benjamin sesko,22,['Slovenia'],CF,70000000.0,RB Leipzig,MUN,76500000.0,25/26,47
194,antony,25,['Brazil'],RW,35000000.0,MUN,Real Betis Balompié,22000000.0,25/26,22
195,nick woltemade,23,['Germany'],CF,30000000.0,VfB Stuttgart,NEW,75000000.0,25/26,34
196,anthony elanga,23,"['Sweden', 'Cameroon']",RW,42000000.0,NFO,NEW,61400000.0,25/26,36
199,dan ndoye,24,"['Switzerland', 'Senegal']",RW,35000000.0,Bologna FC 1909,NFO,42000000.0,25/26,23
200,dilane bakwa,23,"['France', 'DR Congo']",RW,25000000.0,RC Strasbourg Alsace,NFO,35000000.0,25/26,22
201,arnaud kalimuendo,23,"['France', 'DR Congo']",CF,22000000.0,Stade Rennais FC,NFO,30000000.0,25/26,22
203,ramon sosa,25,"['Paraguay', 'Argentina']",LW,12000000.0,NFO,Sociedade Esportiva Palmeiras,12500000.0,25/26,48
208,mohammed kudus,24,['Ghana'],RW,45000000.0,WHU,TOT,63800000.0,25/26,36
209,mathys tel,20,"['France', 'Guadeloupe']",CF,35000000.0,Bayern Munich,TOT,35000000.0,25/26,48
210,son heung min,33,"['Korea, South']",LW,20000000.0,TOT,Los Angeles FC,22000000.0,25/26,11
211,bryan gil,24,['Spain'],LW,15000000.0,TOT,Girona FC,6000000.0,25/26,10
213,jorgen strand larsen,25,['Norway'],CF,30000000.0,Celta de Vigo,WOL,27000000.0,25/26,36
216,fabio silva,23,['Portugal'],CF,20000000.0,WOL,Borussia Dortmund,22500000.0,25/26,10
217,goncalo guedes,28,['Portugal'],LW,11000000.0,WOL,Real Sociedad,4000000.0,25/26,23
