Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Matheus Nunes,POR,['MF'],Manchester City,24,1998,17,7,661,7.3,0,2,2,0,0,0,0,0,0.8,0.8,1.1,2.0,2023-2024
Darwin Núñez,URU,['FW'],Liverpool,24,1999,36,22,"2,047",22.7,11,8,19,11,0,1,9,0,16.3,15.5,6.0,21.5,2023-2024
Ethan Nwaneri,ENG,['FW'],Arsenal,16,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Christian Nørgaard,DEN,['MF'],Brentford,29,1994,31,30,"2,505",27.8,2,1,3,2,0,0,8,0,3.5,3.5,1.9,5.4,2023-2024
Mark O'Mahony,IRL,['FW'],Brighton,18,2005,3,1,63,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2023-2024
Dara O'Shea,IRL,['DF'],Burnley,24,1999,33,32,"2,892",32.1,3,4,7,3,0,0,5,1,0.7,0.7,2.0,2.7,2023-2024
Michael Obafemi,IRL,"['FW', 'MF']",Burnley,23,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Wilson Odobert,FRA,"['MF', 'FW']",Burnley,18,2004,29,25,"2,098",23.3,3,2,5,3,0,0,3,0,2.8,2.8,3.3,6.1,2023-2024
Odeluga Offiah,ENG,['DF'],Brighton,20,2002,4,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Chiedozie Ogbene,IRL,"['MF', 'DF']",Luton Town,26,1997,30,20,"1,995",22.2,4,1,5,4,0,0,1,0,4.2,4.2,3.1,7.4,2023-2024
Angelo Ogbonna,ITA,['DF'],West Ham,35,1988,11,7,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Michael Olakigbe,ENG,"['DF', 'FW']",Brentford,19,2004,8,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Michael Olise,FRA,"['FW', 'MF']",Crystal Palace,21,2001,19,14,"1,275",14.2,10,6,16,9,1,1,0,0,5.5,4.7,5.8,10.5,2023-2024
Robin Olsen,SWE,['GK'],Aston Villa,33,1990,5,4,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Andrew Omobamidele,IRL,['DF'],Nott'ham Forest,21,2002,11,8,783,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2023-2024
Amadou Onana,BEL,['MF'],Everton,21,2001,30,23,"2,091",23.2,2,0,2,2,0,0,5,0,2.0,2.0,2.7,4.7,2023-2024
André Onana,CMR,['GK'],Manchester Utd,27,1996,38,38,"3,420",38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,2023-2024
Ryan One,SCO,['FW'],Sheffield Utd,17,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Tyler Onyango,ENG,['MF'],Everton,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Fred Onyedinma,ENG,"['DF', 'MF']",Luton Town,26,1996,8,4,407,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2023-2024
Frank Onyeka,NGA,['MF'],Brentford,25,1998,26,11,"1,161",12.9,1,2,3,1,0,0,8,0,2.2,2.2,1.8,4.0,2023-2024
Divock Origi,BEL,['FW'],Nott'ham Forest,28,1995,20,6,606,6.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.5,2023-2024
Stefan Ortega,GER,['GK'],Manchester City,30,1992,9,5,635,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Ben Osborn,ENG,"['DF', 'MF']",Sheffield Utd,28,1994,24,14,"1,367",15.2,0,2,2,0,0,0,3,0,0.2,0.2,0.9,1.1,2023-2024
Gabriel Osho,NGA,['DF'],Luton Town,24,1998,21,21,"1,846",20.5,2,0,2,2,0,0,3,0,1.1,1.1,0.1,1.2,2023-2024
William Osula,DEN,['FW'],Sheffield Utd,19,2003,21,9,786,8.7,0,0,0,0,0,0,4,0,1.6,1.6,0.1,1.7,2023-2024
Dango Ouattara,BFA,"['FW', 'DF']",Bournemouth,21,2002,30,12,"1,229",13.7,1,2,3,1,0,0,3,0,2.6,2.6,1.5,4.1,2023-2024
David Ozoh,ENG,"['MF', 'DF']",Crystal Palace,18,2005,9,0,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
João Palhinha,POR,['MF'],Fulham,28,1995,33,31,"2,699",30.0,4,1,5,4,0,0,13,0,3.3,3.3,0.8,4.1,2023-2024
Cole Palmer,ENG,"['FW', 'MF']",Chelsea,21,2002,33,29,"2,607",29.0,22,11,33,13,9,9,7,0,18.2,11.1,11.1,22.2,2023-2024
Cole Palmer,ENG,['MF'],Manchester City,21,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Emerson Palmieri,ITA,['DF'],West Ham,28,1994,36,35,"3,137",34.9,1,2,3,1,0,0,10,0,1.5,1.5,2.4,3.9,2023-2024
Lucas Paquetá,BRA,"['FW', 'MF']",West Ham,25,1997,31,31,"2,622",29.1,4,6,10,2,2,2,10,0,5.4,3.8,5.4,9.2,2023-2024
Ben Parkinson,ENG,['FW'],Newcastle Utd,18,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Thomas Partey,GHA,"['MF', 'DF']",Arsenal,30,1993,14,9,788,8.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,2023-2024
Nathan Patterson,SCO,['DF'],Everton,21,2001,20,9,"1,005",11.2,0,2,2,0,0,0,4,0,0.3,0.3,1.7,2.0,2023-2024
Myles Peart-Harris,ENG,"['DF', 'MF']",Brentford,20,2002,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Sydie Peck,ENG,['MF'],Sheffield Utd,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Facundo Pellistri,URU,"['FW', 'MF']",Manchester Utd,21,2001,9,1,172,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.1,0.8,2023-2024
Andreas Pereira,BRA,['MF'],Fulham,27,1996,37,34,"2,613",29.0,3,7,10,3,0,0,6,0,4.6,4.6,7.1,11.7,2023-2024
Ivan Perišić,CRO,['FW'],Tottenham,34,1989,5,0,103,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,2023-2024
Đorđe Petrović,SRB,['GK'],Chelsea,23,1999,23,22,"1,987",22.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Kalvin Phillips,ENG,['MF'],West Ham,27,1995,8,3,309,3.4,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,2023-2024
Kalvin Phillips,ENG,['MF'],Manchester City,27,1995,4,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Jaden Philogene Bidace,ENG,['FW'],Aston Villa,21,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Jordan Pickford,ENG,['GK'],Everton,29,1994,38,38,"3,420",38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,2023-2024
Ethan Pinnock,JAM,['DF'],Brentford,30,1993,29,28,"2,521",28.0,2,0,2,2,0,0,1,0,2.0,2.0,1.0,3.0,2023-2024
Nick Pope,ENG,['GK'],Newcastle Utd,31,1992,15,15,"1,345",14.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Pedro Porro,ESP,['DF'],Tottenham,23,1999,35,35,"3,089",34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,2023-2024
Jarell Quansah,ENG,['DF'],Liverpool,20,2003,17,13,"1,190",13.2,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.1,2023-2024
Ionuț Radu,ROU,['GK'],Bournemouth,26,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Jesurun Rak Sakyi,ENG,"['MF', 'FW']",Crystal Palace,20,2002,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,2023-2024
Aaron Ramsdale,ENG,['GK'],Arsenal,25,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Aaron Ramsey,ENG,"['MF', 'FW']",Burnley,20,2003,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,2023-2024
Jacob Ramsey,ENG,"['FW', 'MF']",Aston Villa,22,2001,16,8,853,9.5,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,2023-2024
Marcus Rashford,ENG,['FW'],Manchester Utd,25,1997,33,26,"2,271",25.2,7,2,9,5,2,2,2,0,7.4,5.8,2.3,8.1,2023-2024
David Raya,ESP,['GK'],Arsenal,27,1995,32,32,"2,880",32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Tim Ream,USA,['DF'],Fulham,35,1987,18,17,"1,503",16.7,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,2023-2024
Nathan Redmond,ENG,"['FW', 'MF']",Burnley,29,1994,12,0,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2023-2024
Harrison Reed,ENG,['MF'],Fulham,28,1995,27,15,"1,325",14.7,0,2,2,0,0,0,6,0,0.3,0.3,1.1,1.4,2023-2024
Sergio Reguilón,ESP,['DF'],Manchester Utd,26,1996,9,4,412,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,2023-2024
Sergio Reguilón,ESP,['DF'],Brentford,26,1996,16,14,"1,118",12.4,0,4,4,0,0,0,4,1,0.8,0.8,2.8,3.6,2023-2024
Gio Reyna,USA,"['FW', 'MF']",Nott'ham Forest,20,2002,9,2,235,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,2023-2024
Rodrigo Ribeiro,POR,"['MF', 'FW']",Nott'ham Forest,18,2005,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Declan Rice,ENG,['MF'],Arsenal,24,1999,38,37,"3,225",35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,2023-2024
Chris Richards,USA,"['DF', 'MF']",Crystal Palace,23,2000,26,23,"2,094",23.3,1,1,2,1,0,0,3,0,0.6,0.6,0.4,1.0,2023-2024
Richarlison,BRA,['FW'],Tottenham,26,1997,28,18,"1,491",16.6,11,4,15,11,0,0,3,0,9.6,9.6,2.1,11.7,2023-2024
Jaïro Riedewald,NED,"['MF', 'FW']",Crystal Palace,26,1996,9,2,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Matt Ritchie,SCO,"['FW', 'MF']",Newcastle Utd,33,1989,13,0,128,1.4,1,0,1,1,0,0,1,0,1.0,1.0,0.0,1.0,2023-2024
Connor Roberts,WAL,['DF'],Burnley,27,1995,14,8,823,9.1,0,1,1,0,0,0,5,1,0.0,0.0,0.2,0.2,2023-2024
Andrew Robertson,SCO,['DF'],Liverpool,29,1994,23,18,"1,693",18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,2023-2024
Antonee Robinson,USA,['DF'],Fulham,25,1997,37,37,"3,265",36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,2023-2024
Jack Robinson,ENG,['DF'],Sheffield Utd,29,1993,34,31,"2,885",32.1,1,1,2,1,0,0,10,0,1.2,1.2,1.2,2.4,2023-2024
Rodri,ESP,['MF'],Manchester City,27,1996,34,34,"2,931",32.6,8,9,17,8,0,0,8,1,4.1,4.1,3.9,8.0,2023-2024
Jay Rodriguez,ENG,['FW'],Burnley,34,1989,21,7,822,9.1,2,1,3,1,1,1,0,0,3.5,2.7,0.2,2.9,2023-2024
Mads Roerslev,DEN,['DF'],Brentford,24,1999,34,22,"1,985",22.1,1,2,3,1,0,0,1,0,0.9,0.9,1.8,2.7,2023-2024
Morgan Rogers,ENG,"['MF', 'FW']",Aston Villa,21,2002,11,8,638,7.1,3,1,4,3,0,0,3,0,1.4,1.4,0.6,2.0,2023-2024
Cristian Romero,ARG,['DF'],Tottenham,25,1998,33,33,"2,790",31.0,5,0,5,5,0,0,7,1,3.5,3.5,0.4,3.9,2023-2024
Joe Rothwell,ENG,['MF'],Bournemouth,28,1995,11,3,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2023-2024
Pelly Ruddock Mpanzu,COD,['MF'],Luton Town,30,1993,27,11,"1,101",12.2,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.1,2023-2024
José Sá,POR,['GK'],Wolves,30,1993,35,35,"3,037",33.7,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Dominic Sadi,ENG,['FW'],Bournemouth,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Bukayo Saka,ENG,['FW'],Arsenal,21,2001,35,35,"2,919",32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,2023-2024
Mohamed Salah,EGY,['FW'],Liverpool,31,1992,32,28,"2,534",28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,2023-2024
William Saliba,FRA,['DF'],Arsenal,22,2001,38,38,"3,420",38.0,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,2023-2024
Albert Sambi Lokonga,BEL,['MF'],Luton Town,23,1999,17,16,"1,303",14.5,1,3,4,1,0,0,4,0,0.6,0.6,1.4,2.0,2023-2024
Davinson Sánchez,COL,['DF'],Tottenham,27,1996,1,0,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2023-2024
Robert Sánchez,ESP,['GK'],Chelsea,25,1997,16,16,"1,433",15.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Jadon Sancho,ENG,"['FW', 'MF']",Manchester Utd,23,2000,3,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2023-2024
Ibrahim Sangaré,CIV,['MF'],Nott'ham Forest,25,1997,17,13,"1,035",11.5,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1.0,2023-2024
Andrey Santos,BRA,['MF'],Nott'ham Forest,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Pablo Sarabia,ESP,"['MF', 'FW']",Wolves,31,1992,30,20,"1,745",19.4,4,7,11,2,2,2,5,0,5.5,3.9,5.9,9.8,2023-2024
Dane Scarlett,ENG,['FW'],Tottenham,19,2004,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Kevin Schade,GER,"['FW', 'MF']",Brentford,21,2001,11,3,333,3.7,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,2023-2024
Fabian Schär,SUI,['DF'],Newcastle Utd,31,1991,36,35,"3,054",33.9,4,1,5,4,0,0,5,0,2.5,2.5,0.7,3.3,2023-2024
Jeffrey Schlupp,GHA,"['FW', 'MF']",Crystal Palace,30,1992,29,17,"1,352",15.0,2,2,4,2,0,0,1,0,1.8,1.8,2.3,4.1,2023-2024
Alex Scott,ENG,['MF'],Bournemouth,19,2003,23,11,"1,014",11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,2023-2024
Matz Sels,BEL,['GK'],Nott'ham Forest,31,1992,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2023-2024
Nélson Semedo,POR,"['DF', 'MF']",Wolves,29,1993,36,36,"3,084",34.3,0,1,1,0,0,0,10,1,1.3,1.3,1.7,3.0,2023-2024
Antoine Semenyo,GHA,['FW'],Bournemouth,23,2000,33,25,"2,105",23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,2023-2024
Marcos Senesi,ARG,['DF'],Bournemouth,26,1997,31,26,"2,242",24.9,4,5,9,4,0,0,13,0,2.0,2.0,1.7,3.7,2023-2024
Luke Shaw,ENG,['DF'],Manchester Utd,28,1995,12,12,959,10.7,0,0,0,0,0,0,6,0,0.0,0.0,1.0,1.0,2023-2024
James Shea,ENG,['GK'],Luton Town,32,1991,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Bernardo Silva,POR,"['MF', 'FW']",Manchester City,28,1994,33,29,"2,578",28.6,6,9,15,6,0,0,8,0,3.7,3.7,7.6,11.3,2023-2024
Fábio Silva,POR,['FW'],Wolves,21,2002,8,3,264,2.9,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,2023-2024
Thiago Silva,BRA,['DF'],Chelsea,38,1984,31,28,"2,527",28.1,3,1,4,3,0,0,4,0,0.8,0.8,1.0,1.8,2023-2024
Luis Sinisterra,COL,"['FW', 'MF']",Bournemouth,24,1999,20,7,699,7.8,2,2,4,2,0,0,0,0,2.5,2.5,2.4,5.0,2023-2024
Oliver Skipp,ENG,"['MF', 'DF']",Tottenham,22,2000,21,5,707,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,2023-2024
Adam Smith,ENG,['DF'],Bournemouth,32,1991,28,25,"2,150",23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,2023-2024
Emile Smith Rowe,ENG,['MF'],Arsenal,23,2000,13,3,353,3.9,0,1,1,0,0,0,0,0,2.0,2.0,0.2,2.2,2023-2024
Cédric Soares,POR,['DF'],Arsenal,31,1991,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Dominic Solanke,ENG,['FW'],Bournemouth,25,1997,38,37,"3,325",36.9,19,3,22,17,2,3,3,0,19.6,17.2,3.0,20.3,2023-2024
Manor Solomon,ISR,['FW'],Tottenham,24,1999,5,2,199,2.2,0,2,2,0,0,0,1,0,0.4,0.4,0.8,1.2,2023-2024
Tomáš Souček,CZE,['MF'],West Ham,28,1995,37,34,"2,870",31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,2023-2024
Vinicius Souza,BRA,['MF'],Sheffield Utd,24,1999,36,29,"2,668",29.6,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.9,2023-2024
Jason Steele,ENG,['GK'],Brighton,32,1990,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Raheem Sterling,ENG,"['FW', 'MF']",Chelsea,28,1994,31,22,"1,978",22.0,8,4,12,8,0,0,7,0,6.5,6.5,4.5,11.0,2023-2024
John Stones,ENG,"['DF', 'MF']",Manchester City,29,1994,16,12,"1,064",11.8,1,0,1,1,0,0,2,0,1.0,1.0,0.2,1.3,2023-2024
Thomas Strakosha,ALB,['GK'],Brentford,28,1995,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Dominik Szoboszlai,HUN,['MF'],Liverpool,22,2000,33,25,"2,104",23.4,3,2,5,3,0,0,1,0,3.7,3.7,5.8,9.5,2023-2024
Matt Targett,ENG,['DF'],Newcastle Utd,27,1995,3,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
James Tarkowski,ENG,['DF'],Everton,30,1992,38,38,"3,419",38.0,1,1,2,1,0,0,11,0,2.6,2.6,2.5,5.1,2023-2024
Jimi Tauriainen,ENG,['FW'],Chelsea,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Nuno Tavares,POR,['DF'],Nott'ham Forest,23,2000,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,2023-2024
Marcus Tavernier,ENG,['FW'],Bournemouth,24,1999,30,25,"2,118",23.5,3,4,7,3,0,0,3,0,3.9,3.9,5.2,9.1,2023-2024
Charlie Taylor,ENG,['DF'],Burnley,29,1993,28,25,"2,331",25.9,1,1,2,1,0,0,8,0,0.2,0.2,1.2,1.5,2023-2024
Kenny Tete,NED,['DF'],Fulham,27,1995,14,10,867,9.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.2,2023-2024
Luke Thomas,ENG,['DF'],Sheffield Utd,22,2001,12,11,917,10.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,2023-2024
Youri Tielemans,BEL,"['MF', 'FW']",Aston Villa,26,1997,32,17,"1,622",18.0,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,2023-2024
Jurriën Timber,NED,['DF'],Arsenal,22,2001,2,1,71,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Harry Toffolo,ENG,['DF'],Nott'ham Forest,27,1995,23,15,"1,459",16.2,1,3,4,1,0,0,3,0,1.6,1.6,1.5,3.2,2023-2024
Takehiro Tomiyasu,JPN,['DF'],Arsenal,24,1998,22,10,"1,149",12.8,2,1,3,2,0,0,2,1,1.5,1.5,0.4,1.9,2023-2024
James Tomkins,ENG,['DF'],Crystal Palace,34,1989,4,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Sandro Tonali,ITA,['MF'],Newcastle Utd,23,2000,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,2023-2024
Ivan Toney,ENG,['FW'],Brentford,27,1996,17,16,"1,450",16.1,4,2,6,4,0,0,5,0,6.0,6.0,1.5,7.4,2023-2024
Pau Torres,ESP,['DF'],Aston Villa,26,1997,29,27,"2,464",27.4,2,0,2,2,0,0,1,0,1.0,1.0,0.4,1.4,2023-2024
Andros Townsend,ENG,"['MF', 'FW']",Luton Town,32,1991,27,14,"1,210",13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.3,2.5,2023-2024
James Trafford,ENG,['GK'],Burnley,20,2002,28,28,"2,520",28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Adama Traoré,ESP,"['FW', 'MF']",Fulham,27,1996,17,1,377,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,2023-2024
Bénie Traoré,CIV,"['FW', 'MF']",Sheffield Utd,20,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,2023-2024
Bertrand Traoré,BFA,"['DF', 'FW']",Aston Villa,27,1995,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Boubacar Traoré,MLI,['MF'],Wolves,21,2001,24,7,819,9.1,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,2023-2024
Mark Travers,IRL,['GK'],Bournemouth,24,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Mike Trésor,BEL,"['FW', 'MF']",Burnley,24,1999,16,3,420,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,2023-2024
Kieran Trippier,ENG,['DF'],Newcastle Utd,32,1990,28,26,"2,236",24.8,1,10,11,1,0,0,5,0,0.7,0.7,7.5,8.2,2023-2024
Leandro Trossard,BEL,"['FW', 'MF']",Arsenal,28,1994,34,18,"1,649",18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,2023-2024
Auston Trusty,USA,['DF'],Sheffield Utd,24,1998,32,28,"2,572",28.6,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,2023-2024
Kostas Tsimikas,GRE,['DF'],Liverpool,27,1996,13,8,679,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1.0,1.1,2023-2024
Matt Turner,USA,['GK'],Nott'ham Forest,29,1994,17,17,"1,530",17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Destiny Udogie,ITA,['DF'],Tottenham,20,2002,28,28,"2,391",26.6,2,3,5,2,0,0,7,1,2.4,2.4,2.2,4.6,2023-2024
Lesley Ugochukwu,FRA,['MF'],Chelsea,19,2004,12,3,301,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2023-2024
Enes Ünal,TUR,"['FW', 'MF']",Bournemouth,26,1997,16,2,328,3.6,2,2,4,2,0,0,1,0,2.9,2.9,1.0,3.9,2023-2024
Virgil van Dijk,NED,['DF'],Liverpool,32,1991,36,36,"3,177",35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,2023-2024
Raphaël Varane,FRA,['DF'],Manchester Utd,30,1993,22,16,"1,375",15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,2023-2024
Alejo Véliz,ARG,['FW'],Tottenham,19,2003,8,0,50,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2023-2024
Joël Veltman,NED,['DF'],Brighton,31,1992,27,17,"1,588",17.6,1,1,2,1,0,0,4,0,0.4,0.4,0.5,0.9,2023-2024
Micky van de Ven,NED,['DF'],Tottenham,22,2001,27,27,"2,339",26.0,3,0,3,3,0,0,5,0,0.6,0.6,0.0,0.6,2023-2024
Bart Verbruggen,NED,['GK'],Brighton,20,2002,21,21,"1,890",21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2023-2024
Guglielmo Vicario,ITA,['GK'],Tottenham,26,1996,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Fabio Vieira,POR,"['MF', 'FW']",Arsenal,23,2000,11,2,297,3.3,1,2,3,0,1,1,0,1,1.3,0.5,1.6,2.1,2023-2024
Carlos Vinícius,BRA,['FW'],Fulham,28,1995,13,2,315,3.5,2,0,2,2,0,0,2,0,1.6,1.6,0.8,2.4,2023-2024
Vitinho,BRA,"['DF', 'MF']",Burnley,24,1999,32,26,"2,314",25.7,0,2,2,0,0,0,1,0,1.6,1.6,1.3,2.9,2023-2024
Odysseas Vlachodimos,GRE,['GK'],Nott'ham Forest,29,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Kyle Walker,ENG,['DF'],Manchester City,33,1990,32,30,"2,767",30.7,0,4,4,0,0,0,2,0,0.4,0.4,2.6,3.0,2023-2024
Aaron Wan-Bissaka,COD,['DF'],Manchester Utd,25,1997,22,20,"1,780",19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,2023-2024
Joel Ward,ENG,['DF'],Crystal Palace,33,1989,26,23,"1,980",22.0,0,1,1,0,0,0,4,0,0.9,0.9,0.2,1.1,2023-2024
James Ward-Prowse,ENG,['MF'],West Ham,28,1994,37,34,"3,001",33.3,7,7,14,5,2,2,4,0,6.0,4.4,7.8,12.3,2023-2024
Lewis Warrington,ENG,['FW'],Everton,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Deivid Washington,BRA,"['DF', 'FW']",Chelsea,18,2005,2,0,13,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2023-2024
Ollie Watkins,ENG,['FW'],Aston Villa,27,1995,37,37,"3,217",35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,2023-2024
Adam Webster,ENG,['DF'],Brighton,28,1995,15,13,"1,144",12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,2023-2024
Danny Welbeck,ENG,"['FW', 'MF']",Brighton,32,1990,29,21,"1,693",18.8,5,1,6,5,0,0,4,0,5.3,5.3,1.7,7.0,2023-2024
