Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Joelinton,BRA,"['MF', 'FW']",Newcastle Utd,26,1996,20,15,"1,279",14.2,2,1,3,2,0,0,6,0,3.1,3.1,2.8,5.9,2023-2024
Ben Johnson,ENG,"['DF', 'FW']",West Ham,23,2000,14,4,544,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2023-2024
Brennan Johnson,WAL,['FW'],Tottenham,22,2001,32,23,"2,085",23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,2023-2024
Brennan Johnson,WAL,"['FW', 'MF']",Nott'ham Forest,22,2001,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2023-2024
Joseph Johnson,ENG,['DF'],Luton Town,17,2006,2,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Sam Johnstone,ENG,['GK'],Crystal Palace,30,1993,20,20,"1,796",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Curtis Jones,ENG,['MF'],Liverpool,22,2001,23,14,"1,167",13.0,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,2023-2024
Jorginho,ITA,['MF'],Arsenal,31,1991,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,2023-2024
Diogo Jota,POR,['FW'],Liverpool,26,1996,21,14,"1,145",12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,2023-2024
Mads Juel Andersen,DEN,['DF'],Luton Town,25,1997,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2023-2024
Hamed Junior Traorè,CIV,['MF'],Bournemouth,23,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2023-2024
Mathias Jørgensen,DEN,['DF'],Brentford,33,1990,14,12,"1,087",12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,2023-2024
