Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
20,Jim Allevinah,GAB,"['MF', 'DF']",Clermont Foot,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6,Matches,2023-2024
21,Skelly Alvero,FRA,['MF'],Lyon,21,2002,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,2023-2024
22,Papa Amadou Diallo,SEN,['FW'],Metz,19,2004,9.9,2,13,5,38.5,1.32,0.51,0.15,0.40,14.7,0,0,0,2.6,2.6,0.20,-0.6,-0.6,Matches,2023-2024
23,Jordan Amavi,FRA,['DF'],Brest,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.00,1.00,26.9,1,0,0,0.1,0.1,0.10,+0.9,+0.9,Matches,2023-2024
24,Kelvin Amian,FRA,['DF'],Nantes,25,1998,8.9,0,1,0,0.0,0.11,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2023-2024
25,Michael Amir Murillo,PAN,['DF'],Marseille,27,1996,11.1,3,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0,0,0,0.8,0.8,0.14,+2.2,+2.2,Matches,2023-2024
26,Benjamin André,FRA,['MF'],Lille,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,17.0,0,0,0,2.6,2.6,0.11,+1.4,+1.4,Matches,2023-2024
27,Komnen Andrić,SRB,['FW'],Clermont Foot,28,1995,1.9,0,2,0,0.0,1.07,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2023-2024
28,Ângelo,BRA,"['FW', 'MF']",Strasbourg,18,2004,12.2,0,9,4,44.4,0.74,0.33,0.00,0.00,22.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,2023-2024
29,Stredair Appuah,FRA,"['FW', 'MF']",Nantes,19,2004,0.9,0,4,0,0.0,4.29,0.00,0.00,,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,2023-2024
30,Yoël Armougom,FRA,"['DF', 'MF']",Clermont Foot,25,1998,2.6,0,2,0,0.0,0.77,0.00,0.00,,28.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2023-2024
31,Hákon Arnar Haraldsson,ISL,"['FW', 'MF']",Lille,20,2003,14.3,2,12,6,50.0,0.84,0.42,0.17,0.33,18.2,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches,2023-2024
32,Mohamed El Arouch,FRA,['FW'],Lyon,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024
33,Marco Asensio,ESP,"['MF', 'FW']",Paris S-G,27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.40,19.2,1,0,0,3.2,3.2,0.12,+0.8,+0.8,Matches,2023-2024
34,Joel Asoro,SWE,"['FW', 'MF']",Metz,24,1999,9.4,2,6,3,50.0,0.64,0.32,0.33,0.67,15.4,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches,2023-2024
35,Lorenz Assignon,TOG,['DF'],Rennes,23,2000,11.2,1,11,4,36.4,0.98,0.36,0.09,0.25,22.9,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,2023-2024
36,Youcef Atal,ALG,['DF'],Nice,27,1996,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,22.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,2023-2024
37,Valentin Atangana Edoa,FRA,['MF'],Reims,17,2005,6.2,0,9,2,22.2,1.46,0.32,0.00,0.00,19.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,2023-2024
