Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
488,Gabriel Suazo,CHI,['DF'],Toulouse,25,1997,26.2,0,10,3,30.0,0.38,0.11,0.00,0.00,17.3,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,2023-2024
489,Abakar Sylla,CIV,['DF'],Strasbourg,20,2002,19.9,2,11,5,45.5,0.55,0.25,0.18,0.40,14.6,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Matches,2023-2024
490,Dembo Sylla,GUI,['DF'],Lorient,20,2002,0.5,0,1,0,0.0,2.00,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,2023-2024
491,Issiaga Sylla,GUI,"['DF', 'FW']",Montpellier,29,1994,16.2,1,13,5,38.5,0.80,0.31,0.08,0.20,14.6,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches,2023-2024
492,Musa Al-Taamari,JOR,['FW'],Montpellier,26,1997,21.4,5,46,19,41.3,2.15,0.89,0.11,0.26,17.8,0,0,0,3.6,3.6,0.08,+1.4,+1.4,Matches,2023-2024
493,Nicolás Tagliafico,ARG,['DF'],Lyon,30,1992,23.6,3,15,6,40.0,0.64,0.25,0.20,0.50,13.7,0,0,0,2.6,2.6,0.17,+0.4,+0.4,Matches,2023-2024
494,Montassar Talbi,TUN,['DF'],Lorient,25,1998,24.5,0,5,2,40.0,0.20,0.08,0.00,0.00,16.6,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,2023-2024
495,Oussama Targhalline,MAR,['MF'],Le Havre,21,2002,11.4,0,6,0,0.0,0.53,0.00,0.00,,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,2023-2024
496,Enzo Tchato,CMR,['DF'],Montpellier,20,2002,12.5,0,5,1,20.0,0.40,0.08,0.00,0.00,18.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,2023-2024
497,Arnau Tenas,ESP,['GK'],Paris S-G,22,2001,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024
498,Martin Terrier,FRA,"['FW', 'MF']",Rennes,26,1997,17.0,7,38,16,42.1,2.24,0.94,0.18,0.44,12.8,0,0,0,5.2,5.2,0.14,+1.8,+1.8,Matches,2023-2024
499,Benjamin Tetteh,GHA,"['FW', 'MF']",Metz,26,1997,3.1,0,3,1,33.3,0.97,0.32,0.00,0.00,17.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,2023-2024
500,Teddy Teuma,MLT,['MF'],Reims,29,1993,23.5,6,43,14,32.6,1.83,0.60,0.12,0.36,23.3,8,1,1,3.1,2.3,0.05,+2.9,+2.7,Matches,2023-2024
501,Arthur Theate,BEL,['DF'],Rennes,23,2000,25.5,2,22,5,22.7,0.86,0.20,0.09,0.40,18.7,1,0,0,1.9,1.9,0.09,+0.1,+0.1,Matches,2023-2024
502,Adrien Thomasson,FRA,['MF'],Lens,29,1993,13.3,1,31,6,19.4,2.34,0.45,0.03,0.17,14.3,0,0,0,3.8,3.8,0.12,-2.8,-2.8,Matches,2023-2024
