Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
500,Giovanni Simeone,ARG,['FW'],Napoli,27,1995,4.5,106,104,2,0,0,1,2,0,0,0,0,0,76,0,4,2022-2023
501,Wilfried Singo,CIV,['DF'],Torino,21,2000,22.7,1138,923,207,20,3,7,56,187,0,0,0,0,853,8,19,2022-2023
502,Salvatore Sirigu,ITA,['GK'],Fiorentina,35,1987,1.0,38,26,12,4,0,0,0,0,0,0,0,0,28,0,0,2022-2023
503,Leo Skiri Østigård,NOR,['DF'],Napoli,22,1999,4.7,357,344,12,11,0,9,0,1,0,0,0,0,306,1,1,2022-2023
504,Łukasz Skorupski,POL,['GK'],Bologna,31,1991,37.0,1216,854,357,79,0,3,0,0,0,0,0,0,957,5,0,2022-2023
505,Milan Škriniar,SVK,['DF'],Inter,27,1995,19.7,1397,1328,67,43,1,13,5,22,0,0,0,0,1275,2,6,2022-2023
506,Chris Smalling,ENG,['DF'],Roma,32,1989,31.2,1344,1315,27,25,1,4,1,2,0,0,0,0,1173,2,10,2022-2023
507,Ola Solbakken,NOR,"['MF', 'FW']",Roma,23,1998,5.6,159,148,11,3,1,1,12,2,6,6,0,0,112,0,3,2022-2023
508,Brandon Soppy,FRA,['DF'],Udinese,20,2002,1.0,32,29,2,0,0,0,1,2,0,0,0,0,22,1,0,2022-2023
509,Brandon Soppy,FRA,['DF'],Atalanta,20,2002,7.1,322,254,67,0,1,0,19,67,0,0,0,0,243,1,12,2022-2023
510,Roberto Soriano,ITA,"['FW', 'MF']",Bologna,31,1991,14.7,605,595,10,4,5,3,11,6,0,0,0,0,486,0,15,2022-2023
511,Joaquin Sosa,URU,['DF'],Bologna,20,2002,7.6,379,363,16,16,0,5,1,0,0,0,0,0,308,0,4,2022-2023
512,Riccardo Sottil,ITA,['FW'],Fiorentina,23,1999,9.3,266,264,2,1,2,2,31,1,0,0,0,0,209,0,7,2022-2023
513,Matìas Soulé,ARG,"['MF', 'FW']",Juventus,19,2003,4.7,168,156,12,1,0,3,6,9,2,2,0,0,138,0,3,2022-2023
