Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
2,Yunis Abdelhamid,MAR,['DF'],Reims,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,2023-2024
3,Salis Abdul Samed,GHA,['MF'],Lens,23,2000,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,2023-2024
4,Laurent Abergel,FRA,['MF'],Lorient,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,2023-2024
5,Matthis Abline,FRA,['FW'],Nantes,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,2023-2024
6,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,2023-2024
7,Akor Adams,NGA,['FW'],Montpellier,23,2000,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,2023-2024
8,Nathaniel Adjei,GHA,['DF'],Lorient,20,2002,13.8,11,0.80,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0,2023-2024
9,Adryelson,BRA,"['DF', 'FW']",Lyon,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
10,Adson,BRA,"['MF', 'FW']",Nantes,22,2000,2.6,9,3.40,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
11,Emmanuel Agbadou,CIV,['DF'],Reims,26,1997,28.8,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0,2023-2024
12,Ruben Aguilar,FRA,['DF'],Lens,30,1993,21.4,47,2.20,43,1,1,2,0,0,5,0.23,5,0,0,0,0,0,2023-2024
13,Tosin Aiyegun,BEN,"['MF', 'FW']",Lorient,25,1998,10.0,13,1.30,12,0,0,0,1,0,1,0.10,0,0,0,0,1,0,2023-2024
14,Sergio Akieme,ESP,['DF'],Reims,25,1997,9.1,19,2.09,12,1,3,2,0,1,1,0.11,0,0,0,1,0,0,2023-2024
15,Maghnes Akliouche,FRA,"['MF', 'FW']",Monaco,21,2002,17.9,88,4.91,59,11,6,3,4,5,9,0.50,7,0,0,0,0,2,2023-2024
16,Paul Akouokou,CIV,['MF'],Lyon,25,1997,3.4,6,1.75,4,0,1,0,0,1,0,0.00,0,0,0,0,0,0,2023-2024
17,Aboubacar Ali,COM,"['MF', 'FW']",Strasbourg,17,2006,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0,2023-2024
18,Mohamed Ali Cho,FRA,['FW'],Nice,19,2004,9.6,34,3.56,20,4,5,0,5,0,4,0.42,3,0,0,0,1,0,2023-2024
19,Nabil Alioui,FRA,"['MF', 'FW']",Le Havre,24,1999,11.2,40,3.56,24,11,3,2,0,0,2,0.18,1,1,0,0,0,0,2023-2024
20,Jim Allevinah,GAB,"['MF', 'DF']",Clermont Foot,28,1995,20.7,58,2.80,37,2,6,6,6,1,3,0.15,3,0,0,0,0,0,2023-2024
21,Skelly Alvero,FRA,['MF'],Lyon,21,2002,4.7,12,2.54,7,1,1,2,1,0,0,0.00,0,0,0,0,0,0,2023-2024
22,Papa Amadou Diallo,SEN,['FW'],Metz,19,2004,9.9,20,2.02,18,0,0,1,0,1,1,0.10,1,0,0,0,0,0,2023-2024
23,Jordan Amavi,FRA,['DF'],Brest,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
24,Kelvin Amian,FRA,['DF'],Nantes,25,1998,8.9,8,0.90,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0,2023-2024
25,Michael Amir Murillo,PAN,['DF'],Marseille,27,1996,11.1,15,1.35,9,1,1,0,2,2,3,0.27,3,0,0,0,0,0,2023-2024
26,Benjamin André,FRA,['MF'],Lille,32,1990,28.6,49,1.72,41,1,0,0,5,2,3,0.11,1,0,0,0,2,0,2023-2024
27,Komnen Andrić,SRB,['FW'],Clermont Foot,28,1995,1.9,6,3.20,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2023-2024
28,Ângelo,BRA,"['FW', 'MF']",Strasbourg,18,2004,12.2,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0,2023-2024
29,Stredair Appuah,FRA,"['FW', 'MF']",Nantes,19,2004,0.9,2,2.14,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,2023-2024
30,Yoël Armougom,FRA,"['DF', 'MF']",Clermont Foot,25,1998,2.6,8,3.08,7,0,0,1,0,0,1,0.38,1,0,0,0,0,0,2023-2024
31,Hákon Arnar Haraldsson,ISL,"['FW', 'MF']",Lille,20,2003,14.3,35,2.45,23,2,3,2,5,0,1,0.07,0,0,0,0,1,0,2023-2024
32,Mohamed El Arouch,FRA,['FW'],Lyon,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
