Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,18,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
2,Yunis Abdelhamid,MAR,['DF'],Saint-Étienne,36,1987,11.5,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
3,Himad Abdelli,ALG,"['MF', 'FW']",Angers,24,1999,31.6,94,2.98,80,2,5,1,3,3,5,0.16,3,0,2,0,0,0,2024-2025
4,Mohamed Abdelmoneim,EGY,['DF'],Nice,25,1999,9.5,8,0.84,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
5,Ali Abdi,TUN,"['DF', 'MF']",Nice,30,1993,15.5,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0,2024-2025
6,Matthis Abline,FRA,['FW'],Nantes,21,2003,30.8,61,1.98,43,0,8,6,3,1,9,0.29,6,0,2,1,0,0,2024-2025
7,Abner,BRA,['DF'],Lyon,24,2000,12.1,25,2.06,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0,2024-2025
8,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,24,2000,21.1,34,1.61,19,0,4,6,4,1,7,0.33,3,0,1,0,3,0,2024-2025
9,Akor Adams,NGA,['FW'],Montpellier,24,2000,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,2024-2025
10,Martin Adeline,FRA,['MF'],Reims,20,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
11,Adryelson,BRA,['DF'],Lyon,26,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
12,Emmanuel Agbadou,CIV,['DF'],Reims,27,1997,14.0,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,2024-2025
