Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
36,Kepa Arrizabalaga,ESP,['GK'],Bournemouth,29,1994,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5,2024-2025
37,Marco Asensio,ESP,['MF'],Aston Villa,28,1996,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0,2024-2025
38,Brandon Austin,ENG,['GK'],Tottenham,25,1999,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,2024-2025
39,Taiwo Awoniyi,NGA,['FW'],Nott'ham Forest,26,1997,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5,2024-2025
40,Yasin Ayari,SWE,['MF'],Brighton,20,2003,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4,2024-2025
41,Jordan Ayew,GHA,"['FW', 'MF']",Crystal Palace,32,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,2024-2025
42,Jordan Ayew,GHA,"['FW', 'MF']",Leicester City,32,1991,18.2,5,0,0,30,59,7,60,12,15,0,0,0,93,37,80,31.6,2024-2025
43,Benoît Badiashile,FRA,['DF'],Chelsea,23,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,2024-2025
44,Leon Bailey,JAM,"['FW', 'MF']",Aston Villa,26,1997,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0,2024-2025
45,Carlos Baleba,CMR,['MF'],Brighton,20,2004,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60.0,2024-2025
46,Ross Barkley,ENG,['MF'],Aston Villa,30,1993,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0,2024-2025
47,Harvey Barnes,ENG,['FW'],Newcastle Utd,26,1997,19.5,0,0,0,15,22,5,47,6,9,0,0,0,55,6,15,28.6,2024-2025
48,Calvin Bassey,NGA,['DF'],Fulham,24,1999,34.2,7,0,0,26,32,2,8,20,34,0,0,0,168,43,33,56.6,2024-2025
49,Altay Bayındır,TUR,['GK'],Manchester Utd,26,1998,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0,2024-2025
50,Jan Bednarek,POL,['DF'],Southampton,28,1996,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7,2024-2025
51,Armel Bella Kotchap,GER,['DF'],Southampton,22,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,2024-2025
52,Jean-Ricner Bellegarde,HAI,"['MF', 'FW']",Wolves,26,1998,18.6,3,0,0,31,47,1,44,10,24,0,0,0,62,10,19,34.5,2024-2025
53,Rodrigo Bentancur,URU,['MF'],Tottenham,27,1997,18.3,9,0,0,34,10,1,4,40,22,0,0,0,121,36,30,54.5,2024-2025
54,Daniel Bentley,ENG,['GK'],Wolves,31,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0,2024-2025
55,Sander Berge,NOR,['MF'],Fulham,26,1998,24.7,6,0,0,31,10,0,3,21,30,0,0,0,126,28,22,56.0,2024-2025
56,Lucas Bergvall,SWE,['MF'],Tottenham,18,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,2024-2025
57,Victor Bernth Kristiansen,DEN,['DF'],Leicester City,21,2002,27.6,1,0,0,19,18,3,97,42,51,0,1,1,99,22,42,34.4,2024-2025
58,Beto,GNB,['FW'],Everton,26,1998,17.0,2,0,0,33,23,16,4,4,6,0,0,0,40,99,105,48.5,2024-2025
59,Philip Billing,DEN,['MF'],Bournemouth,28,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,2024-2025
60,Yves Bissouma,MLI,['MF'],Tottenham,27,1996,15.6,7,0,0,28,18,0,2,18,31,0,2,0,85,7,7,50.0,2024-2025
61,Oscar Bobb,NOR,['FW'],Manchester City,21,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,2024-2025
62,Lamare Bogarde,NED,"['DF', 'MF']",Aston Villa,20,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,2024-2025
63,Willy Boly,CIV,['DF'],Nott'ham Forest,33,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,2024-2025
64,Sven Botman,NED,['DF'],Newcastle Utd,24,2000,4.6,1,0,0,5,4,0,0,5,9,0,0,0,14,17,9,65.4,2024-2025
65,Jarrod Bowen,ENG,"['FW', 'MF']",West Ham,27,1996,33.0,1,0,0,20,51,10,106,16,26,0,0,0,129,12,48,20.0,2024-2025
66,Conor Bradley,NIR,['DF'],Liverpool,21,2003,8.4,4,0,0,12,14,1,7,4,10,0,0,0,51,11,7,61.1,2024-2025
67,Jarrad Branthwaite,ENG,['DF'],Everton,22,2002,27.9,4,0,0,12,18,1,5,27,20,0,0,0,93,61,42,59.2,2024-2025
68,James Bree,ENG,['DF'],Southampton,26,1997,11.9,0,0,0,4,5,0,29,9,14,0,0,0,65,12,7,63.2,2024-2025
69,Ben Brereton,CHI,['FW'],Southampton,25,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,2024-2025
70,Nathan Broadhead,WAL,"['MF', 'FW']",Ipswich Town,26,1998,7.8,1,0,0,4,13,2,9,4,4,0,0,0,32,1,10,9.1,2024-2025
71,Armando Broja,ALB,['FW'],Everton,22,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,2024-2025
72,David Brooks,WAL,"['FW', 'MF']",Bournemouth,27,1997,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2,2024-2025
73,Emi Buendía,ARG,"['MF', 'FW']",Aston Villa,27,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,2024-2025
74,Santiago Bueno,URU,['DF'],Wolves,25,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0,2024-2025
75,Facundo Buonanotte,ARG,"['FW', 'MF']",Leicester City,19,2004,16.9,8,0,0,37,35,3,43,12,32,0,0,0,79,18,36,33.3,2024-2025
76,Cameron Burgess,AUS,['DF'],Ipswich Town,28,1995,17.1,0,0,0,6,4,1,0,14,12,0,0,0,44,44,22,66.7,2024-2025
77,Dan Burn,ENG,['DF'],Newcastle Utd,32,1992,37.0,11,0,0,34,12,5,3,27,24,0,0,2,103,146,75,66.1,2024-2025
78,Wes Burns,WAL,"['FW', 'DF']",Ipswich Town,29,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,2024-2025
79,Nathan Butler-Oyedeji,ENG,['FW'],Arsenal,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-2025
80,Moisés Caicedo,ECU,"['MF', 'DF']",Chelsea,22,2001,37.2,11,0,0,70,58,0,10,49,73,2,1,0,229,35,16,68.6,2024-2025
81,Tom Cairney,SCO,['MF'],Fulham,33,1991,7.0,3,1,0,8,19,0,20,4,5,0,0,0,52,5,9,35.7,2024-2025
82,Jens Cajuste,SWE,['MF'],Ipswich Town,24,1999,21.8,2,0,0,24,22,0,10,28,22,0,0,0,107,13,22,37.1,2024-2025
83,Riccardo Calafiori,ITA,['DF'],Arsenal,22,2002,10.9,4,0,0,16,6,3,11,9,19,0,0,0,35,22,14,61.1,2024-2025
84,Dominic Calvert-Lewin,ENG,['FW'],Everton,27,1997,17.9,2,0,0,27,23,27,6,7,7,0,0,0,35,85,81,51.2,2024-2025
85,Diego Carlos,BRA,['DF'],Aston Villa,31,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,2024-2025
86,Fabio Carvalho,POR,"['FW', 'MF']",Brentford,21,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,2024-2025
87,Casemiro,BRA,['MF'],Manchester Utd,32,1992,16.6,5,0,0,20,19,4,20,14,50,0,0,0,103,36,19,65.5,2024-2025
88,Kaelan Casey,ENG,['DF'],West Ham,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,2024-2025
89,Matty Cash,POL,['DF'],Aston Villa,26,1997,23.0,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50.0,2024-2025
90,Eiran Cashin,IRL,['DF'],Brighton,22,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,2024-2025
91,Timothy Castagne,BEL,['DF'],Fulham,28,1995,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3,2024-2025
92,Trevoh Chalobah,ENG,['DF'],Crystal Palace,25,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,2024-2025
93,Trevoh Chalobah,ENG,['DF'],Chelsea,25,1999,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7,2024-2025
94,Conor Chaplin,ENG,"['MF', 'FW']",Ipswich Town,27,1997,9.5,2,0,0,11,7,0,9,4,5,0,0,0,27,3,9,25.0,2024-2025
95,Youssef Chermiti,POR,"['FW', 'MF']",Everton,20,2004,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7,2024-2025
96,Federico Chiesa,ITA,['FW'],Liverpool,26,1997,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0.0,2024-2025
97,Ben Chilwell,ENG,['DF'],Crystal Palace,27,1996,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9,2024-2025
98,Chiquinho,POR,['MF'],Wolves,24,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,2024-2025
99,Hamza Choudhury,BAN,"['MF', 'DF']",Leicester City,26,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,2024-2025
100,Ryan Christie,SCO,['MF'],Bournemouth,29,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,2024-2025
101,Harry Clarke,ENG,['DF'],Ipswich Town,23,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,2024-2025
102,Jack Clarke,ENG,"['FW', 'MF']",Ipswich Town,23,2000,13.1,2,0,0,15,23,3,13,7,20,0,0,0,75,7,18,28.0,2024-2025
103,Nathaniel Clyne,ENG,"['DF', 'MF']",Crystal Palace,33,1991,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,2024-2025
104,Conor Coady,ENG,['DF'],Leicester City,31,1993,19.0,3,0,0,8,2,1,0,13,9,0,2,0,62,13,22,37.1,2024-2025
105,Séamus Coleman,IRL,['DF'],Everton,35,1988,2.4,1,0,0,0,1,0,4,1,2,0,0,0,7,2,1,66.7,2024-2025
106,Nathan Collins,IRL,['DF'],Brentford,23,2001,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9,2024-2025
107,Toby Collyer,ENG,['MF'],Manchester Utd,20,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,2024-2025
108,Levi Colwill,ENG,['DF'],Chelsea,21,2003,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7,2024-2025
