player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Davide Frattesi,24,['Italy'],CM,€35.00m,US Sassuolo,Inter Milan,€31.40m,24/25
Josep Martínez,26,['Spain'],GK,€8.00m,Genoa CFC,Inter Milan,€14.00m,24/25
Carlos Augusto,25,"['Brazil', 'Italy']",LB,€22.00m,AC Monza,Inter Milan,€13.25m,24/25
Marko Arnautovic,35,"['Austria', 'Serbia']",CF,€4.00m,Bologna FC 1909,Inter Milan,€10.90m,24/25
Tomás Palacios,21,['Argentina'],CB,€500k,CS Independiente Rivadavia,Inter Milan,€6.40m,24/25
Mehdi Taremi,31,['Iran'],CF,€10.00m,FC Porto,Inter Milan,free transfer,24/25
Piotr Zieliński,30,"['Poland', 'Italy']",CM,€22.00m,SSC Napoli,Inter Milan,free transfer,24/25
Lucien Agoumé,22,"['France', 'Cameroon']",DM,€6.00m,Inter Milan,Sevilla FC,€8.00m,24/25
Gaetano Oristanio,21,['Italy'],AM,€4.00m,Inter Milan,Venezia FC,€4.00m,24/25
Mattia Zanotti,21,['Italy'],RB,€4.00m,Inter Milan,FC Lugano,€1.90m,24/25
Nikola Iliev,20,['Bulgaria'],AM,€800k,Inter Milan,Botev Plovdiv,€240k,24/25
Ionuț Radu,27,['Romania'],GK,€1.50m,Inter Milan,Venezia FC,free transfer,24/25
Jacopo Gianelli,23,['Italy'],CM,-,Inter Milan,Ancona Calcio,free transfer,24/25
Juan Cuadrado,36,"['Colombia', 'Italy']",RM,€1.00m,Inter Milan,Atalanta BC,free transfer,24/25
Alexis Sánchez,35,['Chile'],CF,€2.50m,Inter Milan,Udinese Calcio,free transfer,24/25
Stefano Sensi,29,['Italy'],CM,€3.00m,Inter Milan,AC Monza,free transfer,24/25
Francesco Nunziatini,21,['Italy'],LM,€25k,Inter Milan,SEF Torres 1903,free transfer,24/25
Andrea Moretti,22,['Italy'],CB,€250k,Inter Milan,US Triestina,?,24/25
Alessandro Silvestro,21,['Italy'],RB,€125k,Inter Milan,Calcio Foggia 1920,?,24/25
Dennis Curatolo,20,['Italy'],CF,€75k,Inter Milan,Aurora Pro Patria,?,24/25
William Rovida,21,['Italy'],GK,€200k,Inter Milan,Aurora Pro Patria,?,24/25
Davy Klaassen,31,['Netherlands'],CM,€4.00m,Inter Milan,Without Club,-,24/25
Santiago Gimenez,23,"['Mexico', 'Italy']",CF,€37.00m,Feyenoord Rotterdam,AC Milan,€30.20m,24/25
Youssouf Fofana,25,"['France', 'Mali']",DM,€30.00m,AS Monaco,AC Milan,€26.00m,24/25
Strahinja Pavlović,23,['Serbia'],CB,€25.00m,Red Bull Salzburg,AC Milan,€18.50m,24/25
Álvaro Morata,31,['Spain'],CF,€16.00m,Atlético de Madrid,AC Milan,€17.20m,24/25
Emerson Royal,25,['Brazil'],RB,€18.00m,Tottenham Hotspur,AC Milan,€16.00m,24/25
Warren Bondo,21,"['France', 'DR Congo']",CM,€7.00m,AC Monza,AC Milan,€10.50m,24/25
Álex Jiménez,19,['Spain'],RB,€4.00m,Real Madrid U19,AC Milan,€5.00m,24/25
Charles De Ketelaere,23,['Belgium'],AM,€34.00m,AC Milan,Atalanta BC,€23.70m,24/25
Daniel Maldini,22,"['Italy', 'Venezuela']",AM,€4.50m,AC Milan,AC Monza,€6.50m,24/25
Rade Krunic,30,"['Bosnia-Herzegovina', 'Serbia']",DM,€6.00m,AC Milan,Fenerbahce,€3.50m,24/25
Luka Romero,20,"['Argentina', 'Spain']",RW,€3.50m,AC Milan,CD Cruz Azul,€3.20m,24/25
Jan-Carlo Simić,19,"['Serbia', 'Germany']",CB,€5.00m,AC Milan,RSC Anderlecht,€2.61m,24/25
Olivier Giroud,37,['France'],CF,€3.00m,AC Milan,Los Angeles FC,free transfer,24/25
Mattia Caldara,30,['Italy'],CB,€800k,AC Milan,Modena FC,free transfer,24/25
Emil Roback,21,"['Sweden', 'The Gambia']",LW,€100k,AC Milan,Muangthong United,free transfer,24/25
Antonio Mirante,40,['Italy'],GK,€100k,AC Milan,Retired,-,24/25
Simon Kjaer,35,['Denmark'],CB,€1.50m,AC Milan,Without Club,-,24/25
Teun Koopmeiners,26,['Netherlands'],AM,€50.00m,Atalanta BC,Juventus FC,€58.40m,24/25
Douglas Luiz,26,['Brazil'],CM,€70.00m,Aston Villa,Juventus FC,€51.50m,24/25
Khéphren Thuram,23,"['France', 'Guadeloupe']",CM,€35.00m,OGC Nice,Juventus FC,€20.60m,24/25
Alberto Costa,21,['Portugal'],RB,€1.00m,Vitória Guimarães SC,Juventus FC,€13.80m,24/25
Juan Cabal,23,['Colombia'],LB,€3.50m,Hellas Verona,Juventus FC,€12.80m,24/25
Vasilije Adžić,18,['Montenegro'],AM,€600k,Buducnost Podgorica,Juventus FC,€7.20m,24/25
Matías Soulé,21,"['Argentina', 'Italy']",RW,€25.00m,Juventus FC,AS Roma,€25.60m,24/25
Dean Huijsen,19,"['Spain', 'Netherlands']",CB,€10.00m,Juventus FC,AFC Bournemouth,€19.63m,24/25
Samuel Iling-Junior,20,"['England', 'DR Congo']",LB,€13.00m,Juventus FC,Aston Villa,€14.00m,24/25
Moise Kean,24,"['Italy', ""Cote d'Ivoire""]",CF,€14.00m,Juventus FC,ACF Fiorentina,€13.00m,24/25
Federico Chiesa,26,['Italy'],RW,€35.00m,Juventus FC,Liverpool FC,€12.00m,24/25
Koni De Winter,22,['Belgium'],CB,€12.00m,Juventus FC,Genoa CFC,€11.00m,24/25
Enzo Barrenechea,23,['Argentina'],DM,€7.50m,Juventus FC,Aston Villa,€8.00m,24/25
