player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Jesper Lindstrøm,23,['Denmark'],RW,€28.00m,Eintracht Frankfurt,SSC Napoli,€30.00m,23/24
Giacomo Raspadori,23,['Italy'],SS,€35.00m,US Sassuolo,SSC Napoli,€28.00m,23/24
Cyril Ngonge,23,"['Belgium', 'DR Congo']",RW,€6.00m,Hellas Verona,SSC Napoli,€20.00m,23/24
Giovanni Simeone,27,"['Argentina', 'Spain']",CF,€15.00m,Hellas Verona,SSC Napoli,€12.00m,23/24
Jens Cajuste,24,"['Sweden', 'United States']",DM,€6.00m,Stade Reims,SSC Napoli,€11.50m,23/24
Natan,22,['Brazil'],CB,€5.50m,Red Bull Bragantino,SSC Napoli,€9.50m,23/24
Walid Cheddira,25,"['Morocco', 'Italy']",CF,€7.50m,SSC Bari,SSC Napoli,€3.00m,23/24
Pasquale Mazzocchi,28,['Italy'],RB,€4.00m,US Salernitana 1919,SSC Napoli,€3.00m,23/24
Elia Caprile,21,['Italy'],GK,€4.00m,SSC Bari,SSC Napoli,€2.20m,23/24
Min-jae Kim,26,"['Korea, South']",CB,€60.00m,SSC Napoli,Bayern Munich,€50.00m,23/24
Eljif Elmas,24,['North Macedonia'],AM,€24.00m,SSC Napoli,RB Leipzig,€24.00m,23/24
Hirving Lozano,28,['Mexico'],LW,€25.00m,SSC Napoli,PSV Eindhoven,€15.00m,23/24
Andrea Petagna,28,['Italy'],CF,€10.00m,SSC Napoli,AC Monza,€9.70m,23/24
Sebastiano Luperto,26,['Italy'],CB,€3.00m,SSC Napoli,FC Empoli,€2.50m,23/24
Leonardo Candellone,25,['Italy'],CF,€350k,SSC Napoli,SS Juve Stabia,€1k,23/24
Filippo Costa,28,['Italy'],LM,€350k,SSC Napoli,LR Vicenza,€1k,23/24
Valerio Labriola,22,['Italy'],CM,€150k,SSC Napoli,Giugliano Calcio 1928,free transfer,23/24
Karim Zedadka,23,"['Algeria', 'France']",LM,€200k,SSC Napoli,Swift Hesperange,free transfer,23/24
Davide Marfella,23,['Italy'],GK,€50k,SSC Napoli,Casertana FC,free transfer,23/24
Davide Costanzo,21,['Italy'],CB,€50k,SSC Napoli,Portici 1906,free transfer,23/24
Taty Castellanos,24,['Argentina'],CF,€15.00m,New York City FC,SS Lazio,€15.00m,23/24
Gustav Isaksen,22,['Denmark'],RW,€7.50m,FC Midtjylland,SS Lazio,€13.40m,23/24
Matteo Cancellieri,21,['Italy'],RW,€5.00m,Hellas Verona,SS Lazio,€8.50m,23/24
Christos Mandas,21,['Greece'],GK,€1.00m,OFI Crete FC,SS Lazio,€1.30m,23/24
Diego González,20,['Paraguay'],RW,€750k,Celaya FC,SS Lazio,€1.10m,23/24
Daichi Kamada,26,['Japan'],AM,€27.00m,Eintracht Frankfurt,SS Lazio,free transfer,23/24
Sergej Milinković-Savić,28,"['Serbia', 'Spain']",CM,€50.00m,SS Lazio,Al-Hilal SFC,€40.00m,23/24
Francesco Acerbi,35,['Italy'],CB,€4.00m,SS Lazio,Inter Milan,€4.00m,23/24
Gonzalo Escalante,30,"['Argentina', 'Italy']",CM,€2.00m,SS Lazio,Cádiz CF,€2.50m,23/24
Luka Romero,18,"['Argentina', 'Spain']",RW,€3.00m,SS Lazio,AC Milan,free transfer,23/24
Nicolò Armini,22,['Italy'],CB,€250k,SS Lazio,Potenza Calcio,free transfer,23/24
Jony,32,['Spain'],LW,€500k,SS Lazio,FC Cartagena,free transfer,23/24
Emanuele Cicerelli,29,['Italy'],LW,€275k,SS Lazio,Catania FC,free transfer,23/24
Ștefan Radu,36,['Romania'],LB,€300k,SS Lazio,Retired,-,23/24
Riza Durmisi,29,"['Denmark', 'Albania']",LB,€300k,SS Lazio,Without Club,-,23/24
Alessandro Rossi,27,['Italy'],CF,€50k,SS Lazio,Without Club,-,23/24
Benjamin Pavard,27,['France'],CB,€40.00m,Bayern Munich,Inter Milan,€31.40m,23/24
Kristjan Asllani,21,"['Albania', 'Italy']",DM,€12.00m,FC Empoli,Inter Milan,€15.70m,23/24
Tajon Buchanan,24,"['Canada', 'Jamaica']",RW,€8.00m,Club Brugge KV,Inter Milan,€7.30m,23/24
Yann Bisseck,22,"['Germany', 'Cameroon']",CB,€5.00m,Aarhus GF,Inter Milan,€7.20m,23/24
Yann Sommer,34,['Switzerland'],GK,€5.00m,Bayern Munich,Inter Milan,€6.90m,23/24
Alexis Sánchez,34,['Chile'],CF,€4.00m,Olympique Marseille,Inter Milan,free transfer,23/24
Davy Klaassen,30,['Netherlands'],CM,€10.00m,Ajax Amsterdam,Inter Milan,free transfer,23/24
Raffaele Di Gennaro,29,['Italy'],GK,€350k,AS Gubbio 1910,Inter Milan,free transfer,23/24
Marcus Thuram,25,"['France', 'Guadeloupe']",CF,€32.00m,Borussia Mönchengladbach,Inter Milan,free transfer,23/24
Juan Cuadrado,35,"['Colombia', 'Italy']",RM,€4.00m,Juventus FC,Inter Milan,free transfer,23/24
André Onana,27,['Cameroon'],GK,€35.00m,Inter Milan,Manchester United,€50.20m,23/24
Andrea Pinamonti,24,['Italy'],CF,€15.00m,Inter Milan,US Sassuolo,€20.00m,23/24
Marcelo Brozović,30,['Croatia'],DM,€25.00m,Inter Milan,Al-Nassr FC,€15.70m,23/24
Robin Gosens,29,"['Germany', 'Netherlands']",LB,€15.00m,Inter Milan,1.FC Union Berlin,€13.00m,23/24
Giovanni Fabbian,20,['Italy'],AM,€6.00m,Inter Milan,Bologna FC 1909,€5.37m,23/24
Samuele Mulattieri,22,['Italy'],CF,€4.50m,Inter Milan,US Sassuolo,€5.30m,23/24
Lorenzo Pirola,21,['Italy'],CB,€8.00m,Inter Milan,US Salernitana 1919,€5.00m,23/24
Facundo Colidio,23,"['Argentina', 'Italy']",CF,€3.50m,Inter Milan,CA River Plate,€4.40m,23/24
Valentino Lazaro,27,['Austria'],RB,€5.00m,Inter Milan,Torino FC,€3.40m,23/24
