Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
369,Diego Moreira,BEL,"['FW', 'MF']",Lyon,18,2004,3.0,108,105,2,1,0,0,6,1,0,0,0,0,74,1,3,2023-2024
370,Lebo Mothiba,RSA,['FW'],Strasbourg,27,1996,6.9,118,115,1,0,0,0,1,0,0,0,0,0,86,2,3,2023-2024
371,Steve Mounié,BEN,['FW'],Brest,28,1994,19.7,454,451,2,0,0,2,11,2,0,0,0,0,282,1,12,2023-2024
372,Samuel Moutoussamy,COD,['MF'],Nantes,26,1996,12.3,498,491,6,5,1,0,2,1,0,0,0,0,417,1,7,2023-2024
373,Loris Mouyokolo,FRA,['DF'],Lorient,22,2001,1.0,55,54,1,1,0,0,0,0,0,0,0,0,48,0,1,2023-2024
374,François Mughe,CMR,"['MF', 'DF']",Marseille,19,2004,2.0,45,41,4,0,0,0,7,4,0,0,0,0,29,0,5,2023-2024
375,Nordi Mukiele,FRA,['DF'],Paris S-G,25,1997,8.8,578,521,57,13,1,4,3,44,0,0,0,0,486,0,16,2023-2024
376,Marshall Munetsi,ZIM,['MF'],Reims,27,1996,24.1,542,527,13,3,0,2,18,1,0,0,0,0,380,2,22,2023-2024
377,Yvon Mvogo,SUI,['GK'],Lorient,29,1994,34.0,1149,835,314,86,0,1,0,0,0,0,0,0,869,0,1,2023-2024
378,Joel Mvuka,NOR,"['DF', 'FW']",Lorient,20,2002,2.2,49,41,8,2,0,0,12,1,5,2,3,0,33,0,2,2023-2024
379,Junior Mwanga,FRA,"['MF', 'FW']",Strasbourg,20,2003,16.1,520,487,31,12,5,4,4,1,0,0,0,0,415,2,17,2023-2024
380,Kévin N'Doram,FRA,['MF'],Metz,27,1996,17.8,611,566,43,39,1,19,2,2,0,0,0,0,481,2,10,2023-2024
381,Bilal Nadir,MAR,"['MF', 'FW']",Marseille,19,2003,1.3,47,46,1,0,0,0,0,1,0,0,0,0,41,0,3,2023-2024
382,Mahamadou Nagida,CMR,['DF'],Rennes,18,2005,1.2,65,59,6,0,0,1,12,6,0,0,0,0,47,0,3,2023-2024
383,Keito Nakamura,JPN,"['FW', 'MF']",Reims,23,2000,15.3,400,391,5,1,2,5,23,2,1,1,0,0,292,4,13,2023-2024
