Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,18,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2024-2025
2,Yunis Abdelhamid,MAR,['DF'],Saint-Étienne,36,1987,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1,2024-2025
3,Himad Abdelli,ALG,"['MF', 'FW']",Angers,24,1999,31.6,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31,2024-2025
4,Mohamed Abdelmoneim,EGY,['DF'],Nice,25,1999,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2,2024-2025
5,Ali Abdi,TUN,"['DF', 'MF']",Nice,30,1993,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22,2024-2025
6,Matthis Abline,FRA,['FW'],Nantes,21,2003,30.8,538,510,26,1,3,4,30,1,0,0,0,0,351,2,27,2024-2025
7,Abner,BRA,['DF'],Lyon,24,2000,12.1,675,576,97,9,1,5,31,82,6,6,0,0,568,2,19,2024-2025
8,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,24,2000,21.1,349,333,13,1,0,0,33,7,3,2,0,0,221,3,14,2024-2025
9,Akor Adams,NGA,['FW'],Montpellier,24,2000,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7,2024-2025
10,Martin Adeline,FRA,['MF'],Reims,20,2003,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,2024-2025
11,Adryelson,BRA,['DF'],Lyon,26,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-2025
12,Emmanuel Agbadou,CIV,['DF'],Reims,27,1997,14.0,922,842,77,37,3,22,1,4,0,0,0,0,810,3,4,2024-2025
13,Jeremy Agbonifo,SWE,"['FW', 'MF']",Lens,18,2005,3.3,80,75,5,0,0,0,7,5,0,0,0,0,58,0,4,2024-2025
14,Ruben Aguilar,FRA,"['DF', 'MF']",Lens,31,1993,12.5,843,706,132,10,2,4,47,122,0,0,0,0,677,5,29,2024-2025
15,Naouirou Ahamada,FRA,"['MF', 'FW']",Rennes,22,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,17,0,0,2024-2025
16,Jean-Eudes Aholou,CIV,['MF'],Angers,30,1994,21.8,764,753,9,9,2,2,2,0,0,0,0,0,644,2,9,2024-2025
17,Ayman Aiki,FRA,"['FW', 'MF']",Saint-Étienne,19,2005,1.4,29,29,0,0,0,0,1,0,0,0,0,0,17,0,1,2024-2025
18,Ludovic Ajorque,FRA,['FW'],Brest,30,1994,27.7,671,660,8,0,2,12,7,1,0,0,0,0,462,3,16,2024-2025
19,Ümit Akdag,ROU,['DF'],Toulouse,20,2003,5.6,348,317,31,8,1,3,3,20,0,0,0,0,274,0,9,2024-2025
20,Sergio Akieme,ESP,['DF'],Reims,26,1997,28.0,1147,952,190,25,0,1,94,152,11,9,0,0,929,5,19,2024-2025
21,Maghnes Akliouche,FRA,"['FW', 'MF']",Monaco,22,2002,26.7,1216,1163,43,10,8,8,53,16,17,11,2,0,989,10,34,2024-2025
22,Paul Akouokou,CIV,['MF'],Lyon,26,1997,0.2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,1,2024-2025
23,Clément Akpa,CIV,['DF'],Auxerre,22,2001,27.6,1209,1105,101,56,0,40,25,40,2,1,1,0,998,3,20,2024-2025
24,Chuba Akpom,ENG,['FW'],Lille,28,1995,7.1,99,87,11,0,1,0,1,0,0,0,0,0,67,1,8,2024-2025
25,Mohamed Ali Cho,FRA,"['FW', 'MF']",Nice,20,2004,18.0,481,456,23,3,9,2,51,0,9,4,4,0,338,2,23,2024-2025
26,Jim Allevinah,GAB,['FW'],Angers,29,1995,19.4,483,472,9,1,2,1,34,4,2,0,2,0,363,2,13,2024-2025
27,Thiago Almada,ARG,"['MF', 'FW']",Lyon,23,2001,10.6,748,668,71,28,5,8,47,6,35,20,7,0,635,9,6,2024-2025
28,Jordan Amavi,FRA,['DF'],Brest,30,1994,8.8,526,428,96,9,0,2,15,87,0,0,0,0,386,2,13,2024-2025
29,Kelvin Amian,FRA,['DF'],Nantes,26,1998,24.1,921,719,200,14,4,1,37,184,0,0,0,0,738,2,24,2024-2025
30,Michael Amir Murillo,PAN,['DF'],Marseille,28,1996,27.1,1902,1691,207,44,1,0,37,162,0,0,0,0,1665,4,32,2024-2025
31,Samuel Amo-Ameyaw,ENG,"['DF', 'MF']",Strasbourg,18,2006,3.6,123,116,7,1,1,0,6,3,3,1,0,0,106,0,3,2024-2025
32,Mathis Amougou,FRA,['MF'],Saint-Étienne,18,2006,9.5,301,290,7,4,1,1,1,1,0,0,0,0,232,4,4,2024-2025
33,Benjamin André,FRA,['MF'],Lille,33,1990,29.9,1911,1845,57,53,1,20,16,4,0,0,0,0,1586,9,31,2024-2025
34,Kyllian Antonio,FRA,"['DF', 'MF']",Lens,16,2008,1.5,97,88,9,2,0,0,2,7,0,0,0,0,81,0,4,2024-2025
35,Dennis Appiah,FRA,['DF'],Saint-Étienne,32,1992,23.6,1179,957,218,16,3,2,52,202,0,0,0,0,903,4,43,2024-2025
36,Carlens Arcus,HAI,['DF'],Angers,28,1996,22.7,1020,843,173,20,2,3,55,152,1,0,0,0,810,4,20,2024-2025
37,Hákon Arnar Haraldsson,ISL,"['MF', 'FW']",Lille,21,2003,19.5,946,880,64,14,5,4,59,10,35,11,16,1,751,2,22,2024-2025
38,Marco Asensio,ESP,"['FW', 'MF']",Paris S-G,28,1996,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7,2024-2025
39,Lorenz Assignon,TOG,"['DF', 'MF']",Rennes,24,2000,26.2,1301,1067,228,15,3,5,70,212,1,0,0,0,1015,6,38,2024-2025
40,Dehmaine Assoumani,FRA,"['MF', 'FW']",Nantes,19,2005,1.1,50,46,4,1,0,0,6,1,1,0,1,0,38,0,2,2024-2025
41,Valentin Atangana Edoa,FRA,['MF'],Reims,18,2005,31.7,1056,1037,13,11,2,0,17,1,0,0,0,0,908,6,14,2024-2025
42,Florian Ayé,FRA,['FW'],Auxerre,27,1997,6.4,129,120,8,0,0,1,2,0,0,0,0,0,95,1,5,2024-2025
43,André Ayew,GHA,['FW'],Le Havre,34,1989,16.1,238,196,42,1,0,0,7,3,0,0,0,0,181,0,10,2024-2025
44,Neil El Aynaoui,MAR,['MF'],Lens,23,2001,17.6,966,881,82,16,4,7,65,3,54,20,30,0,816,3,17,2024-2025
45,Shavy Babicka,GAB,"['MF', 'FW']",Toulouse,24,2000,13.2,292,279,11,1,1,3,39,9,0,0,0,0,196,2,12,2024-2025
46,Theo Bair,CAN,['FW'],Auxerre,24,1999,10.4,213,206,7,0,0,1,7,1,0,0,0,0,132,0,5,2024-2025
47,Mitchel Bakker,NED,"['FW', 'DF']",Lille,24,2000,12.7,641,580,60,8,2,1,68,30,22,8,11,0,499,1,14,2024-2025
48,Darryl Bakola,FRA,"['DF', 'MF']",Marseille,16,2007,0.2,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0,2024-2025
49,Dilane Bakwa,FRA,"['MF', 'DF']",Strasbourg,21,2002,27.7,1109,961,141,48,11,15,153,31,62,29,27,0,808,7,23,2024-2025
50,Leonardo Balerdi,ARG,['DF'],Marseille,25,1999,25.3,2516,2452,61,44,3,8,2,1,0,0,0,0,2360,3,12,2024-2025
51,Fodé Ballo-Touré,SEN,"['DF', 'MF']",Le Havre,27,1997,6.5,311,221,90,26,0,1,21,63,1,0,1,0,259,0,11,2024-2025
52,Folarin Balogun,USA,['FW'],Monaco,23,2001,6.8,125,118,6,0,0,0,5,1,0,0,0,0,85,1,6,2024-2025
