Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Junior Adamu,AUT,['FW'],Freiburg,23,2001,17.2,29,1.69,22,0,1,3,3,0,3,0.17,2,0,0,1,0,0,2024-2025
2,Karim Adeyemi,GER,"['FW', 'MF']",Dortmund,22,2002,15.9,57,3.58,35,1,12,6,2,1,11,0.69,7,0,3,1,0,0,2024-2025
3,Amine Adli,MAR,"['MF', 'FW']",Leverkusen,24,2000,8.5,29,3.41,19,0,2,4,4,0,0,0.00,0,0,0,0,0,0,2024-2025
4,Oladapo Afolayan,ENG,"['FW', 'MF']",St. Pauli,26,1998,18.2,52,2.86,28,0,12,7,5,0,6,0.33,3,0,3,0,0,0,2024-2025
5,Felix Agu,NGA,['DF'],Werder Bremen,24,1999,19.5,35,1.80,30,1,2,0,2,0,1,0.05,1,0,0,0,0,0,2024-2025
6,Erik Ahlstrand,SWE,"['FW', 'MF']",St. Pauli,22,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
7,Kevin Akpoguma,NGA,['DF'],Hoffenheim,29,1995,24.7,27,1.09,25,1,0,0,1,0,1,0.04,1,0,0,0,0,0,2024-2025
8,Andreas Albers,DEN,['FW'],St. Pauli,34,1990,0.7,2,2.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
9,Ben Alexander Voll,GER,['GK'],St. Pauli,23,2000,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
10,Skelly Alvero,FRA,['MF'],Werder Bremen,22,2002,2.6,2,0.76,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
11,Aurele Amenda,SUI,['DF'],Eint Frankfurt,21,2003,1.1,2,1.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
12,Nadiem Amiri,GER,['MF'],Mainz 05,27,1996,27.5,119,4.33,74,30,6,5,3,1,15,0.55,13,0,0,2,0,0,2024-2025
13,Mohamed Amoura,ALG,['FW'],Wolfsburg,24,2000,27.4,80,2.92,56,2,6,10,4,2,13,0.47,12,0,1,0,0,0,2024-2025
14,Robert Andrich,GER,"['MF', 'DF']",Leverkusen,29,1994,17.8,33,1.86,25,0,1,5,1,1,4,0.23,3,0,0,1,0,0,2024-2025
15,Waldemar Anton,GER,['DF'],Dortmund,28,1996,21.7,41,1.90,32,0,6,2,0,1,5,0.23,4,0,0,1,0,0,2024-2025
16,Maximilian Arnold,GER,['MF'],Wolfsburg,30,1994,26.2,83,3.17,47,31,1,1,3,0,10,0.38,3,7,0,0,0,0,2024-2025
17,Jann-Fiete Arp,GER,"['FW', 'MF']",Holstein Kiel,24,2000,7.9,33,4.17,18,4,2,3,5,1,3,0.38,1,1,0,1,0,0,2024-2025
18,Arthur,BRA,['DF'],Leverkusen,21,2003,8.4,7,0.84,7,0,0,0,0,0,1,0.12,1,0,0,0,0,0,2024-2025
19,Noah Atubolu,GER,['GK'],Freiburg,22,2002,25.6,6,0.23,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
20,Ayman Azhil,MAR,['MF'],Dortmund,23,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
21,Adam Aznou,MAR,['DF'],Bayern Munich,18,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
22,Aliou Badara Baldé,GUI,"['MF', 'FW']",Bochum,21,2002,1.0,3,2.93,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
23,Ridle Baku,GER,"['FW', 'MF']",Wolfsburg,26,1998,13.0,31,2.38,22,2,1,3,1,2,4,0.31,3,0,0,0,1,0,2024-2025
24,Ridle Baku,GER,"['DF', 'MF']",RB Leipzig,26,1998,14.2,30,2.12,25,1,2,1,0,1,6,0.42,5,0,0,0,0,1,2024-2025
25,Samuel Bamba,GER,"['FW', 'MF']",Bochum,20,2004,0.3,2,6.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
26,Noahkai Banks,USA,['DF'],Augsburg,17,2006,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
27,Scott Banks,SCO,"['FW', 'MF']",St. Pauli,22,2001,1.3,3,2.35,0,0,1,1,1,0,1,0.78,0,0,0,1,0,0,2024-2025
28,Aymen Barkok,MAR,['MF'],Mainz 05,26,1998,0.8,2,2.47,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
29,Michy Batshuayi,BEL,['FW'],Eint Frankfurt,30,1993,3.3,4,1.20,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
30,Maximilian Bauer,GER,['DF'],Augsburg,24,2000,7.3,4,0.55,2,0,0,0,1,1,0,0.00,0,0,0,0,0,0,2024-2025
31,Oliver Baumann,GER,['GK'],Hoffenheim,34,1990,28.0,10,0.36,6,4,0,0,0,0,2,0.07,0,2,0,0,0,0,2024-2025
32,Christoph Baumgartner,AUT,['MF'],RB Leipzig,24,1999,17.9,42,2.35,31,0,3,6,1,1,6,0.34,3,0,1,2,0,0,2024-2025
33,Ihlas Bebou,TOG,['MF'],Hoffenheim,30,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
34,Adrian Beck,GER,"['MF', 'FW']",Heidenheim,27,1997,17.8,56,3.16,37,4,10,4,1,0,4,0.23,2,1,1,0,0,0,2024-2025
35,Timo Becker,GER,['DF'],Holstein Kiel,27,1997,27.2,30,1.10,22,1,2,4,0,1,8,0.29,5,0,1,1,0,1,2024-2025
36,Hannes Behrens,GER,['DF'],Hoffenheim,19,2005,0.3,2,6.21,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
37,Kevin Behrens,GER,['FW'],Wolfsburg,33,1991,1.9,8,4.24,5,1,0,1,1,0,0,0.00,0,0,0,0,0,0,2024-2025
38,Maximilian Beier,GER,"['FW', 'MF']",Dortmund,21,2002,17.7,55,3.11,38,0,6,4,3,4,7,0.40,5,0,1,1,0,0,2024-2025
39,Stefan Bell,GER,['DF'],Mainz 05,32,1991,16.0,10,0.63,7,0,0,2,0,1,3,0.19,2,0,0,1,0,0,2024-2025
40,Jeanuël Belocian,FRA,"['DF', 'MF']",Leverkusen,19,2005,0.8,1,1.34,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
41,László Bénes,SVK,"['MF', 'FW']",Union Berlin,26,1997,6.5,30,4.58,17,12,0,1,0,0,1,0.15,0,1,0,0,0,0,2024-2025
42,Ramy Bensebaini,ALG,['DF'],Dortmund,29,1995,22.5,39,1.74,33,3,0,2,0,1,10,0.45,8,1,0,0,0,1,2024-2025
43,Mergim Berisha,GER,"['FW', 'MF']",Hoffenheim,26,1998,3.7,5,1.35,4,0,0,1,0,0,1,0.27,1,0,0,0,0,0,2024-2025
44,Mergim Berisha,GER,['FW'],Augsburg,26,1998,0.4,1,2.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
45,Bernardo,BRA,['DF'],Bochum,29,1995,19.8,22,1.11,18,1,0,2,0,1,0,0.00,0,0,0,0,0,0,2024-2025
46,Alexander Bernhardsson,SWE,"['FW', 'MF']",Holstein Kiel,25,1998,14.0,36,2.57,21,5,4,4,1,1,7,0.50,2,0,2,1,1,1,2024-2025
47,Matúš Bero,SVK,['MF'],Bochum,28,1995,28.5,120,4.21,64,41,4,6,3,2,7,0.25,2,2,2,1,0,0,2024-2025
48,Jan-Niklas Beste,GER,"['FW', 'MF']",Freiburg,25,1999,2.4,5,2.11,2,2,0,1,0,0,1,0.42,1,0,0,0,0,0,2024-2025
49,El Bilal Touré,MLI,"['FW', 'MF']",Stuttgart,22,2001,4.0,11,2.78,8,0,1,2,0,0,1,0.25,1,0,0,0,0,0,2024-2025
50,Tom Bischof,GER,"['MF', 'FW']",Hoffenheim,19,2005,28.4,117,4.12,67,32,4,8,4,2,7,0.25,6,1,0,0,0,0,2024-2025
51,Leonardo Bittencourt,GER,['MF'],Werder Bremen,30,1993,10.9,39,3.57,28,2,0,4,4,1,5,0.46,5,0,0,0,0,0,2024-2025
