Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
203,Kristijan Jakić,CRO,"['MF', 'FW']",Eint Frankfurt,26,1997,2.2,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
204,Tony Jantschke,GER,"['DF', 'MF']",Gladbach,33,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
205,Nuha Jatta,GAM,['FW'],RB Leipzig,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
206,Fredrik Jensen,FIN,"['MF', 'FW']",Augsburg,25,1997,14.9,50,3.36,27,18,0,4,0,1,8,0.54,4,3,0,1,0,0,2023-2024
207,Moritz Jenz,GER,['DF'],Wolfsburg,24,1999,19.4,13,0.67,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,2023-2024
208,Anthony Jung,GER,['DF'],Werder Bremen,31,1991,28.7,25,0.87,22,2,0,0,1,0,1,0.03,1,0,0,0,0,0,2023-2024
209,Josip Juranović,CRO,['DF'],Union Berlin,27,1995,14.4,61,4.25,16,41,1,2,1,0,4,0.28,0,3,0,0,1,0,2023-2024
210,David Jurásek,CZE,['DF'],Hoffenheim,22,2000,5.5,11,2.00,8,2,0,1,0,0,3,0.54,1,1,0,1,0,0,2023-2024
211,Julian Justvan,GER,"['FW', 'MF']",Hoffenheim,25,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
212,Julian Justvan,GER,"['MF', 'FW']",Darmstadt 98,25,1998,11.4,46,4.05,30,8,5,2,1,0,2,0.18,2,0,0,0,0,0,2023-2024
213,Ozan Kabak,TUR,['DF'],Hoffenheim,23,2000,25.4,22,0.87,15,0,3,3,1,0,2,0.08,1,0,1,0,0,0,2023-2024
214,Pavel Kadeřábek,CZE,"['DF', 'FW']",Hoffenheim,31,1992,26.8,61,2.28,55,2,0,3,1,0,5,0.19,5,0,0,0,0,0,2023-2024
215,Florian Kainz,AUT,"['MF', 'FW']",Köln,30,1992,24.4,98,4.02,60,30,5,1,2,0,8,0.33,5,2,1,0,0,0,2023-2024
216,Sasa Kalajdzic,AUT,['FW'],Eint Frankfurt,26,1997,3.6,8,2.22,6,0,0,1,1,0,2,0.55,1,0,0,1,0,0,2023-2024
217,Jakub Kamiński,POL,"['FW', 'MF']",Wolfsburg,21,2002,5.3,7,1.33,7,0,0,0,0,0,2,0.38,2,0,0,0,0,0,2023-2024
218,Kevin Kampl,SVN,['MF'],RB Leipzig,32,1990,15.1,38,2.51,33,0,2,1,1,1,3,0.20,3,0,0,0,0,0,2023-2024
