player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Juan Miranda,24,['Spain'],LB,€9.00m,Real Betis Balompié,Bologna FC 1909,free transfer,24/25
Claudio Bravo,41,"['Chile', 'Spain']",GK,€800k,Real Betis Balompié,Retired,-,24/25
Sokratis,36,['Greece'],CB,€700k,Real Betis Balompié,Retired,-,24/25
Lucien Agoumé,22,"['France', 'Cameroon']",DM,€6.00m,Inter Milan,Sevilla FC,€8.00m,24/25
Akor Adams,24,['Nigeria'],CF,€9.00m,Montpellier HSC,Sevilla FC,€5.50m,24/25
Peque Fernández,21,['Spain'],SS,€3.00m,Racing Santander,Sevilla FC,€4.00m,24/25
Rubén Vargas,26,"['Switzerland', 'Dominican Republic']",LW,€7.00m,FC Augsburg,Sevilla FC,€2.50m,24/25
Chidera Ejuke,26,['Nigeria'],LW,€6.00m,CSKA Moscow,Sevilla FC,free transfer,24/25
Álvaro Fernández,26,['Spain'],GK,€2.50m,SD Huesca,Sevilla FC,free transfer,24/25
Kelechi Iheanacho,27,['Nigeria'],CF,€12.00m,Leicester City,Sevilla FC,free transfer,24/25
Youssef En-Nesyri,27,['Morocco'],CF,€20.00m,Sevilla FC,Fenerbahce,€19.50m,24/25
Lucas Ocampos,30,"['Argentina', 'Spain']",LW,€9.00m,Sevilla FC,CF Monterrey,€7.25m,24/25
Gonzalo Montiel,28,"['Argentina', 'Spain']",RB,€5.00m,Sevilla FC,CA River Plate,€4.50m,24/25
Marcos Acuña,32,['Argentina'],LB,€4.00m,Sevilla FC,CA River Plate,€1.00m,24/25
Luismi Cruz,23,['Spain'],RW,€800k,Sevilla FC,CD Tenerife,€600k,24/25
Pedro Ortiz,24,['Spain'],CM,€300k,Sevilla FC,Córdoba CF,free transfer,24/25
Óscar Rodríguez,26,['Spain'],AM,€2.50m,Sevilla FC,CD Leganés,free transfer,24/25
Marko Dmitrovic,32,['Serbia'],GK,€900k,Sevilla FC,CD Leganés,free transfer,24/25
Ludwig Augustinsson,30,['Sweden'],LB,€4.00m,Sevilla FC,RSC Anderlecht,free transfer,24/25
Thomas Delaney,32,"['Denmark', 'United States']",CM,€2.50m,Sevilla FC,FC Copenhagen,free transfer,24/25
Óliver Torres,29,['Spain'],CM,€6.00m,Sevilla FC,CF Monterrey,free transfer,24/25
Erik Lamela,32,"['Argentina', 'Spain']",RW,€2.00m,Sevilla FC,AEK Athens,free transfer,24/25
Mariano Díaz,30,"['Dominican Republic', 'Spain']",CF,€1.50m,Sevilla FC,Without Club,-,24/25
Sergio Ramos,38,['Spain'],CB,€2.50m,Sevilla FC,Without Club,-,24/25
Jesús Navas,39,['Spain'],RB,€2.50m,Sevilla FC,Retired,-,24/25
Enzo Boyomo,22,"['Cameroon', 'France']",CB,€3.00m,Real Valladolid CF,CA Osasuna,€5.00m,24/25
Abel Bretones,23,['Spain'],LB,€1.80m,Real Oviedo,CA Osasuna,€2.80m,24/25
David García,30,['Spain'],CB,€10.00m,CA Osasuna,Al-Rayyan SC,€8.75m,24/25
Nacho Vidal,29,['Spain'],RB,€1.50m,CA Osasuna,Real Oviedo,€200k,24/25
Javi Martínez,25,['Spain'],AM,€1.00m,CA Osasuna,SD Eibar,free transfer,24/25
Orri Óskarsson,20,['Iceland'],CF,€5.00m,FC Copenhagen,Real Sociedad,€20.00m,24/25
Luka Sucic,21,['Croatia'],CM,€15.00m,Red Bull Salzburg,Real Sociedad,€10.00m,24/25
Sergio Gómez,23,['Spain'],LB,€10.00m,Manchester City,Real Sociedad,€8.70m,24/25
Javi López,22,['Spain'],LB,€7.50m,Deportivo Alavés,Real Sociedad,€6.50m,24/25
Mikel Merino,28,['Spain'],CM,€50.00m,Real Sociedad,Arsenal FC,€32.00m,24/25
Diego Rico,31,['Spain'],LB,€1.50m,Real Sociedad,Getafe CF,€1.50m,24/25
Álex Sola,25,['Spain'],RW,€4.00m,Real Sociedad,Getafe CF,€1.00m,24/25
Robert Navarro,22,['Spain'],RW,€6.00m,Real Sociedad,RCD Mallorca,€850k,24/25
Roberto López,24,['Spain'],AM,€2.50m,Real Sociedad,CD Leganés,free transfer,24/25
Martín Merquelanz,29,['Spain'],LW,€600k,Real Sociedad,SD Eibar,free transfer,24/25
Álvaro Djaló,24,"['Guinea-Bissau', 'Spain']",LW,€15.00m,SC Braga,Athletic Bilbao,€15.00m,24/25
